"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"United States","1,053","2,222","9,833","15,098","19,498","22,594","27,266"
"China","662","1,369","6,700","11,182","15,607","17,544","24,045"
"India","156","370","1,813","3,591","5,279","6,900","9,732"
"Brazil","131","314","1,331","3,444","4,868","6,359","9,671"
"Taiwan","48","113","647","1,058","1,645","3,157","8,831"
"Japan","199","442","1,897","3,085","4,514","5,750","8,100"
"Vietnam","104","259","1,453","2,626","3,787","5,044","7,625"
"Russian Federation","142","311","1,529","2,768","3,598","4,539","6,860"
"Germany","86","190","1,040","1,776","2,511","3,502","5,681"
"United Kingdom (UK)","140","275","1,152","1,892","2,770","3,325","5,547"
"Saudi Arabia","97","233","1,023","1,805","2,594","3,409","5,355"
"Korea, Republic Of","82","213","876","1,466","2,116","2,848","5,143"
"France","91","187","1,054","1,918","2,764","3,612","4,985"
"Canada","67","145","772","1,384","2,051","2,662","4,918"
"Indonesia","34","79","506","1,077","1,758","2,367","4,137"
"Mexico","41","99","619","1,323","1,882","2,444","3,806"
"Thailand","44","102","553","1,176","1,852","2,578","3,636"
"Australia","62","133","545","933","1,309","1,707","3,432"
"Turkey","49","113","587","1,148","1,627","2,045","2,974"
"Italy","40","90","612","1,228","1,789","2,137","2,866"
"Malaysia","27","63","372","704","1,078","1,448","2,819"
"Ukraine","27","63","344","584","825","1,408","2,710"
"Philippines","21","52","335","581","968","1,577","2,520"
"Norway","11","24","99","168","250","371","2,426"
"Spain","32","74","438","801","1,152","1,399","2,015"
"Netherlands","31","63","332","578","817","1,140","1,737"
"Nigeria","16","38","221","418","597","757","1,618"
"Pakistan","10","26","159","298","457","638","1,459"
"United Arab Emirates","24","54","297","527","731","911","1,359"
"Sweden","21","45","185","300","467","605","1,297"
"Colombia","14","38","207","454","663","875","1,186"
"Egypt","16","41","225","432","595","773","1,066"
"Poland","14","31","190","337","471","580","1,052"
"Hong Kong","19","38","167","264","387","501","997"
"Singapore","14","31","141","209","302","443","950"
"South Africa","10","25","156","310","424","542","942"
"Chile","10","26","146","290","443","554","886"
"Switzerland","14","30","147","225","316","394","873"
"Peru","4","12","74","183","276","409","787"
"Belgium","12","27","149","251","350","435","755"
"Kazakhstan","11","26","130","269","378","496","755"
"Israel","13","34","155","247","353","449","749"
"Romania","7","19","119","224","327","414","734"
"Hungary","4","11","76","136","193","286","703"
"New Zealand","7","15","69","122","178","278","682"
"Austria","7","17","103","185","273","385","663"
"Argentina","7","20","115","238","320","398","586"
"Portugal","5","13","74","145","226","343","541"
"Ireland","6","14","69","127","189","240","489"
"Ecuador","3","9","61","133","194","251","483"
"Denmark","12","25","93","142","210","278","468"
"Finland","4","10","55","96","140","198","464"
"Czech Republic","5","12","72","129","178","228","422"
"Greece","3","9","54","104","163","214","391"
"Kuwait","6","15","69","126","191","231","332"
"Macao","0","0","7","11","18","31","55"
