"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"China","1,533","2,755","9,084","13,186","16,781","20,538","26,672"
"United States","925","1,782","6,215","8,910","11,387","14,111","17,458"
"Saudi Arabia","91","178","801","1,354","1,979","2,876","6,067"
"Vietnam","143","266","1,074","1,809","2,488","3,270","5,179"
"France","111","223","914","1,488","2,077","2,991","5,019"
"Germany","121","246","957","1,497","2,123","2,786","4,745"
"Japan","212","390","1,230","1,886","2,560","3,175","4,744"
"Russian Federation","145","264","1,013","1,621","2,229","3,069","4,743"
"Brazil","124","241","870","1,386","2,024","2,654","4,532"
"Turkey","93","173","614","1,043","1,603","2,142","4,058"
"United Kingdom (UK)","137","279","918","1,395","1,884","2,375","3,683"
"Italy","51","105","507","881","1,282","1,715","2,738"
"Mexico","48","97","436","792","1,248","1,735","2,728"
"Korea, Republic Of","89","177","603","934","1,252","1,553","2,637"
"Canada","65","132","505","797","1,182","1,618","2,542"
"Thailand","32","62","295","563","1,061","1,496","2,471"
"Ukraine","26","54","256","438","671","933","1,998"
"Spain","35","70","310","523","785","1,026","1,843"
"India","60","115","439","710","977","1,230","1,823"
"Poland","20","42","233","425","622","866","1,691"
"Indonesia","23","46","209","370","585","857","1,525"
"Netherlands","29","64","264","409","565","794","1,521"
"Sweden","28","60","232","362","527","703","1,313"
"Philippines","22","45","185","346","595","815","1,269"
"Taiwan","39","78","249","366","506","772","1,251"
"Australia","50","99","343","496","636","805","1,229"
"Hong Kong","18","34","99","146","203","302","1,082"
"Belgium","13","28","126","204","290","399","991"
"Kazakhstan","15","29","126","210","313","423","983"
"Malaysia","18","35","145","233","334","456","848"
"Romania","8","19","109","208","318","429","795"
"Colombia","14","30","135","231","348","473","795"
"Portugal","7","15","73","123","178","244","732"
"Switzerland","14","30","118","179","244","328","686"
"Czech Republic","7","16","91","158","239","332","673"
"Egypt","16","30","118","197","280","359","645"
"Israel","14","32","149","229","326","423","644"
"Austria","10","22","101","163","231","317","619"
"Chile","15","31","130","212","307","428","610"
"Denmark","11","27","101","171","242","327","576"
"Norway","10","26","109","172","244","336","569"
"Argentina","8","17","81","137","202","260","542"
"United Arab Emirates","16","33","121","176","238","309","538"
"Hungary","5","11","65","121","183","266","479"
"Singapore","8","17","57","82","106","140","462"
"South Africa","9","18","73","122","176","235","396"
"Finland","4","11","62","103","143","203","389"
"Nigeria","8","17","67","103","145","202","383"
"Ireland","6","13","59","98","144","202","352"
"Pakistan","7","15","57","96","139","190","330"
"New Zealand","6","15","58","90","123","162","299"
"Kuwait","6","12","52","83","116","152","292"
"Peru","4","11","57","96","138","188","287"
"Ecuador","4","11","49","81","126","166","252"
"Greece","2","6","38","72","107","140","214"
"Macao","0","1","5","9","12","18","42"
