"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"China","1,563","3,188","18,018","34,116","46,377","55,349","66,462"
"United States","1,499","2,995","15,273","25,614","32,998","35,406","36,330"
"Japan","336","815","4,854","8,420","12,487","15,500","24,254"
"France","171","331","1,742","3,911","6,245","8,982","20,001"
"Vietnam","98","218","1,981","3,820","6,098","9,038","19,657"
"Brazil","203","421","2,153","4,533","7,606","10,913","19,205"
"Russian Federation","175","336","1,791","3,744","6,595","9,797","16,772"
"Saudi Arabia","149","323","1,479","3,074","5,029","7,202","16,382"
"Turkey","91","187","985","2,174","3,959","5,598","12,215"
"India","98","214","1,540","3,646","5,799","7,580","11,915"
"Germany","145","291","1,341","2,707","4,270","6,181","11,124"
"Thailand","47","108","1,332","2,627","4,360","6,173","10,972"
"United Kingdom (UK)","203","409","1,806","3,401","4,828","6,235","10,370"
"Indonesia","43","100","855","2,021","3,329","4,568","10,027"
"Korea, Republic Of","82","207","1,340","2,689","3,763","5,054","10,023"
"Canada","92","187","927","2,455","3,741","5,388","8,662"
"Italy","74","147","769","1,811","2,967","4,422","8,157"
"Mexico","87","200","1,083","2,453","3,988","5,582","7,974"
"Malaysia","31","67","476","1,189","1,871","3,489","7,765"
"Ukraine","32","61","295","742","1,277","1,934","7,362"
"Poland","24","49","288","719","1,247","1,812","6,378"
"Philippines","32","68","423","1,088","1,908","2,917","6,224"
"Egypt","27","56","247","598","1,113","2,372","5,907"
"Australia","66","133","754","1,519","2,345","3,312","5,689"
"Spain","53","107","552","1,282","1,882","2,764","5,161"
"Taiwan","44","97","563","1,134","1,961","3,019","5,060"
"Netherlands","43","87","523","1,043","1,560","2,226","4,631"
"Pakistan","14","30","153","421","888","1,547","4,303"
"Kazakhstan","17","37","194","412","770","1,338","4,119"
"United Arab Emirates","27","53","217","469","866","1,501","4,002"
"Colombia","23","49","253","641","1,067","1,578","3,908"
"Romania","13","27","136","400","803","1,397","3,803"
"Nigeria","15","36","185","395","637","1,148","3,662"
"South Africa","10","21","101","351","660","1,079","3,304"
"Israel","19","39","179","390","711","1,035","2,949"
"Belgium","24","48","240","470","736","1,132","2,504"
"Czech Republic","10","21","91","216","411","625","2,328"
"Sweden","34","70","353","607","837","1,189","2,282"
"Chile","21","46","219","480","742","1,150","2,106"
"Hungary","8","17","77","182","400","703","2,089"
"Hong Kong","16","38","217","380","557","748","1,923"
"Ecuador","8","18","96","288","476","646","1,855"
"Peru","7","17","122","302","530","818","1,849"
"Denmark","18","41","237","426","600","749","1,827"
"Kuwait","11","23","95","211","364","662","1,743"
"Portugal","12","24","119","291","551","830","1,741"
"Singapore","11","23","114","248","423","646","1,678"
"Austria","13","26","112","258","451","613","1,569"
"Argentina","13","28","139","351","593","875","1,345"
"Switzerland","19","36","134","268","446","633","1,316"
"Norway","16","34","203","347","493","707","1,298"
"Greece","5","13","72","169","304","505","1,216"
"New Zealand","8","17","119","272","419","593","1,167"
"Ireland","9","21","133","273","407","613","1,120"
"Finland","7","18","115","218","296","396","835"
"Macao","0","1","10","20","33","49","154"
