"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"China","2,251","5,068","21,269","34,233","43,524","48,204","54,803"
"United States","1,637","2,770","9,894","18,950","25,223","27,834","28,657"
"Japan","521","1,193","4,118","5,971","7,330","10,363","23,989"
"Brazil","417","1,095","5,181","6,896","8,580","11,161","18,434"
"Russian Federation","259","619","2,454","3,650","4,995","6,486","17,660"
"Korea, Republic Of","350","795","3,378","4,863","6,534","8,885","16,754"
"India","295","671","2,454","3,970","5,527","7,942","15,661"
"Thailand","110","300","1,756","3,646","5,587","8,427","13,241"
"Germany","153","333","1,478","3,219","4,912","7,491","12,683"
"Vietnam","218","607","2,628","3,582","5,048","6,791","10,039"
"Taiwan","240","575","1,751","2,296","2,791","3,811","9,192"
"Philippines","40","111","743","1,279","1,757","2,324","6,925"
"Indonesia","136","331","1,253","1,862","2,521","3,327","6,190"
"France","134","309","1,244","2,061","2,815","3,670","5,808"
"Ukraine","50","121","536","880","1,365","2,274","5,405"
"United Kingdom (UK)","218","463","1,854","2,938","3,509","3,998","5,400"
"Turkey","93","266","1,468","2,266","2,903","3,609","5,305"
"Mexico","61","193","1,223","1,944","2,588","3,279","4,714"
"Italy","71","165","817","1,537","2,248","2,886","4,611"
"Malaysia","50","115","615","1,156","1,705","2,258","4,088"
"Kazakhstan","18","51","299","461","638","1,052","3,994"
"Canada","75","156","677","1,398","2,009","2,528","3,878"
"Spain","65","155","673","1,042","1,412","1,941","3,718"
"Saudi Arabia","67","172","756","1,262","1,713","2,075","3,605"
"Australia","78","159","545","981","1,397","1,951","2,915"
"Colombia","20","52","395","640","818","980","2,614"
"Netherlands","37","85","349","742","1,073","1,393","2,535"
"Singapore","27","60","221","387","574","821","2,110"
"Egypt","12","29","166","291","423","708","2,044"
"Argentina","15","41","231","341","492","689","1,919"
"Hong Kong","64","146","457","632","814","1,054","1,912"
"Romania","11","28","228","374","553","790","1,888"
"South Africa","13","30","219","374","535","785","1,883"
"United Arab Emirates","30","60","239","364","470","578","1,708"
"Chile","14","47","422","610","794","1,023","1,651"
"Switzerland","24","56","227","352","472","706","1,488"
"Pakistan","12","29","173","334","547","763","1,478"
"Sweden","23","54","238","437","611","818","1,364"
"Austria","11","26","125","281","442","555","1,329"
"Nigeria","65","150","599","765","858","1,005","1,328"
"Belgium","18","39","204","382","501","671","1,177"
"Portugal","10","24","153","276","381","553","1,174"
"Ireland","5","14","84","229","317","401","1,128"
"Poland","16","39","267","446","588","748","1,111"
"Denmark","12","29","122","214","325","418","1,033"
"Finland","4","14","100","198","285","480","1,002"
"Norway","11","28","126","228","334","442","773"
"Hungary","5","12","93","177","254","401","769"
"Israel","10","26","210","330","425","539","742"
"Peru","4","12","118","224","357","415","734"
"Czech Republic","7","20","146","249","349","427","645"
"Greece","3","10","79","193","285","365","631"
"Ecuador","3","11","84","154","203","271","511"
"Kuwait","6","14","58","95","126","161","489"
"New Zealand","5","15","97","180","259","314","440"
"Macao","1","4","16","23","31","39","61"
