"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"United States","1,087","2,578","12,515","19,362","23,568","23,778","27,715"
"China","112","404","5,191","11,034","17,275","21,329","26,622"
"Russian Federation","169","404","2,790","4,501","5,707","6,826","12,104"
"Japan","206","626","4,128","6,431","8,118","9,503","11,949"
"Brazil","43","122","1,198","2,396","4,136","5,226","8,510"
"India","24","74","846","1,851","3,368","4,519","6,801"
"Saudi Arabia","58","175","1,325","2,273","3,121","4,085","6,064"
"Korea, Republic Of","30","115","1,333","2,057","2,708","3,532","6,020"
"United Kingdom (UK)","148","419","2,909","3,612","4,194","4,562","5,974"
"Germany","51","140","1,430","2,513","3,381","4,148","5,655"
"France","45","119","1,005","2,032","2,845","3,659","5,282"
"Vietnam","11","35","458","1,107","2,274","3,072","5,183"
"Canada","51","146","1,008","2,138","2,901","3,399","4,902"
"Turkey","12","35","348","951","1,993","2,903","4,647"
"Mexico","13","42","516","1,588","2,716","3,394","4,621"
"Thailand","8","29","409","979","1,885","2,514","4,378"
"Italy","27","70","618","1,319","1,924","2,476","3,453"
"Indonesia","3","13","191","461","1,063","1,879","3,032"
"Malaysia","7","25","396","1,053","1,542","1,916","2,996"
"Australia","36","108","743","1,218","1,551","1,923","2,547"
"Spain","18","48","559","1,139","1,474","1,761","2,506"
"Philippines","3","13","173","700","1,206","1,759","2,439"
"Taiwan","15","52","711","1,150","1,440","1,689","2,372"
"Netherlands","12","34","531","991","1,259","1,560","2,227"
"Poland","6","20","228","522","774","998","1,509"
"Egypt","4","14","122","394","693","1,061","1,495"
"Ukraine","15","33","176","328","609","938","1,456"
"United Arab Emirates","11","29","235","489","668","870","1,290"
"Colombia","2","11","133","330","638","849","1,246"
"Chile","2","8","158","450","705","890","1,216"
"Sweden","13","38","414","653","772","898","1,178"
"Pakistan","1","4","46","129","365","544","1,091"
"Hong Kong","10","31","234","360","481","559","1,070"
"Romania","2","8","62","218","476","672","1,063"
"Denmark","7","20","206","353","468","574","963"
"Israel","5","16","126","300","446","564","937"
"South Africa","2","9","107","299","434","650","932"
"Belgium","5","13","145","381","536","662","931"
"Kazakhstan","4","13","89","216","360","503","882"
"Ireland","4","13","103","207","286","335","870"
"Argentina","1","7","107","322","498","643","817"
"New Zealand","2","8","134","241","297","415","775"
"Singapore","5","15","139","261","363","447","644"
"Portugal","2","8","76","251","373","461","626"
"Peru","0","3","45","156","264","454","622"
"Austria","3","9","84","222","312","387","595"
"Switzerland","6","16","131","301","391","455","573"
"Norway","4","13","175","302","378","432","571"
"Kuwait","3","11","106","194","258","331","523"
"Czech Republic","1","6","66","176","275","350","485"
"Hungary","1","4","43","138","238","321","477"
"Ecuador","0","2","32","123","211","284","453"
"Finland","1","5","81","173","225","269","372"
"Greece","0","3","31","89","173","227","346"
"Nigeria","0","3","22","40","72","114","319"
"Macao","0","0","5","10","15","23","41"
