"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"United States","2,448","4,352","13,278","20,942","26,860","32,138","39,095"
"China","1,126","2,070","8,288","14,448","21,060","27,120","33,699"
"Japan","326","615","2,164","3,708","5,534","8,045","12,360"
"Russian Federation","457","863","2,283","3,504","4,526","5,432","7,680"
"Vietnam","242","477","1,631","2,866","3,947","4,616","6,131"
"United Kingdom (UK)","302","558","1,727","2,591","3,346","4,272","6,032"
"Brazil","229","509","1,728","2,722","3,774","4,591","5,869"
"Korea, Republic Of","93","199","849","1,409","2,211","3,397","5,649"
"France","263","507","1,761","2,493","3,311","3,930","5,256"
"Saudi Arabia","266","505","1,431","2,088","2,731","3,389","4,457"
"Taiwan","89","163","562","1,129","1,826","2,503","4,339"
"Germany","202","372","1,252","1,877","2,521","2,993","4,142"
"India","109","243","1,016","1,565","2,148","2,756","4,114"
"Mexico","152","315","1,080","1,915","2,540","3,059","3,966"
"Thailand","90","195","739","1,354","1,839","2,376","3,632"
"Turkey","155","316","994","1,442","2,096","2,511","3,417"
"Indonesia","48","120","593","1,048","1,563","2,102","2,722"
"Canada","162","290","827","1,245","1,604","1,837","2,323"
"Italy","121","241","772","1,098","1,422","1,730","2,311"
"Ukraine","83","177","608","984","1,283","1,582","2,271"
"Australia","109","194","583","862","1,163","1,481","2,008"
"Spain","65","138","521","776","1,029","1,292","1,903"
"Philippines","51","98","367","638","973","1,195","1,824"
"Egypt","42","92","357","561","752","1,009","1,452"
"Netherlands","51","95","330","527","734","909","1,340"
"Sweden","45","84","276","441","632","832","1,314"
"Poland","44","84","260","430","626","817","1,234"
"Pakistan","21","44","198","318","474","758","1,163"
"Malaysia","39","80","318","562","717","867","1,154"
"Colombia","30","68","285","477","613","801","1,121"
"Israel","40","86","294","457","649","773","1,110"
"Nigeria","19","47","232","355","502","662","978"
"Kazakhstan","40","83","283","425","544","668","925"
"Chile","31","67","230","380","515","637","895"
"Belgium","34","65","218","335","462","598","890"
"Hong Kong","23","46","156","251","366","503","813"
"Romania","28","58","194","306","425","540","807"
"United Arab Emirates","40","75","233","338","488","601","798"
"Switzerland","31","57","177","281","399","510","744"
"Norway","20","38","135","221","315","420","692"
"Denmark","24","44","136","219","300","399","630"
"Portugal","19","39","148","222","321","395","630"
"South Africa","18","35","126","195","272","377","615"
"Austria","21","40","137","216","295","386","573"
"Czech Republic","22","40","130","204","276","354","550"
"Ecuador","13","27","123","209","279","372","530"
"Argentina","20","41","145","228","320","373","492"
"Finland","12","26","104","161","220","292","480"
"Ireland","13","27","102","162","227","285","444"
"Hungary","17","32","104","162","214","261","433"
"Singapore","13","25","107","168","225","281","430"
"New Zealand","18","35","106","166","226","294","429"
"Kuwait","18","34","108","176","229","272","374"
"Peru","9","21","80","136","186","251","344"
"Greece","10","22","82","122","167","220","332"
"Macao","1","2","9","16","23","30","53"
