"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"United States","808","1,577","5,430","9,093","12,087","16,523","32,597"
"China","409","1,013","6,248","10,857","14,430","18,699","27,347"
"Japan","201","412","1,828","3,317","5,451","7,394","12,450"
"Russian Federation","204","380","1,454","2,308","3,167","3,830","5,342"
"Brazil","80","183","811","1,445","2,137","3,339","4,971"
"Vietnam","108","207","1,017","1,802","2,307","3,032","4,617"
"United Kingdom (UK)","89","184","622","1,156","1,998","3,105","4,526"
"France","81","176","738","1,110","1,569","2,083","3,566"
"Korea, Republic Of","35","77","315","589","949","1,465","3,402"
"Mexico","47","100","421","853","1,364","2,235","3,217"
"Saudi Arabia","76","171","657","972","1,328","1,706","3,106"
"Taiwan","36","86","365","653","1,028","1,414","3,084"
"Germany","66","143","553","878","1,301","1,723","2,871"
"Thailand","34","74","413","816","1,259","1,706","2,797"
"Canada","52","102","387","658","942","1,282","1,999"
"Turkey","53","117","395","581","848","1,173","1,964"
"India","29","61","268","501","791","1,033","1,727"
"Australia","30","62","220","392","671","962","1,530"
"Italy","38","81","312","501","701","966","1,515"
"Ukraine","31","63","279","481","688","879","1,437"
"Indonesia","16","37","266","539","747","883","1,332"
"Philippines","22","40","159","333","476","671","1,156"
"Spain","19","44","200","313","421","562","1,031"
"Colombia","9","20","107","220","333","439","949"
"Malaysia","15","32","177","308","385","478","870"
"Poland","14","32","127","201","339","507","858"
"Netherlands","16","32","121","198","307","450","813"
"Egypt","11","25","119","231","343","481","811"
"Sweden","14","31","115","194","306","445","762"
"Kazakhstan","13","26","130","261","384","458","663"
"Hong Kong","10","21","89","168","244","336","610"
"Chile","10","21","93","163","259","440","581"
"Belgium","10","22","83","136","203","318","575"
"Israel","9","21","101","191","303","410","539"
"United Arab Emirates","11","23","99","162","221","319","523"
"Pakistan","5","13","74","136","231","336","466"
"Romania","9","21","101","181","243","302","447"
"Nigeria","5","12","63","103","160","219","432"
"Ecuador","4","9","47","111","158","224","427"
"Switzerland","9","19","74","121","183","261","412"
"Argentina","6","12","58","102","162","235","374"
"Norway","5","13","48","78","131","207","369"
"Denmark","6","14","56","93","145","207","339"
"Portugal","5","14","62","107","159","200","317"
"Czech Republic","8","18","63","95","144","208","309"
"Singapore","4","10","47","80","115","154","301"
"Austria","6","14","52","83","132","178","300"
"Peru","2","7","31","65","107","155","294"
"Ireland","3","8","30","50","79","137","293"
"New Zealand","5","11","41","59","92","139","276"
"South Africa","5","11","41","69","113","168","260"
"Kuwait","4","10","42","70","104","143","254"
"Hungary","6","14","48","80","114","147","245"
"Finland","3","8","32","48","72","107","218"
"Greece","3","6","29","52","80","105","165"
"Macao","0","0","5","11","16","22","39"
