"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"United States","812","1,869","7,975","10,596","13,247","15,233","20,983"
"China","115","377","3,453","5,539","7,926","10,123","13,092"
"Russian Federation","84","212","979","1,414","2,160","2,990","4,548"
"Japan","114","337","1,281","1,896","2,526","3,236","4,332"
"United Kingdom (UK)","92","236","1,183","1,649","2,202","2,673","4,003"
"India","22","62","437","730","1,141","1,784","3,521"
"Saudi Arabia","29","99","732","1,141","1,783","2,174","2,800"
"France","64","175","877","1,206","1,477","1,735","2,566"
"Turkey","34","119","544","786","969","1,324","2,414"
"Vietnam","49","141","653","888","1,076","1,423","2,352"
"Korea, Republic Of","20","84","494","772","1,070","1,432","2,160"
"Germany","56","140","726","995","1,224","1,481","2,155"
"Brazil","40","126","665","965","1,173","1,354","1,767"
"Canada","51","135","621","844","1,072","1,295","1,759"
"Indonesia","7","24","176","307","557","1,103","1,545"
"Taiwan","16","58","308","522","795","1,018","1,528"
"Egypt","7","25","192","356","549","759","1,400"
"Mexico","25","70","397","601","794","1,024","1,381"
"Australia","29","77","418","586","723","896","1,279"
"Italy","28","86","434","602","729","846","1,159"
"Ukraine","16","43","185","285","418","650","1,147"
"Spain","18","52","273","401","541","729","1,125"
"Netherlands","14","43","229","333","471","635","987"
"Colombia","5","17","112","187","296","439","925"
"Sweden","10","30","201","293","399","512","839"
"Thailand","13","42","218","311","389","491","741"
"Kazakhstan","7","20","106","165","242","363","719"
"Pakistan","2","8","79","183","294","392","680"
"Chile","5","16","109","170","242","345","552"
"Nigeria","3","10","87","152","234","321","522"
"Israel","6","22","151","225","286","375","513"
"Belgium","8","25","125","173","212","263","490"
"Norway","4","15","100","145","200","266","483"
"Denmark","6","19","130","190","262","331","471"
"Poland","8","26","157","229","296","350","470"
"Philippines","8","27","126","175","216","294","449"
"United Arab Emirates","6","20","142","219","277","325","435"
"Hong Kong","7","19","87","145","196","252","434"
"Switzerland","7","19","125","185","255","315","429"
"Malaysia","5","16","101","148","194","268","392"
"Romania","4","14","100","141","186","230","359"
"Ecuador","1","5","38","64","103","146","352"
"Ireland","2","7","53","85","116","166","342"
"South Africa","3","11","76","124","158","187","304"
"Austria","4","13","71","102","144","182","287"
"Portugal","3","11","74","111","151","194","283"
"Czech Republic","3","10","69","107","142","174","280"
"Peru","1","4","33","53","73","123","279"
"Finland","2","7","51","83","114","155","274"
"New Zealand","3","10","68","97","124","164","271"
"Kuwait","2","7","54","94","131","159","244"
"Argentina","3","11","72","105","134","162","242"
"Hungary","3","10","61","92","114","146","213"
"Greece","2","7","44","74","100","124","194"
"Singapore","3","9","47","73","94","110","173"
"Macao","0","0","4","7","10","13","23"
