"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"United States","552","1,097","3,968","6,400","8,653","10,851","18,332"
"China","242","959","4,909","8,094","12,027","14,135","18,011"
"Japan","52","169","852","1,362","1,860","2,678","5,146"
"Russian Federation","27","76","573","1,001","1,497","2,139","4,393"
"Taiwan","16","54","309","531","878","1,486","3,078"
"Vietnam","22","81","567","916","1,259","1,612","2,639"
"United Kingdom (UK)","48","112","448","771","1,112","1,492","2,632"
"Turkey","12","34","258","482","759","1,204","2,611"
"Korea, Republic Of","3","15","189","405","651","1,021","2,460"
"Germany","30","74","339","616","1,011","1,454","2,423"
"Saudi Arabia","6","21","387","924","1,424","1,809","2,405"
"France","30","80","333","563","915","1,390","2,357"
"Brazil","13","45","401","705","1,082","1,513","2,331"
"India","8","26","257","516","744","1,033","1,846"
"Thailand","10","33","233","412","642","873","1,813"
"Indonesia","3","10","97","252","481","761","1,765"
"Canada","33","72","291","456","662","878","1,413"
"Mexico","9","28","177","365","604","838","1,359"
"Italy","20","51","237","358","498","733","1,298"
"Ukraine","5","15","124","218","328","516","1,153"
"Australia","20","52","212","323","454","607","1,132"
"Spain","7","21","92","160","280","433","847"
"Philippines","5","15","103","188","260","374","779"
"Hong Kong","5","15","87","158","261","382","714"
"Netherlands","6","17","92","165","253","368","701"
"Sweden","4","12","69","134","237","370","687"
"Kazakhstan","1","6","54","96","146","223","676"
"Malaysia","3","11","57","109","173","285","631"
"Poland","2","8","48","99","184","257","507"
"Egypt","1","5","41","79","116","158","491"
"Belgium","3","9","51","99","152","216","395"
"Israel","1","5","57","135","204","251","389"
"Colombia","1","4","38","85","145","218","365"
"Nigeria","0","1","16","38","87","223","360"
"Romania","3","9","70","122","175","221","343"
"Switzerland","3","9","47","83","126","190","341"
"Chile","1","6","36","79","137","194","335"
"Norway","1","4","34","71","108","151","317"
"Argentina","1","5","34","71","125","190","311"
"Denmark","2","7","40","84","147","195","305"
"Portugal","1","5","33","58","99","157","304"
"Austria","2","6","35","66","116","165","296"
"United Arab Emirates","2","7","53","101","131","153","264"
"Singapore","2","6","29","47","69","112","240"
"Hungary","1","4","24","51","74","106","218"
"South Africa","1","4","32","58","79","105","205"
"New Zealand","2","6","34","50","68","89","202"
"Czech Republic","1","4","27","53","74","104","195"
"Ecuador","0","1","14","35","57","87","168"
"Pakistan","0","1","17","35","57","85","158"
"Finland","0","3","17","35","63","86","150"
"Ireland","0","3","18","37","60","79","149"
"Greece","0","3","15","27","40","62","116"
"Kuwait","0","2","30","55","70","80","114"
"Peru","0","1","12","25","43","61","106"
"Macao","0","0","3","7","14","21","36"
