"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"United States","325","728","3,549","6,505","7,893","8,782","11,867"
"China","24","115","1,261","2,726","4,214","4,956","6,105"
"Japan","67","155","713","1,244","1,922","2,819","4,372"
"United Kingdom (UK)","40","92","353","540","793","1,271","1,792"
"Vietnam","9","42","426","691","981","1,128","1,354"
"Russian Federation","9","27","181","315","528","699","1,073"
"Taiwan","5","17","176","301","592","888","1,046"
"India","2","12","123","343","523","659","1,005"
"Brazil","3","13","117","267","410","594","973"
"Thailand","6","23","133","219","327","386","884"
"France","11","36","203","294","380","491","821"
"Canada","19","44","191","304","437","517","757"
"Philippines","3","13","81","151","236","333","678"
"Germany","11","33","184","253","321","398","659"
"Australia","13","37","162","225","298","376","630"
"Turkey","3","10","84","182","280","380","621"
"Mexico","3","12","63","98","162","233","426"
"Italy","10","29","122","172","213","247","417"
"Romania","1","7","62","108","160","206","372"
"Spain","4","13","62","98","124","154","335"
"Hong Kong","1","5","35","62","103","166","326"
"Sweden","1","7","49","82","111","145","295"
"Indonesia","1","5","50","106","157","184","293"
"Netherlands","2","8","50","87","130","171","289"
"Malaysia","2","6","35","54","74","105","256"
"Saudi Arabia","0","2","36","70","100","125","245"
"Korea, Republic Of","NaN","NaN","37","81","111","137","209"
"Israel","0","2","22","51","88","144","209"
"Belgium","0","3","27","45","65","94","199"
"Nigeria","0","0","6","13","22","59","191"
"Colombia","0","2","20","40","75","111","189"
"Ukraine","2","7","42","87","116","138","182"
"Poland","0","3","23","42","74","99","176"
"Pakistan","0","0","6","16","26","62","163"
"Denmark","0","3","24","40","56","79","157"
"Kazakhstan","0","2","18","34","49","63","153"
"New Zealand","1","4","23","34","46","64","125"
"South Africa","0","2","17","30","49","69","125"
"Ireland","0","1","10","18","29","43","113"
"United Arab Emirates","0","1","15","30","40","48","109"
"Austria","0","2","18","29","45","60","108"
"Egypt","0","1","12","27","38","54","106"
"Chile","0","2","18","31","48","70","99"
"Portugal","0","1","19","30","40","52","84"
"Peru","0","0","5","12","21","35","83"
"Switzerland","0","2","22","36","46","56","81"
"Argentina","0","2","20","30","42","51","77"
"Norway","0","1","13","23","32","42","74"
"Hungary","0","1","13","21","31","54","74"
"Czech Republic","0","1","12","21","32","42","69"
"Greece","0","1","9","17","25","31","68"
"Singapore","0","3","15","23","30","38","66"
"Ecuador","0","0","5","12","23","40","56"
"Finland","0","0","9","14","18","23","47"
"Kuwait","0","0","5","10","16","19","26"
"Macao","0","0","1","2","4","5","13"
