"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"United States","3,759","6,276","14,187","19,045","24,786","29,613","36,691"
"China","1,308","2,474","7,355","10,466","13,914","17,077","25,850"
"Japan","429","772","2,072","3,275","4,324","5,491","8,075"
"Russian Federation","528","937","2,177","3,090","4,169","5,487","7,915"
"United Kingdom (UK)","521","878","2,288","3,143","4,111","5,134","7,517"
"Brazil","280","523","1,473","2,196","2,852","3,780","5,437"
"France","386","668","1,742","2,466","3,404","4,142","5,373"
"Saudi Arabia","335","571","1,247","1,735","2,280","2,999","4,586"
"Vietnam","281","479","1,273","1,914","2,597","3,246","4,541"
"Korea, Republic Of","148","275","865","1,358","2,019","2,722","4,451"
"Germany","306","544","1,374","2,070","2,735","3,285","4,408"
"India","134","277","987","1,622","2,202","2,634","3,491"
"Turkey","178","311","828","1,325","1,748","2,234","3,314"
"Mexico","196","349","842","1,289","1,742","2,248","3,287"
"Taiwan","111","200","605","1,005","1,446","1,882","3,036"
"Thailand","103","184","538","901","1,317","1,780","2,804"
"Canada","259","423","1,004","1,360","1,696","2,066","2,620"
"Italy","187","322","792","1,159","1,500","1,933","2,536"
"Australia","163","278","728","1,075","1,379","1,692","2,301"
"Indonesia","60","121","443","768","1,084","1,462","2,118"
"Ukraine","91","171","489","763","1,115","1,434","2,102"
"Spain","98","180","546","834","1,158","1,505","2,006"
"Netherlands","83","141","415","592","792","1,049","1,519"
"Sweden","73","126","373","554","782","966","1,498"
"Egypt","55","112","371","574","786","1,032","1,441"
"Poland","65","116","318","506","723","937","1,383"
"Malaysia","47","83","268","409","545","728","1,149"
"Israel","58","105","285","419","590","746","1,141"
"Nigeria","19","49","223","341","488","829","1,096"
"Philippines","65","110","284","420","567","687","1,094"
"Colombia","38","74","222","385","557","758","1,051"
"Belgium","53","93","245","360","496","625","939"
"Kazakhstan","43","75","203","323","460","605","928"
"United Arab Emirates","52","87","221","315","430","574","851"
"Chile","42","76","218","315","428","553","821"
"Romania","38","71","203","301","416","544","797"
"Norway","34","61","188","294","427","536","789"
"Denmark","39","67","195","298","405","487","766"
"Pakistan","23","47","171","285","405","551","748"
"Switzerland","47","77","197","282","385","498","727"
"Hong Kong","29","51","159","251","349","486","727"
"Portugal","27","50","148","234","333","438","684"
"South Africa","24","44","133","204","336","465","632"
"Austria","31","55","147","225","313","406","612"
"Czech Republic","29","49","145","216","286","380","583"
"Ireland","20","38","119","184","256","342","526"
"Finland","17","33","111","181","257","321","498"
"New Zealand","27","48","127","184","255","337","498"
"Ecuador","15","30","96","168","261","330","481"
"Argentina","27","47","135","199","267","340","470"
"Hungary","23","41","116","175","234","298","467"
"Kuwait","23","39","100","143","199","259","361"
"Greece","14","26","87","139","194","245","351"
"Singapore","15","27","80","122","170","210","327"
"Peru","11","21","62","103","175","230","322"
"Macao","1","2","9","16","25","35","55"
