"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"China","80","241","2,496","4,685","7,579","12,402","18,663"
"United States","529","1,190","4,841","8,024","10,402","12,536","17,784"
"Japan","117","271","1,215","1,662","2,023","2,494","4,114"
"United Kingdom (UK)","67","145","699","1,225","1,690","2,130","3,826"
"India","13","33","174","322","486","809","3,491"
"Russian Federation","131","278","927","1,312","1,605","1,927","2,903"
"Saudi Arabia","39","89","471","937","1,610","2,117","2,601"
"Germany","43","89","372","770","1,290","1,658","2,475"
"France","52","111","562","910","1,180","1,448","2,187"
"Korea, Republic Of","14","37","234","368","588","980","2,075"
"Brazil","51","106","616","1,022","1,357","1,588","2,049"
"Canada","34","75","380","577","747","920","1,443"
"Italy","24","57","303","503","649","934","1,396"
"Turkey","33","67","289","554","710","834","1,240"
"Mexico","26","59","327","579","751","919","1,222"
"Vietnam","44","94","373","576","700","848","1,192"
"Indonesia","8","19","145","318","474","646","1,161"
"Thailand","16","37","197","338","498","659","1,069"
"Australia","19","45","220","375","494","601","1,039"
"Spain","13","29","187","340","470","617","890"
"Ukraine","18","41","162","235","335","430","731"
"Netherlands","12","26","134","213","295","455","720"
"Egypt","6","15","104","178","309","428","645"
"Pakistan","2","5","43","90","190","324","633"
"Taiwan","10","28","149","261","337","414","615"
"Poland","11","24","110","187","282","367","603"
"Sweden","11","26","91","154","229","305","581"
"Belgium","6","15","79","135","191","266","422"
"Philippines","11","25","98","143","197","252","410"
"United Arab Emirates","5","13","80","148","229","286","393"
"Malaysia","7","16","73","122","162","206","390"
"Denmark","5","13","54","97","156","209","371"
"Switzerland","5","11","65","124","168","226","370"
"Czech Republic","4","9","49","103","148","206","353"
"Norway","4","10","40","81","125","197","352"
"Colombia","4","11","88","160","208","247","345"
"Israel","5","12","57","102","153","201","339"
"Romania","4","10","51","94","139","182","328"
"Chile","5","12","80","141","180","216","306"
"Kazakhstan","7","17","76","116","154","184","296"
"Austria","3","8","40","80","142","197","286"
"Portugal","3","8","62","105","142","175","256"
"Argentina","3","8","52","89","124","160","249"
"Hong Kong","4","10","41","73","113","159","245"
"South Africa","3","6","42","66","95","126","219"
"Hungary","3","7","38","76","106","140","217"
"Finland","2","6","32","62","93","137","209"
"Ireland","2","6","38","65","89","118","201"
"New Zealand","2","7","38","57","76","100","183"
"Kuwait","2","6","33","58","94","136","182"
"Nigeria","1","4","25","66","97","117","163"
"Ecuador","1","4","30","57","76","91","132"
"Singapore","2","5","27","39","47","61","118"
"Greece","1","3","21","34","45","62","115"
"Peru","1","3","21","36","51","63","91"
"Macao","0","0","2","4","7","11","26"
