"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"United States","7,237","10,398","20,642","26,533","31,666","35,723","42,629"
"China","3,534","5,845","15,156","20,056","24,900","29,707","33,569"
"Japan","1,183","1,875","4,876","7,198","9,897","12,410","15,424"
"Russian Federation","1,132","1,617","3,514","4,667","5,464","6,561","9,104"
"United Kingdom (UK)","1,024","1,554","3,282","4,547","5,789","6,846","8,912"
"Korea, Republic Of","365","619","1,929","3,173","4,753","6,010","8,247"
"Vietnam","643","963","2,644","3,941","4,963","5,544","7,124"
"France","859","1,184","2,563","3,545","4,219","5,345","6,486"
"Taiwan","295","489","1,461","2,516","3,507","4,441","6,222"
"Brazil","749","1,144","2,533","3,367","4,235","4,948","6,092"
"Saudi Arabia","690","1,037","2,192","2,831","3,420","4,042","5,294"
"Germany","651","979","2,133","2,953","3,595","4,156","5,279"
"Thailand","272","458","1,295","2,104","2,875","3,510","5,257"
"India","389","691","1,809","2,510","3,164","3,593","4,996"
"Mexico","419","626","1,503","2,095","2,799","3,448","4,242"
"Turkey","459","682","1,606","2,278","2,721","3,001","4,151"
"Canada","498","738","1,524","1,951","2,330","2,732","3,288"
"Indonesia","189","341","1,060","1,491","2,107","2,407","2,994"
"Italy","406","611","1,280","1,743","2,101","2,562","2,991"
"Ukraine","225","348","896","1,321","1,691","2,060","2,864"
"Australia","347","517","1,118","1,575","1,900","2,285","2,766"
"Spain","239","374","911","1,227","1,599","1,949","2,369"
"Philippines","149","227","600","890","1,159","1,399","2,145"
"Netherlands","179","267","675","942","1,207","1,560","1,952"
"Sweden","154","242","615","877","1,150","1,368","1,945"
"Egypt","140","250","649","916","1,159","1,363","1,758"
"Malaysia","126","213","536","807","1,050","1,312","1,735"
"Poland","143","213","538","778","980","1,150","1,714"
"Hong Kong","82","133","364","578","825","1,020","1,369"
"Israel","126","194","496","709","857","1,006","1,355"
"Colombia","99","168","457","635","836","970","1,288"
"Pakistan","76","136","396","587","741","883","1,187"
"Belgium","112","174","393","565","706","864","1,186"
"Kazakhstan","110","165","410","569","715","863","1,168"
"Nigeria","76","136","409","586","747","846","1,109"
"Norway","77","121","331","490","625","753","1,053"
"Denmark","83","129","346","452","614","698","991"
"Chile","99","155","358","511","649","777","988"
"Romania","97","147","368","504","620","746","987"
"United Arab Emirates","110","162","374","513","640","731","983"
"Switzerland","97","141","331","459","545","680","895"
"Portugal","71","113","277","389","488","597","860"
"Czech Republic","66","102","249","346","452","527","769"
"Austria","70","106","249","360","443","516","744"
"South Africa","61","99","250","355","461","530","701"
"Ireland","48","80","209","302","399","489","667"
"Finland","44","74","205","290","358","434","614"
"New Zealand","60","90","210","307","393","471","591"
"Singapore","40","68","177","261","332","441","585"
"Hungary","54","83","209","287","378","435","577"
"Ecuador","39","68","195","275","371","441","577"
"Argentina","65","102","233","318","394","461","562"
"Greece","35","59","148","223","267","318","431"
"Kuwait","48","72","175","235","294","340","375"
"Peru","28","46","125","186","251","295","374"
"Macao","4","7","23","34","46","57","77"
