"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"United States","2,362","4,690","13,045","17,231","20,681","23,721","28,624"
"China","509","1,279","4,113","6,783","9,874","12,733","18,150"
"Japan","363","725","2,341","3,274","4,360","5,792","8,646"
"Russian Federation","305","600","1,776","2,614","3,361","3,900","6,035"
"United Kingdom (UK)","326","666","1,930","2,639","3,363","4,224","5,960"
"France","234","508","1,494","2,016","2,481","2,904","4,291"
"Germany","187","401","1,167","1,642","2,120","2,534","3,583"
"Vietnam","157","311","902","1,265","1,777","2,251","3,411"
"India","73","175","698","1,137","1,624","2,108","3,229"
"Saudi Arabia","165","365","1,052","1,503","1,922","2,312","3,215"
"Brazil","181","375","1,233","1,749","2,219","2,501","3,205"
"Turkey","105","217","712","1,166","1,633","1,981","2,792"
"Canada","179","359","1,035","1,413","1,682","1,969","2,579"
"Korea, Republic Of","77","174","590","907","1,259","1,623","2,529"
"Italy","117","254","777","1,131","1,462","1,762","2,339"
"Australia","110","238","744","982","1,230","1,463","2,134"
"Mexico","101","221","694","962","1,244","1,487","2,119"
"Thailand","58","130","473","686","928","1,213","2,050"
"Taiwan","66","135","487","761","996","1,221","1,811"
"Spain","63","139","460","698","910","1,152","1,714"
"Ukraine","56","113","366","562","768","992","1,465"
"Indonesia","35","81","401","591","774","919","1,343"
"Sweden","41","91","325","506","698","895","1,319"
"Netherlands","51","109","356","563","743","956","1,308"
"Egypt","30","66","282","453","592","737","1,127"
"Philippines","38","79","270","403","525","693","1,090"
"Poland","35","77","255","394","533","661","1,044"
"Malaysia","28","65","234","361","487","597","989"
"Israel","31","69","230","355","523","677","978"
"Nigeria","9","25","129","208","302","442","963"
"Belgium","34","69","203","309","418","541","827"
"Kazakhstan","28","60","183","293","389","495","757"
"Colombia","19","49","177","286","399","504","749"
"Norway","20","45","172","272","384","513","725"
"Denmark","26","57","190","291","396","493","706"
"Romania","21","46","157","249","345","439","675"
"Pakistan","11","24","134","227","329","441","669"
"United Arab Emirates","28","60","191","289","387","478","656"
"Chile","24","53","177","280","359","431","610"
"Switzerland","27","63","192","269","348","422","594"
"Hong Kong","20","40","148","214","285","365","551"
"South Africa","14","35","141","224","316","396","547"
"Portugal","17","37","141","218","290","363","530"
"Austria","16","37","125","193","264","341","495"
"Czech Republic","16","35","121","182","261","319","485"
"Ireland","10","26","93","154","218","281","442"
"New Zealand","15","39","126","189","252","305","438"
"Hungary","13","30","102","163","224","283","418"
"Argentina","14","34","123","183","233","279","401"
"Finland","9","22","90","137","185","238","348"
"Greece","8","19","87","132","180","231","332"
"Singapore","10","23","82","117","154","188","305"
"Kuwait","12","26","83","125","171","215","301"
"Ecuador","7","17","69","109","154","203","287"
"Peru","5","14","55","81","114","151","202"
"Macao","0","1","7","13","20","26","44"
