"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"United States","768","1,617","6,041","8,910","11,545","13,861","17,628"
"China","104","273","1,593","3,305","5,407","7,434","10,865"
"Russian Federation","168","396","1,293","1,738","2,159","2,889","4,424"
"United Kingdom (UK)","95","214","789","1,238","1,694","2,205","3,177"
"Saudi Arabia","114","277","916","1,305","1,737","2,196","3,071"
"Japan","43","104","477","773","1,144","1,546","2,791"
"France","85","199","764","1,185","1,499","1,821","2,712"
"Brazil","68","167","655","974","1,271","1,562","2,310"
"India","52","124","594","1,010","1,384","1,614","2,126"
"Germany","60","141","523","778","988","1,226","1,862"
"Turkey","65","145","559","762","951","1,119","1,810"
"Ukraine","28","65","231","356","547","741","1,507"
"Vietnam","54","118","463","666","854","1,004","1,506"
"Mexico","46","112","441","640","814","1,008","1,411"
"Korea, Republic Of","10","27","183","307","464","787","1,377"
"Italy","37","80","331","502","657","779","1,254"
"Canada","46","100","385","577","738","864","1,179"
"Taiwan","11","28","153","273","407","530","1,098"
"Thailand","20","52","207","365","501","591","1,036"
"Australia","33","74","268","405","527","669","978"
"Spain","19","46","206","314","409","514","920"
"Indonesia","13","31","146","228","306","383","766"
"Sweden","14","30","116","180","266","394","758"
"Egypt","16","41","177","265","361","491","684"
"Netherlands","15","35","136","213","306","401","659"
"Malaysia","12","27","122","176","224","281","579"
"Poland","11","28","107","165","219","281","538"
"Israel","13","32","128","198","267","345","502"
"Nigeria","6","19","112","163","208","261","465"
"United Arab Emirates","18","39","117","164","225","284","445"
"Kazakhstan","15","34","123","178","232","311","439"
"Belgium","11","26","98","144","200","269","439"
"Pakistan","14","34","135","186","241","292","429"
"Philippines","12","27","100","153","192","242","407"
"Romania","10","26","93","138","189","237","404"
"Colombia","8","21","93","154","230","279","398"
"Denmark","5","14","54","86","129","185","386"
"Norway","5","13","52","85","131","183","378"
"Chile","8","20","89","130","177","221","348"
"Switzerland","10","22","76","114","156","207","327"
"Czech Republic","6","15","58","87","119","161","308"
"South Africa","8","19","66","101","144","199","296"
"Portugal","6","15","56","84","116","150","265"
"Hungary","6","14","49","74","105","140","249"
"Austria","6","15","59","85","110","147","241"
"Kuwait","7","16","54","79","107","145","217"
"Ireland","3","9","38","63","90","130","214"
"Finland","3","8","31","52","72","100","206"
"Hong Kong","3","10","46","73","95","123","205"
"New Zealand","5","13","49","71","95","120","185"
"Argentina","5","12","51","83","107","125","176"
"Ecuador","3","7","37","68","94","118","172"
"Greece","3","7","31","49","72","94","157"
"Singapore","3","7","24","38","48","60","116"
"Peru","1","3","20","31","47","63","88"
"Macao","0","0","2","4","5","8","16"
