"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"United States","1,124","2,084","6,791","10,696","13,718","18,109","30,346"
"China","1,037","1,838","6,043","9,397","13,805","17,496","24,859"
"Japan","223","495","2,098","3,798","6,061","8,650","14,819"
"Korea, Republic Of","56","116","682","1,793","3,294","4,907","7,910"
"Vietnam","128","233","1,044","2,139","3,279","4,208","6,416"
"Taiwan","77","155","798","1,511","2,407","3,582","6,125"
"United Kingdom (UK)","131","281","982","1,586","2,124","2,789","4,637"
"Thailand","52","98","359","732","1,367","2,216","4,280"
"France","112","240","795","1,181","1,654","2,284","4,255"
"Russian Federation","188","361","1,111","1,584","2,176","2,756","3,980"
"Brazil","95","197","821","1,184","1,580","2,106","3,553"
"Germany","86","192","614","955","1,430","1,939","3,397"
"Saudi Arabia","68","151","628","906","1,217","1,580","2,731"
"Canada","73","157","496","767","1,051","1,346","2,215"
"India","25","62","279","446","747","1,205","2,128"
"Australia","46","96","308","489","676","931","1,903"
"Indonesia","22","47","189","330","523","893","1,849"
"Turkey","55","114","387","542","777","996","1,726"
"Italy","47","102","342","497","697","946","1,726"
"Mexico","46","101","397","566","710","887","1,684"
"Ukraine","30","63","237","354","553","848","1,665"
"Spain","25","54","193","333","540","763","1,420"
"Hong Kong","20","41","191","366","616","868","1,328"
"Malaysia","21","41","163","274","454","683","1,258"
"Sweden","18","41","143","245","393","573","1,077"
"Poland","19","41","131","218","370","516","1,061"
"Philippines","25","49","158","240","348","491","1,051"
"Netherlands","20","44","151","270","390","561","1,003"
"Egypt","10","24","111","181","288","426","757"
"Belgium","13","29","100","161","243","334","591"
"Israel","10","25","98","149","204","290","591"
"Norway","8","19","70","130","209","306","587"
"Denmark","9","21","73","124","185","263","532"
"Singapore","8","16","66","116","178","261","529"
"Chile","11","25","93","149","223","297","503"
"Colombia","9","21","99","140","193","262","499"
"United Arab Emirates","11","24","95","148","199","278","492"
"Switzerland","11","24","83","132","186","258","492"
"Romania","11","24","83","127","176","249","477"
"Kazakhstan","11","25","107","156","213","276","466"
"Czech Republic","8","18","63","104","159","228","443"
"Portugal","8","17","64","101","148","206","441"
"Austria","7","17","64","104","153","217","401"
"Pakistan","4","10","61","96","134","181","341"
"Nigeria","5","14","69","130","186","235","340"
"New Zealand","7","15","56","87","115","160","328"
"Ireland","5","12","48","84","122","172","327"
"Hungary","6","14","46","72","108","152","325"
"Finland","4","10","36","67","107","168","308"
"Argentina","6","15","61","89","116","161","270"
"South Africa","7","15","57","87","117","151","257"
"Greece","3","8","28","45","64","91","195"
"Ecuador","3","8","41","64","87","112","193"
"Kuwait","4","10","39","62","85","110","191"
"Peru","2","7","31","44","62","87","156"
"Macao","0","1","10","19","29","38","62"
