"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"United States","2,645","4,386","11,551","16,359","21,010","24,749","32,226"
"China","876","1,749","5,381","7,716","9,668","12,342","18,193"
"Japan","329","562","1,825","2,835","4,136","5,285","8,679"
"United Kingdom (UK)","399","667","1,758","2,626","3,697","4,758","6,958"
"Russian Federation","433","773","1,737","2,372","2,832","3,503","5,286"
"France","297","501","1,392","1,965","2,664","3,401","4,975"
"Korea, Republic Of","100","188","702","1,199","1,781","2,414","4,794"
"Vietnam","209","365","1,110","1,799","2,185","2,673","4,457"
"Germany","241","410","1,182","1,780","2,270","2,704","3,937"
"Saudi Arabia","262","488","1,183","1,584","1,971","2,363","3,881"
"Brazil","246","480","1,396","2,076","2,578","2,941","3,579"
"India","113","234","882","1,281","1,662","2,074","3,035"
"Turkey","165","292","855","1,187","1,499","1,799","2,664"
"Canada","188","318","829","1,173","1,539","1,908","2,512"
"Taiwan","80","153","529","908","1,287","1,539","2,478"
"Italy","138","252","753","1,140","1,497","1,817","2,370"
"Mexico","133","239","720","1,097","1,351","1,595","2,350"
"Thailand","86","154","489","805","1,106","1,375","2,314"
"Australia","125","214","618","906","1,199","1,502","2,046"
"Spain","77","142","450","701","952","1,207","1,797"
"Indonesia","51","107","426","643","884","1,100","1,715"
"Ukraine","80","150","388","560","714","898","1,551"
"Netherlands","62","107","316","537","783","927","1,424"
"Sweden","55","96","289","466","685","916","1,406"
"Egypt","38","82","302","499","697","837","1,108"
"Poland","52","92","264","405","571","684","1,064"
"Israel","38","72","247","415","580","701","1,025"
"Malaysia","44","81","262","391","515","633","1,002"
"Philippines","50","89","248","362","482","597","950"
"Belgium","41","70","212","327","445","598","887"
"Norway","26","47","151","258","374","512","798"
"Romania","34","64","192","298","427","542","784"
"Pakistan","23","54","196","306","400","512","768"
"Denmark","29","51","152","262","366","480","758"
"Colombia","26","55","205","334","417","484","739"
"Nigeria","12","31","145","252","426","539","731"
"Kazakhstan","35","65","197","295","364","447","731"
"United Arab Emirates","39","69","185","270","378","451","710"
"Switzerland","35","59","163","247","339","436","644"
"Chile","30","57","175","256","329","410","625"
"Portugal","23","44","149","239","330","407","620"
"Hong Kong","24","41","133","211","282","344","562"
"Czech Republic","25","43","130","209","283","351","536"
"Austria","24","42","131","207","278","350","507"
"Ireland","16","30","101","169","229","289","466"
"Hungary","19","34","104","168","233","291","461"
"New Zealand","20","36","106","163","219","281","423"
"Argentina","20","38","126","184","238","283","413"
"South Africa","19","36","123","197","252","291","411"
"Finland","12","22","80","136","199","257","400"
"Singapore","12","21","72","112","163","205","313"
"Greece","10","19","69","125","171","208","307"
"Kuwait","18","31","88","124","161","201","291"
"Ecuador","9","19","81","134","169","201","286"
"Peru","7","13","52","79","106","125","169"
"Macao","1","2","8","13","19","23","39"
