"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"United States","761","1,671","5,279","7,845","10,644","13,603","17,195"
"China","78","230","1,578","2,633","3,493","4,241","6,021"
"United Kingdom (UK)","112","261","954","1,468","1,888","2,531","3,675"
"Brazil","52","137","746","1,325","1,825","2,357","3,274"
"Japan","65","141","560","928","1,351","1,764","3,164"
"France","80","215","838","1,197","1,570","1,992","3,121"
"Vietnam","37","100","438","773","1,316","1,918","2,389"
"Russian Federation","68","185","760","1,152","1,400","1,653","2,260"
"India","37","96","531","967","1,345","1,658","2,258"
"Saudi Arabia","47","132","642","893","1,240","1,511","2,175"
"Germany","54","145","596","836","1,100","1,336","2,084"
"Thailand","15","40","199","368","732","1,022","1,757"
"Korea, Republic Of","14","39","240","484","890","1,163","1,711"
"Turkey","32","97","479","871","1,126","1,312","1,670"
"Mexico","30","80","366","601","839","1,106","1,559"
"Italy","36","99","424","626","806","994","1,550"
"Indonesia","9","25","171","331","658","948","1,362"
"Canada","46","108","346","490","658","856","1,270"
"Spain","21","57","267","423","545","688","1,084"
"Australia","34","80","239","361","534","683","1,073"
"Egypt","9","29","178","351","500","616","884"
"Malaysia","8","23","104","194","363","482","794"
"Netherlands","14","37","166","260","341","447","782"
"Pakistan","6","22","135","237","342","439","751"
"Nigeria","6","18","117","249","451","551","729"
"Israel","9","27","137","216","325","455","725"
"Sweden","14","34","135","213","290","387","701"
"Taiwan","11","32","137","246","348","428","681"
"Romania","6","18","94","141","198","288","630"
"Poland","10","28","120","176","253","334","612"
"Philippines","8","20","83","137","204","293","598"
"Ukraine","13","36","156","237","302","368","535"
"United Arab Emirates","10","28","124","177","250","350","527"
"Colombia","6","18","102","196","305","397","525"
"Belgium","10","27","113","174","235","309","505"
"Switzerland","9","22","95","141","189","243","423"
"Norway","5","15","65","103","141","182","398"
"Portugal","6","17","83","140","198","250","391"
"Denmark","6","16","74","112","153","196","364"
"Chile","6","18","92","134","185","250","352"
"Ireland","4","13","56","96","142","188","325"
"South Africa","6","16","67","117","180","229","307"
"Kazakhstan","6","19","103","150","186","224","294"
"Austria","5","15","66","99","135","170","273"
"Finland","3","9","41","65","94","137","270"
"Argentina","5","16","73","114","151","183","267"
"Ecuador","2","6","41","85","136","163","257"
"Czech Republic","5","14","62","85","109","133","246"
"New Zealand","5","13","45","68","96","133","229"
"Kuwait","3","10","51","77","106","144","222"
"Hungary","3","11","47","72","100","125","219"
"Singapore","2","6","27","53","104","132","207"
"Greece","2","7","36","58","84","114","206"
"Hong Kong","4","11","42","65","89","107","178"
"Peru","1","3","23","46","65","78","122"
"Macao","0","0","2","3","5","7","10"
