"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"China","657","1,598","7,559","13,314","17,897","24,103","29,334"
"United States","942","1,883","9,033","12,536","15,357","18,002","26,911"
"Japan","115","294","1,532","2,492","3,629","5,022","7,604"
"Vietnam","76","178","1,063","2,042","3,189","4,039","5,543"
"Russian Federation","129","303","1,293","1,883","2,468","3,026","4,949"
"Korea, Republic Of","41","114","671","1,348","2,100","2,913","4,786"
"United Kingdom (UK)","142","309","1,279","1,813","2,369","2,853","4,289"
"France","98","247","1,018","1,485","1,972","2,529","4,010"
"Taiwan","49","125","588","1,028","1,536","2,012","3,779"
"India","22","64","428","889","1,441","1,975","3,761"
"Saudi Arabia","43","133","849","1,450","2,112","2,615","3,585"
"Thailand","34","80","409","746","1,248","1,897","3,364"
"Turkey","47","137","649","1,064","1,515","1,992","3,145"
"Germany","96","235","939","1,370","1,693","2,037","2,894"
"Brazil","65","182","854","1,238","1,643","1,986","2,891"
"Indonesia","15","44","275","620","969","1,630","2,609"
"Mexico","32","95","467","721","1,040","1,357","2,401"
"Canada","73","168","668","957","1,188","1,467","2,133"
"Italy","42","119","493","728","929","1,164","1,724"
"Philippines","18","45","240","399","577","753","1,668"
"Ukraine","26","67","355","521","689","931","1,639"
"Australia","48","113","466","654","815","995","1,623"
"Spain","27","73","312","488","652","838","1,442"
"Netherlands","25","62","252","378","517","655","1,321"
"Egypt","9","27","168","282","451","646","1,298"
"Pakistan","3","10","66","133","220","372","1,159"
"Malaysia","14","38","207","372","563","791","1,081"
"Sweden","18","46","207","327","440","594","999"
"Poland","20","50","184","272","386","503","956"
"Hong Kong","16","37","166","258","368","501","901"
"Israel","9","26","140","229","347","496","840"
"United Arab Emirates","9","28","139","212","299","419","655"
"Belgium","14","36","152","222","283","369","623"
"Chile","8","25","122","186","249","316","615"
"Kazakhstan","9","26","151","242","300","374","587"
"Romania","10","25","120","202","292","381","579"
"Norway","9","23","112","180","258","330","558"
"Denmark","11","28","108","166","238","321","538"
"Colombia","7","22","121","194","262","332","516"
"Switzerland","12","31","127","182","232","301","510"
"Czech Republic","10","26","100","152","204","250","447"
"Portugal","8","21","92","143","188","243","436"
"Hungary","7","18","73","121","172","235","376"
"Nigeria","3","11","88","154","213","254","367"
"Singapore","7","17","79","123","172","217","351"
"Austria","9","22","98","147","187","221","334"
"Argentina","6","17","78","112","146","193","327"
"Finland","4","11","66","114","162","211","326"
"South Africa","5","14","79","116","150","185","324"
"Ecuador","2","7","45","89","130","172","309"
"Kuwait","3","11","64","99","139","185","299"
"Ireland","4","12","61","98","133","175","297"
"New Zealand","7","17","84","115","146","178","278"
"Greece","3","10","49","72","97","124","215"
"Peru","2","7","41","63","97","122","211"
"Macao","0","1","8","14","20","26","42"
