"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"United States","268","814","4,868","9,835","14,538","18,888","22,283"
"China","36","146","1,237","2,225","3,083","3,950","5,924"
"United Kingdom (UK)","41","138","905","1,557","2,506","3,580","5,275"
"Japan","31","95","791","1,425","2,026","2,620","3,943"
"Russian Federation","23","80","662","1,070","1,404","2,086","3,627"
"Brazil","6","29","611","1,034","1,351","1,600","2,160"
"France","20","68","700","1,019","1,250","1,456","1,923"
"Canada","18","56","391","708","1,217","1,673","1,909"
"Saudi Arabia","4","17","296","568","789","1,024","1,704"
"Turkey","6","22","283","519","691","895","1,696"
"Vietnam","1","7","64","126","253","515","1,536"
"Germany","15","54","426","748","963","1,145","1,507"
"Australia","11","38","296","495","815","1,277","1,507"
"Italy","7","28","390","587","790","955","1,380"
"Ukraine","4","14","98","207","381","690","1,228"
"Korea, Republic Of","1","5","77","145","308","632","964"
"India","3","12","110","212","383","536","907"
"Spain","5","18","173","315","444","585","892"
"Taiwan","2","7","93","224","388","548","838"
"Mexico","4","16","216","413","558","663","830"
"Thailand","1","4","59","147","366","507","815"
"Indonesia","0","3","64","138","328","454","737"
"Philippines","3","10","107","214","299","409","676"
"Sweden","2","9","85","173","240","326","629"
"Netherlands","4","15","126","206","268","327","559"
"Poland","1","8","96","193","280","351","521"
"Israel","1","5","77","137","181","237","489"
"Malaysia","1","4","58","122","180","265","429"
"Nigeria","0","4","53","106","171","248","367"
"Chile","1","4","63","118","174","216","347"
"New Zealand","1","5","52","84","149","231","338"
"South Africa","1","5","49","90","132","197","337"
"Hong Kong","1","3","46","99","156","206","328"
"Egypt","1","4","50","113","160","209","321"
"Portugal","1","4","52","91","128","174","319"
"Norway","1","4","56","95","129","182","311"
"Romania","0","3","47","82","121","160","298"
"Denmark","1","6","65","107","149","188","287"
"Belgium","2","9","75","112","149","182","283"
"United Arab Emirates","1","5","44","81","118","148","277"
"Ireland","1","4","40","65","107","182","276"
"Kazakhstan","1","5","39","96","127","166","273"
"Colombia","0","4","46","79","126","158","249"
"Switzerland","2","7","61","107","137","170","245"
"Hungary","0","3","28","50","68","112","239"
"Finland","0","2","29","58","92","125","230"
"Czech Republic","0","4","33","62","103","138","227"
"Argentina","0","4","49","89","124","152","215"
"Austria","1","4","42","71","92","119","210"
"Singapore","0","2","25","51","74","134","192"
"Pakistan","0","1","13","26","42","68","175"
"Greece","0","1","21","40","62","86","138"
"Kuwait","0","1","21","42","59","76","135"
"Ecuador","0","1","15","26","41","55","89"
"Peru","0","1","14","25","33","42","68"
"Macao","0","0","1","2","4","7","16"
