"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"China","365","774","3,988","6,370","8,789","10,803","14,557"
"United States","1,256","2,072","5,035","7,258","9,152","10,517","12,957"
"Germany","181","368","1,141","1,823","2,749","3,641","6,546"
"France","173","344","1,119","1,870","2,743","3,498","5,232"
"United Kingdom (UK)","269","465","1,232","1,866","2,478","3,003","5,194"
"Russian Federation","125","240","994","1,548","2,153","3,075","5,157"
"Japan","175","327","1,150","1,697","2,264","2,757","4,592"
"Brazil","165","337","1,124","1,682","2,228","2,925","4,559"
"Vietnam","32","69","356","653","1,051","1,466","3,554"
"Korea, Republic Of","63","157","670","1,090","1,537","1,960","3,275"
"Saudi Arabia","47","111","533","953","1,468","2,055","3,179"
"Turkey","48","101","467","793","1,212","1,758","2,995"
"Italy","76","149","482","734","1,013","1,319","2,972"
"India","72","151","587","921","1,294","1,725","2,660"
"Ukraine","24","49","233","404","608","1,052","2,585"
"Indonesia","18","42","217","357","538","775","2,465"
"Canada","100","179","532","788","1,045","1,349","2,197"
"Spain","64","129","413","614","780","1,014","1,836"
"Netherlands","55","104","335","511","761","1,027","1,756"
"Australia","95","162","419","593","771","1,010","1,726"
"Mexico","48","101","406","610","839","1,059","1,679"
"Malaysia","18","38","152","238","346","468","1,594"
"Poland","28","57","241","432","647","896","1,502"
"Taiwan","31","66","264","424","603","787","1,372"
"Thailand","22","47","238","398","600","784","1,336"
"Singapore","12","23","76","130","198","321","979"
"Hong Kong","12","25","86","133","193","336","919"
"Belgium","27","52","165","261","349","469","776"
"Sweden","31","58","180","272","365","456","762"
"Philippines","17","36","149","229","337","450","759"
"Austria","16","32","108","165","232","300","741"
"Chile","14","31","117","170","226","290","662"
"Colombia","15","33","121","178","236","300","636"
"Egypt","16","33","117","181","259","358","635"
"Czech Republic","11","24","92","155","266","361","597"
"Portugal","13","27","92","141","195","271","591"
"Romania","12","24","94","167","234","327","589"
"Argentina","12","25","85","123","166","207","561"
"Israel","14","31","125","182","242","294","542"
"Switzerland","25","48","131","191","245","329","537"
"Kazakhstan","10","21","95","164","263","351","535"
"United Arab Emirates","18","35","126","180","247","309","489"
"Denmark","21","41","109","162","195","247","467"
"South Africa","12","25","79","134","183","232","385"
"Hungary","8","17","66","108","164","224","367"
"Norway","16","33","99","143","180","230","355"
"Nigeria","6","15","68","113","169","222","344"
"Ireland","13","25","70","107","145","185","288"
"Greece","5","12","50","81","114","153","283"
"New Zealand","11","22","56","81","105","134","280"
"Pakistan","8","17","63","97","133","172","279"
"Peru","4","11","43","67","94","119","256"
"Ecuador","4","10","37","56","77","94","240"
"Finland","7","15","50","79","113","161","224"
"Kuwait","4","9","35","54","79","110","169"
"Macao","0","0","5","8","11","13","21"
