"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"China","1,888","4,415","16,411","21,574","24,698","26,130","30,711"
"United States","1,284","2,349","7,305","11,495","14,459","17,208","21,605"
"Korea, Republic Of","235","548","1,720","2,674","4,133","6,064","12,591"
"Japan","706","1,222","3,846","4,947","6,152","7,696","12,219"
"Thailand","47","113","704","1,439","2,236","3,435","9,998"
"Russian Federation","167","317","1,271","2,232","3,014","3,946","6,856"
"Brazil","109","225","797","1,355","1,913","3,021","6,519"
"Germany","160","316","1,132","1,824","2,566","3,321","6,139"
"France","170","317","1,102","1,806","2,500","3,374","5,228"
"Vietnam","59","145","969","1,901","2,719","3,448","4,966"
"United Kingdom (UK)","196","387","1,200","1,793","2,334","2,951","4,427"
"India","87","202","833","1,464","2,197","2,780","4,420"
"Poland","24","52","266","535","783","1,034","4,273"
"Taiwan","86","214","757","1,120","1,544","2,183","3,832"
"Canada","92","180","612","1,029","1,502","1,935","3,540"
"Turkey","62","129","602","1,044","1,567","2,061","3,373"
"Italy","67","138","542","976","1,371","1,668","3,135"
"Malaysia","29","65","307","548","797","1,098","3,112"
"Saudi Arabia","78","165","641","1,099","1,674","2,049","3,079"
"Mexico","40","83","375","691","1,183","1,611","2,766"
"Indonesia","36","83","381","713","1,043","1,430","2,733"
"Netherlands","42","85","343","604","861","1,185","2,555"
"Philippines","19","45","222","430","655","935","2,445"
"Australia","56","111","439","704","994","1,298","2,037"
"Spain","59","120","394","598","816","1,098","1,955"
"Ukraine","26","55","234","491","695","996","1,769"
"Romania","12","26","115","239","390","589","1,764"
"Hong Kong","28","67","229","336","450","645","1,288"
"Sweden","24","50","170","296","518","634","1,229"
"Singapore","16","33","132","208","285","410","1,016"
"United Arab Emirates","28","59","199","322","424","537","971"
"Kazakhstan","11","26","127","246","374","503","925"
"Chile","12","28","131","224","344","511","891"
"Egypt","19","38","148","256","374","499","890"
"Denmark","16","36","121","203","309","417","876"
"Colombia","14","29","120","195","307","448","856"
"Belgium","21","42","151","249","350","492","832"
"Portugal","10","20","87","153","247","348","808"
"Israel","14","31","120","196","276","374","798"
"Austria","13","27","99","163","235","337","779"
"Pakistan","8","20","89","169","282","401","766"
"South Africa","10","21","81","144","259","364","736"
"Czech Republic","10","21","86","151","237","323","666"
"New Zealand","6","14","69","118","196","262","635"
"Argentina","8","18","78","149","214","295","597"
"Kuwait","7","14","50","77","112","156","585"
"Norway","12","26","94","157","232","322","549"
"Ireland","8","18","78","130","184","251","547"
"Switzerland","16","32","101","151","221","274","526"
"Hungary","6","14","64","117","187","267","506"
"Peru","4","10","54","101","164","251","504"
"Nigeria","12","26","88","152","216","299","482"
"Finland","6","15","68","118","169","219","468"
"Greece","4","10","49","89","140","214","402"
"Ecuador","4","9","40","69","118","175","336"
"Macao","0","2","9","17","26","36","106"
