"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"United States","581","1,257","5,074","8,884","12,439","15,276","19,817"
"China","160","428","3,224","6,729","10,250","12,931","17,590"
"Russian Federation","60","135","946","1,802","2,987","3,983","6,957"
"Japan","110","238","1,211","2,423","3,592","4,728","6,686"
"France","68","150","679","1,328","2,376","3,465","6,275"
"Brazil","56","146","910","1,779","2,607","3,311","5,645"
"Vietnam","26","66","509","1,467","2,364","3,069","5,465"
"India","36","88","489","1,367","2,185","3,062","5,442"
"United Kingdom (UK)","86","192","781","1,394","1,980","2,475","4,464"
"Mexico","37","94","465","1,021","1,466","2,173","4,429"
"Germany","68","146","638","1,094","1,689","2,334","4,412"
"Canada","42","94","413","807","1,188","1,590","3,876"
"Turkey","24","58","338","841","1,529","2,140","3,614"
"Korea, Republic Of","26","71","460","996","1,534","2,034","3,439"
"Saudi Arabia","28","65","383","851","1,496","2,055","2,978"
"Indonesia","15","40","249","594","1,034","1,578","2,895"
"Italy","28","65","315","599","998","1,359","2,514"
"Thailand","17","40","223","444","791","1,197","2,142"
"Australia","28","65","294","515","797","1,053","2,103"
"Egypt","11","27","184","457","862","1,305","2,078"
"Philippines","14","36","177","333","519","749","2,077"
"Taiwan","16","39","253","591","938","1,188","1,975"
"Ukraine","14","32","182","461","766","1,023","1,628"
"Spain","24","55","252","444","638","812","1,620"
"Malaysia","13","31","159","382","572","799","1,604"
"Nigeria","8","20","114","263","468","630","1,387"
"Netherlands","21","46","192","359","534","719","1,338"
"Pakistan","6","15","79","223","399","645","1,309"
"Poland","11","25","120","242","398","555","1,248"
"Colombia","10","28","133","283","398","518","1,150"
"Belgium","13","30","122","222","330","453","924"
"South Africa","5","13","79","152","268","368","803"
"Sweden","12","27","119","228","360","462","797"
"Kazakhstan","6","15","93","208","372","498","716"
"United Arab Emirates","9","22","105","203","301","444","713"
"Chile","8","21","97","159","261","327","689"
"Israel","7","18","100","250","382","448","651"
"Argentina","5","13","64","105","164","232","586"
"Austria","7","15","60","114","168","240","573"
"Switzerland","11","23","86","141","201","268","572"
"Romania","7","16","71","126","229","301","566"
"Peru","3","9","45","84","137","169","504"
"Portugal","5","12","55","98","148","217","491"
"Ireland","4","10","47","88","144","219","480"
"Singapore","6","12","55","85","124","161","470"
"Ecuador","3","10","46","96","144","215","465"
"Greece","2","7","34","63","93","156","449"
"Denmark","6","17","80","147","201","252","447"
"New Zealand","4","11","53","100","141","202","407"
"Norway","6","14","63","114","165","216","394"
"Czech Republic","4","11","47","83","123","191","382"
"Hungary","4","10","43","76","131","189","379"
"Hong Kong","6","13","62","113","176","237","372"
"Finland","2","6","34","61","96","123","265"
"Kuwait","2","5","31","64","100","136","201"
"Macao","0","0","4","6","11","15","26"
