"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"China","98","311","2,209","4,652","11,557","16,589","17,330"
"United States","221","500","1,665","3,856","5,887","7,201","7,647"
"Japan","70","191","1,355","2,706","4,272","5,459","6,166"
"Russian Federation","26","74","797","1,676","2,979","3,743","5,316"
"Brazil","19","46","251","802","1,863","2,440","3,879"
"Germany","42","111","971","1,638","2,064","2,263","2,840"
"Korea, Republic Of","11","35","560","1,073","1,641","2,114","2,777"
"France","38","109","805","1,448","1,891","1,738","2,666"
"Turkey","5","16","215","655","1,182","1,593","2,250"
"Thailand","3","11","76","268","541","776","2,210"
"Vietnam","6","20","170","484","737","1,130","2,035"
"Canada","18","44","288","623","998","1,258","2,027"
"United Kingdom (UK)","29","75","600","1,141","1,555","1,876","1,904"
"Spain","13","32","376","807","1,133","1,343","1,839"
"India","6","16","125","259","516","877","1,815"
"Ukraine","6","16","142","467","701","948","1,633"
"Taiwan","8","28","257","572","906","1,068","1,555"
"Italy","13","32","244","675","918","1,047","1,542"
"Saudi Arabia","4","14","112","348","608","903","1,348"
"Kazakhstan","1","4","49","125","281","403","1,292"
"Poland","4","11","66","161","286","509","1,287"
"Malaysia","1","5","41","137","273","494","1,275"
"Netherlands","10","28","204","473","745","796","1,264"
"Indonesia","1","5","37","126","309","487","1,195"
"Mexico","3","10","60","157","461","713","1,175"
"Australia","11","29","245","490","682","850","1,068"
"Sweden","4","12","136","386","645","633","1,067"
"Austria","3","9","74","148","213","251","736"
"Denmark","2","9","90","207","368","467","710"
"Romania","1","4","25","55","165","288","705"
"Belgium","5","13","111","228","318","355","702"
"Philippines","1","3","21","75","185","305","676"
"Colombia","1","5","47","143","232","329","656"
"Czech Republic","1","5","38","89","167","231","622"
"Israel","1","5","51","211","264","356","607"
"Switzerland","5","13","110","220","276","313","604"
"Norway","3","10","110","247","301","358","592"
"Portugal","1","4","34","87","180","236","587"
"Chile","1","4","30","87","198","283","587"
"Hong Kong","2","6","51","113","243","315","512"
"Egypt","1","3","21","46","96","222","507"
"United Arab Emirates","2","6","54","138","208","314","460"
"Argentina","1","4","44","112","210","277","459"
"Hungary","1","3","22","45","81","139","369"
"South Africa","1","2","15","35","70","166","365"
"Finland","0","4","37","69","119","202","363"
"New Zealand","0","3","20","42","91","119","358"
"Nigeria","0","1","15","52","91","147","348"
"Ireland","1","3","22","50","99","146","343"
"Peru","0","1","9","30","66","119","314"
"Pakistan","0","2","14","29","55","86","309"
"Greece","0","1","15","33","63","116","309"
"Singapore","0","3","46","104","164","200","303"
"Ecuador","0","1","10","21","50","86","271"
"Kuwait","0","1","12","26","54","82","170"
"Macao","0","0","3","7","16","21","30"
