"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"United States","104","292","2,399","5,752","10,150","12,778","17,037"
"Japan","24","63","535","1,219","3,413","4,550","5,991"
"Brazil","6","19","118","244","427","933","2,947"
"Vietnam","4","14","103","341","1,031","1,692","2,747"
"India","11","30","216","522","843","1,168","2,585"
"France","18","41","223","436","837","1,432","2,490"
"United Kingdom (UK)","15","42","279","647","1,306","1,870","2,362"
"Canada","10","26","173","376","763","1,422","2,136"
"Germany","21","46","270","510","894","1,526","2,125"
"Turkey","6","16","106","258","435","893","2,076"
"Thailand","1","7","55","129","281","497","1,986"
"Saudi Arabia","2","8","53","116","242","771","1,975"
"Russian Federation","5","16","107","251","456","751","1,965"
"Taiwan","5","19","138","279","489","865","1,886"
"Mexico","1","7","52","136","279","786","1,660"
"Korea, Republic Of","3","11","81","189","290","412","1,596"
"Italy","7","17","94","207","393","675","1,449"
"Ukraine","1","4","27","113","320","525","1,421"
"Indonesia","0","4","37","83","162","270","1,385"
"Australia","6","20","114","221","405","837","1,124"
"Spain","5","13","69","160","404","616","1,113"
"Belgium","2","8","51","112","192","272","1,100"
"Philippines","0","2","21","49","98","393","1,058"
"Malaysia","1","5","34","71","144","377","1,031"
"Netherlands","6","17","109","254","463","648","976"
"Sweden","4","11","99","282","449","583","802"
"Colombia","0","2","28","65","135","310","718"
"Egypt","0","2","19","60","152","218","702"
"Hong Kong","4","13","93","162","264","388","639"
"Poland","1","4","29","57","110","293","619"
"Israel","1","5","47","115","180","280","604"
"Pakistan","0","1","17","42","88","195","564"
"Nigeria","0","2","35","120","220","293","527"
"United Arab Emirates","1","3","23","53","91","224","526"
"Chile","0","1","18","40","86","205","458"
"South Africa","0","2","19","41","109","171","428"
"Norway","2","6","46","98","187","270","391"
"Romania","0","1","15","41","118","203","388"
"Denmark","1","6","50","95","166","269","386"
"Argentina","0","1","18","40","73","198","355"
"Portugal","0","2","21","47","90","178","353"
"Kazakhstan","0","1","13","34","72","122","316"
"Switzerland","4","8","48","100","158","214","299"
"Singapore","1","4","42","75","129","209","296"
"Ireland","0","3","23","45","88","201","294"
"Finland","0","2","25","71","116","194","282"
"Austria","1","5","33","70","111","197","271"
"Czech Republic","0","1","16","34","66","135","242"
"Peru","0","0","8","19","33","89","242"
"New Zealand","0","2","18","40","63","175","242"
"Hungary","0","1","11","32","66","138","238"
"Ecuador","0","0","6","15","39","90","225"
"Kuwait","0","0","8","26","52","68","192"
"Greece","0","1","12","25","45","106","186"
"Macao","0","0","3","9","17","23","35"
