"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"China","895","2,113","14,425","21,694","24,898","27,962","36,566"
"United States","1,543","2,782","9,505","15,256","16,326","19,746","25,651"
"Vietnam","147","399","3,610","6,392","8,939","13,297","20,852"
"Russian Federation","214","447","2,370","4,343","7,374","10,294","20,265"
"Brazil","267","541","2,925","5,797","9,262","12,006","18,069"
"Japan","361","803","3,223","5,474","7,751","10,793","17,695"
"Thailand","84","239","1,560","3,108","5,354","8,372","15,372"
"Indonesia","83","202","1,585","2,961","5,047","7,958","14,493"
"France","172","343","1,394","2,807","6,080","7,703","13,722"
"India","179","351","1,917","4,357","6,788","9,296","13,592"
"Malaysia","47","105","613","1,395","2,882","4,361","11,855"
"Germany","169","323","1,243","2,356","4,313","5,932","10,667"
"Saudi Arabia","105","242","1,521","3,282","4,926","6,618","9,691"
"Korea, Republic Of","81","193","1,062","1,946","3,409","4,750","9,510"
"Turkey","89","186","1,062","2,194","3,637","5,886","8,858"
"Italy","100","189","881","1,751","2,745","3,960","8,007"
"Mexico","110","222","1,148","2,308","3,597","5,485","8,005"
"United Kingdom (UK)","196","389","1,378","2,585","4,378","5,405","7,108"
"Ukraine","45","98","621","1,232","2,073","3,750","7,085"
"Philippines","54","127","680","1,288","2,342","3,407","6,634"
"Canada","98","185","719","1,541","2,730","3,927","6,017"
"Spain","69","140","717","1,383","2,044","3,110","5,887"
"Taiwan","64","139","727","1,441","2,380","3,457","5,787"
"Egypt","35","76","552","1,095","1,906","3,342","5,238"
"Pakistan","27","60","424","1,035","1,830","3,098","4,999"
"Nigeria","25","58","422","774","1,599","2,452","4,582"
"Australia","78","152","536","1,051","2,027","2,658","4,461"
"United Arab Emirates","33","68","313","632","1,193","1,776","4,191"
"Kazakhstan","23","56","415","743","1,331","2,164","4,052"
"Colombia","36","75","417","820","1,334","2,673","3,940"
"Poland","28","60","307","628","1,205","2,052","3,899"
"Romania","16","33","165","381","813","1,365","3,343"
"South Africa","19","37","177","379","867","1,660","3,269"
"Hong Kong","23","46","183","341","828","1,255","3,050"
"Netherlands","42","82","328","692","1,303","1,780","2,878"
"Portugal","16","32","167","363","596","1,046","2,180"
"Belgium","25","49","185","398","686","940","1,928"
"Chile","27","58","281","550","786","1,290","1,928"
"Israel","22","49","253","460","710","1,288","1,926"
"Argentina","21","44","228","438","689","1,164","1,800"
"Peru","13","27","152","335","562","1,183","1,674"
"Sweden","25","51","224","493","788","1,018","1,590"
"Singapore","16","32","121","230","476","669","1,573"
"Switzerland","22","42","147","277","490","648","1,533"
"Ecuador","13","27","147","318","510","1,038","1,514"
"Austria","15","30","117","230","474","742","1,444"
"New Zealand","12","25","101","234","424","638","1,425"
"Czech Republic","12","25","111","245","442","810","1,342"
"Norway","13","28","126","282","424","565","1,150"
"Hungary","9","20","95","200","379","584","1,112"
"Greece","9","18","89","185","336","596","964"
"Ireland","11","24","96","199","371","481","864"
"Denmark","15","30","111","257","405","524","794"
"Kuwait","10","21","107","225","401","536","783"
"Finland","7","15","76","171","278","366","648"
"Macao","0","2","11","24","44","57","263"
