"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"China","646","1,393","6,621","11,932","16,749","20,704","27,937"
"United States","986","2,196","9,516","14,935","18,769","21,867","24,729"
"Russian Federation","128","297","1,784","2,991","4,447","6,641","22,516"
"Saudi Arabia","82","202","935","1,657","2,414","3,498","12,477"
"India","131","309","1,517","2,606","4,300","5,186","9,690"
"Brazil","132","283","1,665","3,162","4,471","6,096","9,688"
"Vietnam","82","180","1,162","2,434","3,853","5,008","8,748"
"Japan","186","384","1,963","3,029","4,037","5,015","8,167"
"Germany","139","298","1,425","2,417","3,384","4,074","6,544"
"France","106","214","1,134","1,989","2,878","3,746","6,431"
"United Kingdom (UK)","132","284","1,271","2,378","3,433","4,211","5,972"
"Indonesia","45","108","756","1,406","2,006","2,717","5,785"
"Canada","67","151","843","1,598","2,226","2,751","5,614"
"Mexico","59","130","835","1,584","2,409","3,172","5,184"
"Korea, Republic Of","78","181","775","1,272","1,768","2,324","4,914"
"Australia","53","115","577","1,100","1,538","2,082","4,610"
"Malaysia","36","94","529","950","1,413","1,703","4,287"
"Thailand","38","99","612","1,159","1,814","2,480","4,235"
"Italy","63","131","727","1,217","1,771","2,376","4,126"
"Turkey","50","113","572","1,045","1,681","2,251","3,782"
"Philippines","31","78","520","928","1,377","1,805","3,540"
"Taiwan","54","125","639","1,049","1,463","2,016","3,345"
"United Arab Emirates","35","91","396","662","905","1,519","3,329"
"Ukraine","26","63","408","732","1,051","1,534","3,118"
"Spain","45","96","532","905","1,303","1,794","3,080"
"Singapore","17","37","163","275","420","796","2,790"
"Netherlands","34","74","402","782","1,116","1,475","2,777"
"Colombia","19","46","273","511","770","989","2,512"
"Egypt","21","51","266","492","793","1,119","2,112"
"Denmark","11","25","131","229","380","623","1,971"
"South Africa","11","26","152","296","420","638","1,803"
"Nigeria","20","54","277","487","687","848","1,692"
"Pakistan","19","50","310","537","754","1,102","1,622"
"Poland","19","46","235","387","622","804","1,541"
"Sweden","18","42","222","428","654","867","1,459"
"Hong Kong","21","48","190","301","431","580","1,345"
"Kazakhstan","10","25","181","316","477","655","1,336"
"Chile","14","35","211","362","517","705","1,237"
"Israel","14","37","179","285","398","525","1,229"
"Kuwait","6","16","77","135","198","274","1,100"
"Austria","10","24","121","204","342","441","1,080"
"Belgium","16","35","171","292","432","588","1,023"
"Argentina","11","26","161","313","462","566","981"
"Romania","9","23","138","237","338","441","882"
"Switzerland","15","33","142","242","353","524","830"
"Norway","10","24","121","214","321","428","807"
"Peru","6","15","110","214","322","434","782"
"Ireland","6","16","91","157","229","314","755"
"Portugal","9","19","108","187","273","370","720"
"Ecuador","6","16","97","190","272","356","682"
"New Zealand","8","19","107","188","283","382","651"
"Hungary","5","13","80","137","205","315","591"
"Czech Republic","8","19","109","183","253","325","524"
"Finland","4","11","72","128","195","262","451"
"Greece","4","11","65","116","167","223","445"
"Macao","0","2","9","15","21","26","40"
