"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"United States","2,285","5,298","16,203","21,671","23,970","24,963","26,242"
"China","1,208","2,924","13,378","19,335","19,726","19,419","23,629"
"Russian Federation","371","1,208","4,435","5,529","6,712","8,851","17,506"
"Japan","552","1,425","4,769","6,957","8,766","11,928","14,272"
"Brazil","211","746","3,321","5,294","5,761","7,401","11,041"
"Germany","288","708","2,641","3,937","5,071","6,768","10,105"
"Korea, Republic Of","258","663","2,513","3,522","4,648","6,823","9,762"
"Saudi Arabia","272","655","2,126","3,172","4,277","5,308","8,689"
"France","286","701","2,158","3,400","4,237","5,429","8,570"
"United Kingdom (UK)","463","1,129","3,291","4,530","4,905","5,214","7,343"
"India","143","487","1,949","3,182","4,211","5,166","7,213"
"Vietnam","48","147","1,288","2,575","3,654","5,030","7,023"
"Poland","36","122","626","957","1,632","3,078","6,354"
"Turkey","125","482","1,745","2,515","3,378","4,194","6,257"
"Thailand","26","96","1,015","1,767","2,523","3,453","6,235"
"Taiwan","157","368","1,237","1,687","2,065","2,621","5,544"
"Mexico","45","169","1,253","1,962","2,558","3,528","5,408"
"Canada","122","382","1,451","2,244","2,778","3,437","4,769"
"Italy","105","359","1,363","2,081","2,608","3,097","4,553"
"Indonesia","29","79","790","1,448","1,939","2,393","4,187"
"Spain","91","278","1,054","1,435","1,838","2,295","3,687"
"Malaysia","25","75","540","908","1,214","1,566","3,284"
"Netherlands","55","167","691","1,051","1,337","1,849","3,112"
"Philippines","12","38","402","756","1,033","1,328","2,707"
"Australia","80","267","856","1,249","1,555","1,939","2,690"
"Ukraine","26","83","586","952","1,312","1,627","2,641"
"Egypt","21","53","291","590","778","971","2,057"
"Kazakhstan","13","38","335","612","809","1,038","1,747"
"Romania","12","50","339","562","781","1,070","1,714"
"United Arab Emirates","61","149","460","668","847","980","1,604"
"Colombia","9","32","305","537","732","971","1,525"
"Belgium","30","89","362","526","681","840","1,523"
"Hungary","7","33","166","264","383","600","1,327"
"Czech Republic","10","43","217","336","540","767","1,319"
"South Africa","5","19","177","315","484","632","1,308"
"Sweden","24","73","350","498","654","816","1,261"
"Chile","6","26","308","525","678","821","1,241"
"Portugal","12","50","228","349","491","709","1,225"
"Hong Kong","45","110","289","429","571","681","1,140"
"Singapore","20","52","219","342","478","624","1,135"
"Denmark","17","55","222","317","404","566","1,093"
"Ireland","13","45","184","287","376","500","1,067"
"Pakistan","5","14","115","302","495","673","1,002"
"Austria","20","60","249","372","487","611","989"
"Israel","13","37","232","391","523","631","905"
"Switzerland","24","67","240","349","432","547","895"
"Nigeria","5","14","99","258","483","598","862"
"Norway","11","37","186","278","355","434","711"
"Kuwait","30","57","166","238","322","428","696"
"Argentina","3","13","124","237","327","451","690"
"Greece","4","17","112","186","253","321","642"
"Peru","1","7","105","196","282","365","533"
"New Zealand","7","23","136","217","274","346","511"
"Ecuador","1","7","68","136","212","299","458"
"Finland","4","18","120","179","231","283","433"
"Macao","1","4","13","22","30","39","73"
