"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"China","1,233","2,379","11,462","20,471","23,835","25,599","32,934"
"United States","1,073","2,078","9,464","13,824","16,212","18,495","29,960"
"Vietnam","57","175","1,970","4,190","5,259","8,456","16,484"
"Russian Federation","89","200","2,058","4,024","4,892","6,546","15,339"
"Korea, Republic Of","85","196","1,094","1,811","2,700","3,863","14,035"
"France","78","166","1,046","2,461","4,032","6,274","12,314"
"India","101","241","1,504","3,060","4,897","6,911","12,128"
"Indonesia","55","133","1,036","1,875","3,160","4,424","11,922"
"United Kingdom (UK)","99","202","852","2,187","2,675","4,127","10,521"
"Germany","88","185","932","2,080","3,247","4,742","10,138"
"Japan","253","476","2,000","3,437","4,868","6,551","10,100"
"Brazil","109","232","1,336","3,042","4,308","5,419","9,217"
"Turkey","66","142","921","1,937","2,888","3,808","8,916"
"Saudi Arabia","89","206","1,236","2,239","3,363","4,031","8,431"
"Thailand","38","102","855","1,833","2,923","4,615","7,853"
"Canada","55","113","586","1,462","2,057","3,340","6,687"
"Ukraine","15","36","448","948","1,477","2,394","6,408"
"Malaysia","31","70","453","984","1,651","2,717","5,999"
"Netherlands","19","44","232","590","947","1,904","5,988"
"Pakistan","17","39","258","638","1,145","1,907","5,970"
"Italy","37","80","479","1,288","1,865","2,735","5,637"
"Egypt","32","64","404","871","1,618","2,851","5,635"
"Philippines","25","67","508","1,106","1,654","2,550","5,445"
"Mexico","41","85","521","1,316","2,118","2,901","5,442"
"Spain","29","61","355","837","1,236","2,048","5,186"
"Australia","36","74","334","804","1,251","2,006","4,673"
"Taiwan","54","138","955","1,490","1,932","2,458","4,246"
"Kazakhstan","11","27","259","606","937","2,228","4,161"
"United Arab Emirates","29","59","348","624","996","1,831","3,921"
"Poland","9","21","175","482","765","1,303","3,822"
"Romania","7","18","132","352","617","1,107","3,610"
"Nigeria","41","84","449","667","926","1,653","3,427"
"Belgium","12","27","140","349","521","1,140","3,128"
"Colombia","18","38","185","462","910","1,235","2,883"
"Sweden","14","35","161","383","639","936","2,545"
"South Africa","9","20","114","282","588","913","2,545"
"Israel","17","38","191","382","624","984","2,456"
"New Zealand","5","12","60","168","300","607","2,427"
"Hong Kong","18","42","203","391","572","1,167","2,411"
"Switzerland","11","24","107","229","388","762","2,398"
"Portugal","5","12","85","263","406","686","2,333"
"Austria","7","16","100","223","364","686","2,249"
"Czech Republic","3","9","72","186","300","480","2,243"
"Ireland","4","11","62","171","270","521","1,884"
"Norway","5","15","76","181","306","596","1,638"
"Chile","11","25","144","376","573","813","1,536"
"Hungary","3","8","77","200","318","530","1,382"
"Argentina","7","18","101","271","445","632","1,366"
"Finland","2","7","61","146","219","376","1,191"
"Ecuador","5","12","63","201","376","550","1,166"
"Greece","3","8","75","173","291","473","1,163"
"Kuwait","9","20","109","197","287","460","1,123"
"Singapore","10","22","103","218","350","661","1,053"
"Peru","4","11","65","221","415","597","1,050"
"Denmark","6","15","73","164","256","357","795"
"Macao","0","1","11","25","38","57","98"
