"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"China","86","244","1,494","3,467","6,724","11,823","17,097"
"United States","352","803","4,699","8,793","12,009","14,090","17,005"
"United Kingdom (UK)","72","168","976","1,795","2,559","3,431","5,169"
"Russian Federation","16","42","453","1,170","2,082","3,012","5,072"
"Japan","48","118","697","1,566","2,364","3,065","4,903"
"France","43","103","645","1,156","1,658","2,166","3,950"
"Brazil","15","39","377","988","1,654","2,381","3,874"
"Saudi Arabia","6","16","95","298","641","1,104","3,104"
"Canada","24","62","437","825","1,263","1,688","2,933"
"Germany","36","84","483","984","1,428","1,836","2,707"
"Turkey","8","21","162","461","987","1,676","2,606"
"India","8","22","191","513","1,041","1,592","2,540"
"Italy","23","60","396","699","1,030","1,337","2,171"
"Australia","26","64","387","668","977","1,234","1,612"
"Spain","16","40","275","504","740","952","1,541"
"Netherlands","13","34","214","424","700","916","1,492"
"Mexico","6","16","135","335","607","860","1,365"
"Thailand","2","6","45","124","252","412","1,111"
"Korea, Republic Of","4","14","85","186","323","508","1,023"
"Ukraine","2","6","32","92","295","513","1,012"
"Sweden","11","29","167","315","456","635","1,004"
"Egypt","2","6","54","137","270","457","814"
"Poland","3","9","72","179","263","379","694"
"Belgium","6","16","85","149","228","304","629"
"Vietnam","2","8","50","94","155","242","561"
"Malaysia","1","5","30","81","173","286","559"
"Romania","1","4","31","83","177","267","532"
"Colombia","2","7","65","148","255","357","505"
"Indonesia","1","4","25","50","90","168","460"
"Denmark","5","13","68","121","185","269","459"
"Nigeria","1","5","45","113","216","321","437"
"Kazakhstan","0","3","25","94","162","293","435"
"Philippines","1","3","16","29","51","145","429"
"Israel","2","7","37","82","127","194","388"
"Taiwan","3","10","55","90","136","188","371"
"Portugal","3","10","66","128","196","264","368"
"South Africa","2","5","33","73","129","197","364"
"United Arab Emirates","2","6","34","68","113","173","351"
"Norway","4","12","62","119","182","246","343"
"Ireland","5","13","60","100","149","205","340"
"Switzerland","6","12","51","90","138","181","331"
"Chile","1","4","34","83","137","191","281"
"Austria","3","9","47","81","120","162","264"
"Pakistan","1","3","25","54","90","136","244"
"Czech Republic","1","4","34","75","117","156","241"
"Argentina","2","5","39","81","118","157","239"
"Hungary","1","3","22","48","81","121","236"
"Singapore","1","4","19","37","81","141","218"
"Greece","1","3","25","59","113","151","212"
"New Zealand","2","7","37","69","108","144","206"
"Finland","1","5","34","64","91","120","192"
"Kuwait","0","2","14","34","62","102","175"
"Hong Kong","2","6","28","49","71","98","174"
"Peru","0","2","14","32","61","85","156"
"Ecuador","0","2","17","34","50","72","124"
"Macao","0","0","2","3","5","10","19"
