"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"China","508","1,163","7,742","12,391","15,749","18,650","22,899"
"United States","853","2,038","11,557","16,276","18,027","18,597","18,633"
"Brazil","67","194","1,961","3,547","4,801","5,752","7,759"
"Russian Federation","127","313","1,941","3,160","4,064","5,077","7,508"
"Germany","188","422","1,416","2,004","2,640","3,360","5,956"
"Japan","86","244","1,482","2,331","3,062","3,836","5,805"
"India","56","152","1,322","2,332","3,095","4,004","5,564"
"Korea, Republic Of","47","167","1,240","1,984","2,594","3,210","5,079"
"France","199","399","1,493","2,190","2,877","3,489","4,975"
"Canada","60","145","942","1,630","2,022","2,381","4,888"
"Saudi Arabia","48","140","965","1,549","2,024","2,549","4,747"
"United Kingdom (UK)","296","662","2,526","3,464","3,714","3,921","4,672"
"Mexico","30","77","619","1,605","2,323","2,715","3,702"
"Spain","73","160","668","1,053","1,344","1,686","3,644"
"Ukraine","20","55","400","655","864","1,070","3,313"
"Vietnam","11","38","527","1,147","1,671","2,098","3,113"
"Italy","83","194","781","1,182","1,563","1,992","3,016"
"Indonesia","9","32","432","909","1,340","1,694","2,819"
"Thailand","12","36","464","920","1,313","1,777","2,707"
"Turkey","37","102","658","1,125","1,493","1,818","2,659"
"Taiwan","32","105","635","958","1,227","1,500","2,459"
"Australia","47","130","758","1,095","1,312","1,515","2,313"
"Malaysia","13","39","393","722","1,077","1,276","2,214"
"Netherlands","66","153","639","894","1,069","1,268","1,968"
"Poland","24","58","366","683","901","1,119","1,730"
"Kazakhstan","5","14","192","378","551","896","1,678"
"Romania","7","18","140","310","475","630","1,675"
"Egypt","6","18","180","445","784","1,039","1,451"
"Philippines","6","18","241","477","736","943","1,431"
"Belgium","26","61","247","393","539","711","1,305"
"Colombia","12","33","290","527","715","879","1,260"
"South Africa","4","11","76","269","446","581","1,152"
"Sweden","42","99","424","568","674","772","1,137"
"Denmark","24","58","240","407","568","687","990"
"Chile","6","18","198","417","590","687","917"
"Singapore","10","31","187","285","373","540","917"
"Austria","15","35","141","224","325","425","899"
"Pakistan","3","10","104","234","381","472","895"
"United Arab Emirates","17","42","204","307","415","543","886"
"Norway","26","59","227","334","449","571","849"
"Israel","9","23","160","295","422","536","815"
"Finland","8","22","128","210","293","445","801"
"Portugal","9","22","150","257","365","433","775"
"Switzerland","26","56","182","252","322","441","767"
"Nigeria","2","7","60","171","322","483","753"
"Hong Kong","13","35","216","319","397","485","743"
"New Zealand","6","17","129","214","283","427","711"
"Ireland","9","23","156","250","330","428","692"
"Peru","4","11","86","207","281","326","655"
"Czech Republic","9","22","132","216","293","396","615"
"Argentina","7","19","136","258","344","434","585"
"Greece","3","10","82","148","206","258","457"
"Hungary","6","16","97","168","240","307","410"
"Ecuador","3","8","58","135","192","236","343"
"Kuwait","4","10","56","98","128","159","248"
"Macao","0","0","6","11","15","19","30"
