"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"China","2,560","4,687","17,004","29,005","34,367","40,164","57,932"
"Russian Federation","236","460","1,728","3,288","5,217","8,678","39,268"
"United States","1,642","2,950","10,026","16,146","21,578","23,637","29,943"
"Japan","359","731","3,314","5,529","8,404","11,857","25,294"
"Vietnam","163","316","1,864","3,919","6,608","9,747","18,701"
"India","192","365","1,623","3,352","5,425","7,650","15,622"
"Saudi Arabia","193","404","1,623","2,964","4,198","6,405","15,462"
"Brazil","365","675","2,630","4,840","7,100","9,898","14,200"
"France","246","444","1,629","3,042","4,536","6,212","12,234"
"Taiwan","87","155","469","962","1,675","3,526","9,972"
"Germany","209","368","1,370","2,480","3,726","5,156","9,929"
"Thailand","74","153","877","2,110","3,571","4,881","9,336"
"Italy","123","232","900","1,640","2,352","3,319","8,226"
"Indonesia","85","187","853","1,683","3,011","4,302","7,970"
"Mexico","114","218","962","1,903","3,228","4,351","7,936"
"United Kingdom (UK)","238","438","1,443","2,527","3,842","5,116","7,290"
"Korea, Republic Of","99","198","619","1,175","2,081","3,234","6,497"
"Turkey","109","199","751","1,989","2,833","3,728","6,395"
"Canada","112","215","795","1,471","2,431","3,303","6,216"
"Ukraine","45","84","299","683","1,165","2,073","5,328"
"Spain","88","157","491","852","1,325","1,978","5,107"
"Netherlands","60","118","448","786","1,240","1,725","5,095"
"United Arab Emirates","61","110","401","682","1,049","1,992","4,994"
"Malaysia","61","123","622","1,178","1,813","2,421","4,769"
"Australia","92","177","577","1,123","1,786","2,619","4,708"
"Pakistan","34","71","411","845","1,302","2,134","4,375"
"Philippines","50","99","449","1,168","1,670","2,148","4,097"
"Egypt","43","86","408","752","1,157","1,648","3,991"
"Denmark","21","43","168","293","471","690","3,004"
"Poland","35","67","225","404","608","969","2,859"
"Nigeria","35","75","347","572","811","1,087","2,720"
"Colombia","36","74","328","622","931","1,275","2,490"
"Peru","13","27","151","318","483","726","2,373"
"Belgium","31","61","216","408","605","831","2,209"
"Hong Kong","34","71","200","348","537","847","1,885"
"Israel","29","62","236","401","597","863","1,880"
"Sweden","36","69","251","471","703","1,075","1,862"
"Kazakhstan","20","42","220","413","659","881","1,776"
"Chile","30","63","310","549","838","1,045","1,749"
"South Africa","19","37","141","293","583","802","1,720"
"Romania","21","44","155","276","497","771","1,628"
"Singapore","23","44","154","255","423","661","1,580"
"Switzerland","24","45","158","276","410","646","1,497"
"Greece","11","22","85","165","257","359","1,391"
"Portugal","17","34","117","218","338","516","1,371"
"Norway","18","38","155","297","438","647","1,190"
"Czech Republic","16","30","97","161","239","412","1,143"
"Austria","18","35","121","221","320","435","1,097"
"Argentina","23","45","198","376","550","709","1,086"
"Ecuador","13","25","119","237","371","540","926"
"New Zealand","13","27","97","185","277","401","914"
"Kuwait","16","34","117","204","318","469","883"
"Finland","10","22","89","157","232","329","808"
"Hungary","12","25","91","189","314","401","806"
"Ireland","12","23","82","145","245","360","752"
"Macao","1","3","10","18","29","46","152"
