"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","394","833","3,961","8,838","19,770","37,137","55,312"
"Brazil","222","468","2,263","5,010","12,492","23,656","45,229"
"Indonesia","128","261","1,016","2,191","5,393","13,574","33,596"
"Mexico","106","215","895","1,737","3,418","7,145","18,380"
"Philippines","53","113","569","1,218","2,873","7,730","16,115"
"United States","132","293","1,643","3,231","6,516","7,861","10,957"
"Russian Federation","131","288","1,208","2,124","5,200","6,359","10,092"
"Thailand","28","72","306","656","2,749","5,194","7,265"
"Argentina","31","68","312","631","1,375","2,666","6,831"
"Colombia","31","72","346","685","1,021","1,942","6,475"
"Pakistan","59","122","575","1,370","3,775","5,261","6,398"
"Vietnam","35","78","358","644","1,540","3,960","5,934"
"Turkey","50","108","525","975","1,588","2,963","5,914"
"Egypt","45","92","408","714","1,214","2,240","4,079"
"Peru","20","47","210","401","856","1,547","3,884"
"France","29","66","337","644","1,121","2,032","3,448"
"Malaysia","19","42","165","371","1,009","2,062","3,164"
"United Kingdom (UK)","29","66","371","691","1,458","2,017","2,805"
"Spain","23","53","284","527","1,016","1,892","2,776"
"Germany","36","70","358","715","1,482","2,003","2,762"
"Chile","17","40","189","407","984","1,815","2,645"
"Italy","28","62","340","806","1,529","2,115","2,620"
"Ukraine","28","66","296","545","979","1,450","2,590"
"Korea, Republic Of","20","56","337","663","872","1,061","2,522"
"Saudi Arabia","24","53","251","480","865","1,437","2,380"
"Nigeria","9","23","147","310","471","776","2,298"
"Japan","11","28","140","302","566","1,099","1,999"
"Algeria","21","45","216","360","547","879","1,906"
"Ecuador","13","30","138","273","572","907","1,877"
"South Africa","15","37","221","367","644","907","1,872"
"Kazakhstan","17","41","203","347","581","1,020","1,721"
"Poland","16","36","195","390","837","1,138","1,546"
"Venezuela","9","22","112","190","331","582","1,456"
"Canada","12","29","180","411","743","949","1,435"
"Australia","6","17","96","218","471","642","931"
"United Arab Emirates","7","17","70","140","324","629","871"
"Netherlands","10","21","101","197","397","535","755"
"Taiwan","4","9","53","126","223","465","677"
"Belarus","5","14","69","136","231","324","652"
"Romania","9","21","107","203","301","392","641"
"Tunisia","5","11","57","107","172","247","573"
"Portugal","5","14","68","159","316","389","566"
"Israel","6","15","65","129","293","396","549"
"Uruguay","2","6","28","56","141","256","528"
"Jordan","7","16","72","120","186","267","412"
"Belgium","5","11","61","142","240","304","391"
"Czech Republic","5","10","54","99","170","274","376"
"Singapore","4","9","34","63","157","315","358"
"Greece","5","10","51","103","148","200","299"
"Hungary","3","9","51","92","138","203","288"
"Bulgaria","2","6","34","70","145","191","266"
"Austria","2","5","35","70","118","158","260"
"Sweden","3","6","37","81","120","150","258"
"Switzerland","2","5","30","63","119","160","227"
"Lebanon","4","10","42","71","106","140","223"
"Oman","2","6","28","51","83","126","219"
"New Zealand","1","4","26","65","113","137","216"
"Ireland","1","4","31","71","130","147","201"
"Finland","1","3","21","43","114","133","198"
"Hong Kong","1","5","21","38","80","138","189"
"Croatia","1","3","23","53","92","123","176"
"Slovakia","1","4","25","53","84","118","171"
"Lithuania","1","2","15","35","66","93","136"
"Qatar","1","2","14","31","46","75","131"
"Kuwait","1","3","20","41","60","80","130"
"Norway","1","3","19","33","50","61","120"
"Denmark","1","3","15","30","50","56","91"
"Latvia","0","1","9","20","47","58","77"
"Slovenia","0","1","7","16","38","38","58"
"Estonia","0","0","5","11","35","42","31"
"Macao","0","0","0","1","3","7","9"
