"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","209","468","2,722","5,025","7,985","10,130","61,000"
"Brazil","105","265","1,759","2,918","4,222","6,000","23,005"
"Indonesia","34","74","296","479","606","684","21,108"
"Russian Federation","169","379","1,672","4,648","7,016","7,565","10,054"
"Germany","26","57","294","802","2,811","5,069","6,251"
"United Kingdom (UK)","22","52","230","346","791","3,170","5,083"
"United States","87","214","1,047","1,434","1,826","2,051","4,097"
"Korea, Republic Of","33","100","699","1,833","2,343","2,824","3,982"
"Italy","18","46","265","573","2,667","3,342","3,891"
"Kazakhstan","14","30","104","243","832","1,682","3,221"
"Thailand","11","24","80","159","454","1,185","3,003"
"Spain","17","43","213","327","442","648","2,786"
"Malaysia","7","12","29","41","54","154","2,536"
"France","22","55","247","381","488","1,043","2,076"
"Ukraine","29","72","332","605","853","1,048","1,794"
"Poland","17","44","247","390","529","958","1,603"
"Canada","6","14","65","167","849","1,137","1,392"
"Turkey","17","35","188","349","491","616","1,245"
"Portugal","4","10","27","39","50","103","1,117"
"Netherlands","9","21","65","81","112","363","904"
"Romania","10","23","150","292","484","659","894"
"Taiwan","1","5","23","43","282","510","893"
"United Arab Emirates","3","7","14","19","27","50","864"
"Belgium","3","10","39","52","66","79","827"
"Japan","5","13","67","115","149","332","796"
"Saudi Arabia","7","15","38","58","72","131","741"
"Australia","5","12","46","80","121","277","693"
"Belarus","5","12","33","136","401","572","687"
"Mexico","24","57","233","347","445","525","609"
"Israel","2","5","13","18","40","73","581"
"Hungary","5","12","65","97","110","136","558"
"Finland","3","8","14","17","27","109","520"
"Bulgaria","3","7","34","53","102","205","507"
"South Africa","6","16","55","91","114","223","486"
"Austria","2","6","25","34","37","107","475"
"Norway","2","7","20","149","236","357","467"
"Vietnam","12","24","129","215","266","329","461"
"Argentina","7","19","77","116","161","185","461"
"Egypt","11","26","91","138","176","198","393"
"Pakistan","16","35","149","212","282","326","384"
"Sweden","4","12","50","236","319","356","378"
"Philippines","9","17","53","79","109","176","350"
"Switzerland","2","6","21","25","46","271","327"
"Colombia","7","18","62","88","112","132","308"
"Algeria","8","19","72","103","138","172","276"
"Czech Republic","6","14","53","74","84","140","275"
"Denmark","2","7","13","36","117","190","264"
"Croatia","1","4","22","34","84","117","252"
"Slovakia","2","7","18","25","28","38","248"
"Nigeria","1","3","10","13","16","19","182"
"Peru","2","8","30","43","57","71","139"
"Chile","3","11","51","67","79","92","133"
"Greece","3","8","25","39","45","63","117"
"Jordan","1","2","6","9","12","19","83"
"Lebanon","0","2","5","6","11","35","78"
"Tunisia","1","5","14","22","30","42","66"
"Lithuania","2","5","12","17","20","25","48"
"Ecuador","2","4","13","15","17","21","33"
"Slovenia","1","4","14","15","18","19","18"
"Venezuela","1","2","3","6","7","9","15"
"Singapore","1","0","2","2","5","6","15"
"New Zealand","1","1","3","4","6","8","10"
"Oman","0","1","2","2","3","4","10"
"Ireland","4","5","5","6","6","6","9"
"Latvia","1","2","4","6","7","7","8"
"Uruguay","1","1","2","3","4","5","7"
"Hong Kong","1","1","1","2","3","4","5"
"Kuwait","0","0","1","1","2","2","3"
"Estonia","0","1","2","2","3","3","3"
"Qatar","0","0","1","1","2","2","2"
"Macao","0","0","0","0","0","0","0"
