"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"Brazil","738","1,671","7,324","13,129","20,206","25,051","40,027"
"India","1,604","2,971","10,691","15,762","19,668","23,122","39,599"
"United States","334","777","5,194","8,607","14,183","21,962","29,707"
"Indonesia","444","933","3,174","9,326","13,996","18,748","27,509"
"Mexico","291","719","3,551","5,363","6,673","8,898","11,495"
"Egypt","226","398","2,108","3,576","4,927","5,564","9,674"
"Philippines","260","541","2,004","4,568","6,654","7,658","9,258"
"Colombia","115","301","1,615","2,710","4,546","7,004","9,129"
"Russian Federation","287","562","2,132","3,516","4,763","6,040","8,006"
"Pakistan","290","349","1,143","1,971","3,918","5,994","7,574"
"Korea, Republic Of","109","322","1,220","1,978","2,560","3,139","5,625"
"Germany","74","173","954","1,420","2,166","3,836","4,911"
"Nigeria","175","284","1,004","1,576","1,872","2,302","4,542"
"Argentina","104","262","1,226","1,719","2,410","3,160","4,506"
"South Africa","120","269","1,047","1,585","2,052","2,390","4,014"
"United Kingdom (UK)","84","135","749","947","1,217","2,363","3,992"
"Turkey","128","264","1,048","1,547","2,003","2,630","3,894"
"Vietnam","138","265","880","1,372","1,827","2,446","3,869"
"Peru","65","162","768","1,351","1,874","2,723","3,847"
"Thailand","118","243","639","1,218","2,136","2,734","3,384"
"Algeria","95","153","705","1,136","1,676","1,923","3,294"
"Ukraine","85","173","698","1,083","1,680","2,164","3,127"
"Saudi Arabia","73","137","658","1,162","1,889","2,220","2,922"
"Spain","54","134","518","709","1,245","1,790","2,858"
"France","72","164","736","1,148","1,667","2,073","2,562"
"Italy","66","151","589","837","1,524","1,987","2,542"
"Malaysia","81","182","622","827","1,100","1,512","2,521"
"Ecuador","51","113","506","727","1,029","1,708","2,455"
"Chile","45","119","562","830","1,251","1,671","2,430"
"Japan","28","84","395","579","937","1,155","2,155"
"Canada","34","78","422","690","1,100","1,235","2,130"
"Venezuela","68","105","367","640","963","1,156","1,755"
"Australia","20","49","330","428","655","789","1,478"
"Poland","35","87","411","593","847","1,110","1,422"
"Kazakhstan","47","101","415","590","689","843","1,087"
"Jordan","21","38","165","277","437","650","916"
"Romania","23","50","242","347","424","561","784"
"Taiwan","33","64","207","346","505","597","779"
"United Arab Emirates","36","68","200","273","475","661","756"
"Tunisia","20","41","141","232","396","544","692"
"Israel","17","38","207","284","330","387","490"
"Netherlands","20","42","193","254","313","363","482"
"Switzerland","5","14","76","90","119","258","437"
"Czech Republic","11","25","104","135","167","213","406"
"Austria","6","15","89","122","217","279","400"
"Belarus","14","35","130","183","255","320","385"
"Belgium","11","25","115","152","197","231","378"
"Portugal","14","35","134","153","182","221","347"
"Hungary","11","25","83","114","143","169","347"
"Bulgaria","7","16","72","101","162","270","337"
"Finland","2","8","48","108","237","267","335"
"Lebanon","11","22","71","117","143","188","325"
"Sweden","4","13","96","140","234","270","315"
"Uruguay","9","21","88","122","143","192","301"
"New Zealand","4","12","64","96","149","213","270"
"Oman","9","18","58","103","167","199","253"
"Ireland","3","10","44","58","119","145","233"
"Denmark","2","6","41","88","150","201","226"
"Greece","10","24","74","103","127","150","222"
"Singapore","14","29","87","111","133","164","193"
"Kuwait","5","10","34","52","112","154","191"
"Norway","2","6","41","65","98","121","177"
"Hong Kong","7","19","67","89","112","136","170"
"Qatar","6","13","36","50","78","123","156"
"Slovakia","4","12","48","63","73","86","135"
"Croatia","4","9","34","47","56","64","132"
"Lithuania","2","6","18","25","28","30","72"
"Latvia","1","4","13","16","17","20","29"
"Slovenia","1","2","10","15","18","19","23"
"Estonia","0","2","8","9","10","8","8"
"Macao","0","0","0","0","1","0","0"
