"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","2,256","5,309","31,153","45,852","66,585","84,285","122,365"
"Brazil","551","1,552","8,466","19,416","25,878","28,968","33,869"
"Indonesia","306","754","4,090","10,117","14,783","19,035","31,290"
"United States","633","1,389","7,523","13,238","17,255","21,563","30,110"
"Pakistan","133","331","2,203","5,574","8,542","11,095","20,513"
"Mexico","160","417","2,989","6,518","10,312","13,718","20,351"
"Turkey","109","285","1,453","3,419","5,530","7,681","18,388"
"Russian Federation","212","494","2,984","8,621","11,897","12,963","17,859"
"Philippines","103","279","1,540","4,958","8,397","13,459","16,615"
"Vietnam","95","241","2,218","5,084","8,580","11,534","16,340"
"Thailand","59","148","1,159","3,349","5,007","7,217","9,886"
"Korea, Republic Of","120","334","2,091","3,291","3,911","4,921","8,823"
"Colombia","77","205","2,067","4,010","5,696","7,889","8,726"
"Peru","38","102","657","1,423","4,364","6,428","8,643"
"Egypt","84","214","1,093","2,187","4,097","5,591","8,170"
"United Kingdom (UK)","105","242","1,237","2,190","4,196","5,148","7,367"
"Germany","73","170","1,285","2,573","3,984","5,229","6,901"
"France","90","222","1,756","2,762","4,040","4,578","6,798"
"Ukraine","46","121","1,158","2,543","3,835","4,600","6,330"
"Argentina","52","142","1,063","2,129","2,976","3,620","5,933"
"Japan","41","98","829","1,321","1,922","3,119","5,617"
"Italy","63","166","1,501","2,451","3,525","4,605","5,468"
"Nigeria","61","159","1,014","1,905","2,774","3,314","4,925"
"Malaysia","70","178","914","1,974","2,661","3,278","4,860"
"Spain","57","150","1,341","2,132","3,328","4,039","4,823"
"Chile","28","81","542","1,923","2,994","3,576","4,627"
"Saudi Arabia","78","169","739","1,629","2,527","3,295","4,311"
"Ecuador","21","59","375","979","1,523","2,254","4,216"
"Canada","53","131","769","1,332","2,460","2,996","3,719"
"Kazakhstan","20","56","327","683","1,440","2,218","3,624"
"Poland","25","66","558","1,207","1,806","2,280","3,115"
"Taiwan","16","41","723","1,374","1,722","1,958","3,085"
"Australia","44","99","594","1,316","1,921","2,230","2,989"
"South Africa","63","151","1,068","1,749","2,330","2,556","2,922"
"Algeria","20","52","321","534","1,008","1,640","2,454"
"Netherlands","28","59","386","734","1,137","1,705","2,348"
"Romania","13","36","268","622","1,034","1,371","1,949"
"United Arab Emirates","36","78","533","1,085","1,239","1,586","1,913"
"Jordan","13","34","231","635","894","1,103","1,470"
"Czech Republic","7","20","156","336","475","608","1,397"
"Venezuela","12","33","195","375","569","895","1,246"
"Portugal","12","30","237","438","624","838","1,151"
"Belgium","12","28","271","470","706","838","1,124"
"Hungary","6","18","241","484","637","800","1,101"
"Israel","15","36","218","410","559","735","1,006"
"Sweden","10","24","155","269","529","677","996"
"Singapore","20","40","225","337","465","642","991"
"Kuwait","7","17","93","189","371","473","942"
"Hong Kong","10","20","139","264","378","523","917"
"Greece","7","19","186","323","483","656","881"
"Qatar","5","14","128","216","287","392","821"
"Belarus","5","16","99","152","295","508","808"
"Slovakia","2","8","68","162","295","336","797"
"Austria","6","17","121","270","485","648","788"
"Finland","5","11","98","233","395","609","778"
"Lebanon","6","15","91","264","466","610","718"
"Switzerland","7","17","127","242","468","610","714"
"Bulgaria","3","9","82","210","339","406","617"
"New Zealand","6","17","114","255","377","500","599"
"Tunisia","5","14","90","215","414","496","594"
"Oman","5","13","75","194","331","451","590"
"Ireland","6","17","121","210","341","431","588"
"Norway","6","15","80","199","296","419","518"
"Uruguay","2","9","70","144","203","251","499"
"Croatia","2","7","61","152","223","320","406"
"Lithuania","1","5","44","139","242","297","394"
"Denmark","6","13","73","123","220","311","373"
"Latvia","1","3","29","108","154","177","215"
"Estonia","0","1","26","70","110","133","168"
"Slovenia","0","2","44","87","117","142","165"
"Macao","0","0","2","3","10","14","31"
