"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","3,136","7,550","57,110","209,310","323,402","361,773","493,399"
"Brazil","760","1,631","7,633","24,899","54,553","67,823","103,635"
"Indonesia","508","1,221","11,743","35,100","55,343","74,525","86,503"
"United States","666","1,576","10,727","28,272","46,500","55,567","71,678"
"Pakistan","421","1,017","10,539","25,903","48,616","55,829","67,501"
"Russian Federation","362","818","11,668","20,224","31,859","50,059","67,306"
"Mexico","351","789","5,939","17,859","27,032","34,161","61,236"
"Egypt","260","667","6,992","17,090","25,270","31,000","41,749"
"Philippines","157","407","2,585","14,055","20,562","26,572","36,704"
"Vietnam","82","239","1,617","4,695","13,676","18,888","33,683"
"Colombia","158","387","4,006","10,904","15,237","19,879","31,878"
"Turkey","216","530","4,083","8,876","16,737","22,462","27,416"
"Algeria","84","236","2,849","10,497","14,876","17,922","24,621"
"Peru","108","261","2,394","7,526","10,215","14,109","21,836"
"Thailand","66","162","1,745","5,304","11,233","15,956","20,121"
"Argentina","129","312","3,016","5,741","10,234","14,612","19,574"
"France","137","331","2,888","6,497","12,240","14,419","18,767"
"Nigeria","176","422","3,815","7,511","10,761","14,151","18,152"
"Malaysia","112","298","2,284","5,248","8,753","13,868","17,987"
"United Kingdom (UK)","112","258","2,401","5,129","9,481","11,325","17,967"
"Ukraine","71","184","2,493","6,782","10,179","12,521","16,641"
"South Africa","83","268","2,643","5,120","7,287","9,613","16,380"
"Japan","48","140","1,243","2,389","3,785","6,276","15,878"
"Germany","168","450","3,629","5,989","8,987","11,552","15,276"
"Spain","117","283","2,001","3,251","5,595","10,035","14,483"
"Italy","143","305","2,617","3,832","6,713","10,836","13,991"
"Saudi Arabia","154","348","3,043","5,393","8,213","10,158","13,912"
"Ecuador","64","146","1,127","4,448","5,922","7,539","11,660"
"Korea, Republic Of","132","343","1,761","2,536","4,069","5,737","11,514"
"Poland","48","124","1,514","3,137","4,800","6,284","9,881"
"Kazakhstan","44","120","1,717","3,628","5,105","6,892","9,787"
"Chile","63","168","1,180","2,332","3,631","5,567","8,596"
"Canada","57","125","1,090","2,823","4,169","5,349","7,931"
"Romania","29","73","633","1,807","3,746","4,734","7,286"
"Australia","29","76","653","2,105","3,530","4,079","6,481"
"United Arab Emirates","92","197","1,736","3,212","4,297","4,993","6,244"
"Venezuela","40","92","508","2,293","3,418","4,329","6,101"
"Netherlands","47","91","820","1,863","3,397","4,113","4,976"
"Tunisia","22","57","774","2,272","2,864","3,474","4,933"
"Jordan","33","74","638","1,776","2,410","2,826","4,100"
"Taiwan","14","41","596","1,256","1,677","2,647","4,096"
"Belarus","13","33","385","1,119","1,657","2,324","3,021"
"Greece","14","34","555","1,408","1,819","2,219","2,750"
"Czech Republic","14","30","401","858","1,219","1,687","2,529"
"Portugal","21","41","409","748","1,095","1,741","2,492"
"Israel","26","54","317","717","1,259","1,619","2,392"
"Lebanon","25","56","390","1,208","1,595","1,888","2,348"
"Singapore","25","48","533","1,125","1,461","1,772","2,229"
"Bulgaria","7","19","375","986","1,428","1,743","2,180"
"Belgium","18","44","410","845","1,386","1,650","2,100"
"Hungary","11","26","224","831","1,420","1,686","2,056"
"Sweden","12","28","298","726","1,127","1,419","1,784"
"Uruguay","9","20","196","483","692","956","1,614"
"Hong Kong","11","26","325","673","1,064","1,341","1,518"
"Austria","12","29","293","513","883","1,074","1,436"
"Oman","20","37","342","660","940","1,082","1,367"
"Slovakia","5","13","245","481","673","880","1,367"
"Switzerland","12","27","252","431","811","1,025","1,291"
"New Zealand","4","13","155","367","728","919","1,258"
"Kuwait","17","40","422","762","920","1,060","1,250"
"Finland","5","13","169","400","690","888","1,196"
"Qatar","16","38","412","716","904","1,010","1,154"
"Ireland","3","10","117","347","632","783","1,039"
"Croatia","4","11","135","398","598","720","1,023"
"Denmark","4","12","153","333","498","610","831"
"Lithuania","3","7","49","303","423","575","810"
"Norway","5","15","185","334","458","593","733"
"Latvia","2","5","46","122","236","345","584"
"Slovenia","1","5","85","179","272","337","447"
"Estonia","1","3","27","113","160","296","370"
"Macao","0","0","8","38","51","39","68"
