"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","433","1,118","5,614","9,782","13,170","18,980","30,394"
"Brazil","80","242","1,563","2,832","4,245","8,196","21,021"
"United States","98","279","1,715","2,879","4,457","6,970","13,567"
"Russian Federation","49","152","1,031","3,334","6,832","7,836","11,652"
"Egypt","26","70","453","921","3,110","5,223","7,702"
"Indonesia","30","82","534","1,119","1,652","2,756","6,346"
"Pakistan","46","128","653","1,132","1,949","2,867","5,483"
"Philippines","17","48","300","1,583","2,820","3,999","5,290"
"Nigeria","29","73","351","911","1,732","3,079","4,536"
"Mexico","24","70","431","977","1,690","2,894","4,481"
"Colombia","12","41","229","711","1,874","2,852","3,804"
"Germany","26","63","338","575","1,414","2,535","3,518"
"Argentina","9","26","166","351","621","1,073","3,324"
"France","19","52","338","671","1,527","2,549","3,154"
"Turkey","42","107","604","906","1,326","1,777","2,979"
"Korea, Republic Of","14","47","447","823","1,177","1,546","2,665"
"Vietnam","6","20","183","447","782","1,127","2,539"
"United Kingdom (UK)","16","40","202","336","1,407","1,829","2,450"
"Thailand","5","21","207","465","753","1,013","2,414"
"Spain","11","31","204","355","766","1,691","2,338"
"Ukraine","6","21","129","258","544","1,374","2,235"
"South Africa","9","26","187","444","1,212","1,593","2,231"
"Italy","13","36","194","368","569","1,373","2,082"
"Poland","3","10","82","157","272","572","1,954"
"Saudi Arabia","19","45","214","435","652","969","1,953"
"Japan","6","31","297","503","800","1,062","1,852"
"Peru","4","16","106","212","324","662","1,656"
"Chile","5","17","102","181","342","753","1,524"
"Kazakhstan","3","11","72","187","437","964","1,380"
"Algeria","13","32","177","328","477","761","1,343"
"Canada","7","19","113","215","521","894","1,260"
"Belarus","0","2","17","58","317","638","1,207"
"United Arab Emirates","16","32","114","234","360","480","923"
"Australia","4","12","64","125","306","679","898"
"Taiwan","1","11","135","283","516","705","886"
"Malaysia","9","23","136","254","367","454","779"
"Tunisia","3","9","54","99","221","405","694"
"Venezuela","3","6","24","49","138","339","683"
"Ecuador","4","12","57","85","200","340","634"
"Netherlands","6","14","57","102","178","484","599"
"Jordan","6","12","48","96","181","290","566"
"Romania","3","7","49","99","146","192","526"
"Greece","2","5","34","79","174","297","523"
"Belgium","2","7","44","95","158","249","462"
"Czech Republic","1","3","14","22","44","90","461"
"Lebanon","4","9","38","71","128","241","460"
"Israel","2","6","35","82","163","289","391"
"Portugal","2","6","30","62","123","220","371"
"Austria","1","4","27","57","111","198","368"
"Kuwait","3","6","24","76","151","201","343"
"Sweden","1","3","17","40","82","128","331"
"Qatar","2","6","22","77","128","161","310"
"Hungary","0","2","25","47","67","95","243"
"Switzerland","1","4","23","43","88","130","218"
"Singapore","3","7","35","59","73","128","194"
"Oman","3","5","21","34","55","78","188"
"Hong Kong","1","2","16","31","48","99","186"
"Uruguay","0","1","2","15","13","60","145"
"Bulgaria","0","2","7","13","24","56","140"
"New Zealand","1","3","13","38","85","89","119"
"Slovakia","0","1","1","3","6","34","82"
"Croatia","1","2","5","9","11","21","70"
"Ireland","2","3","11","32","63","46","62"
"Finland","1","1","3","10","14","18","57"
"Denmark","1","3","9","18","25","28","53"
"Norway","1","2","9","19","24","26","46"
"Lithuania","0","1","2","3","4","6","39"
"Latvia","0","0","1","1","2","10","30"
"Slovenia","0","0","1","1","1","1","20"
"Estonia","0","0","0","0","1","1","9"
"Macao","0","0","0","0","0","0","1"
