"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","2,528","5,019","21,021","35,817","47,815","54,873","71,424"
"Brazil","943","2,045","6,669","10,681","13,259","16,980","22,427"
"Vietnam","370","785","3,751","6,671","9,700","12,735","18,741"
"Indonesia","479","976","3,776","7,040","10,535","14,972","18,727"
"Philippines","228","487","2,098","4,623","6,700","11,716","17,200"
"Mexico","413","883","3,048","5,774","9,243","10,410","13,480"
"United States","680","1,456","3,865","5,430","7,135","9,413","13,087"
"Turkey","385","779","2,440","4,183","5,766","7,086","11,524"
"Russian Federation","446","837","3,230","6,276","7,653","8,867","11,477"
"Egypt","266","505","2,232","3,851","4,926","6,010","9,012"
"Pakistan","246","478","1,977","3,453","4,568","5,855","8,911"
"Colombia","175","371","1,360","2,268","4,698","6,135","8,110"
"Peru","123","258","967","2,091","3,455","4,577","7,316"
"Germany","191","387","1,639","2,568","3,579","4,367","6,185"
"Thailand","125","280","1,320","2,329","2,989","3,836","5,678"
"Argentina","125","275","1,153","2,290","3,261","4,036","5,415"
"France","165","323","1,242","1,853","2,769","3,504","5,113"
"Ukraine","127","248","1,215","2,033","2,882","3,323","4,731"
"Italy","173","352","1,298","2,120","2,771","3,235","4,567"
"Spain","141","297","1,043","1,562","2,163","2,761","4,541"
"Ecuador","70","161","659","1,099","2,200","3,226","4,493"
"Algeria","159","287","894","1,431","1,954","3,085","4,212"
"Korea, Republic Of","237","512","1,763","2,349","2,721","3,229","4,204"
"Poland","92","216","1,085","1,612","1,986","2,626","3,671"
"United Kingdom (UK)","156","297","875","1,219","1,524","2,033","3,249"
"Saudi Arabia","135","289","1,044","1,637","2,164","2,508","3,220"
"Kazakhstan","86","184","814","1,301","1,799","2,187","2,690"
"Nigeria","95","183","496","812","1,211","1,897","2,617"
"Malaysia","83","181","589","880","1,165","1,523","2,448"
"Japan","93","180","657","1,013","1,345","1,714","2,441"
"Chile","84","191","776","1,112","1,378","1,834","2,309"
"Romania","49","103","481","738","983","1,492","1,973"
"Venezuela","37","78","246","405","591","747","1,935"
"Netherlands","44","80","271","458","707","953","1,867"
"South Africa","103","197","698","1,032","1,253","1,454","1,813"
"Jordan","42","81","303","515","751","1,106","1,580"
"Canada","72","140","407","640","789","1,032","1,478"
"Taiwan","33","72","259","434","620","787","1,428"
"Hungary","21","45","217","343","523","641","951"
"Tunisia","32","61","267","425","564","666","932"
"Czech Republic","25","49","204","369","531","671","921"
"Belgium","25","49","190","299","462","560","867"
"Portugal","29","59","215","324","400","506","843"
"Israel","32","66","268","387","459","547","722"
"United Arab Emirates","48","87","221","286","386","494","673"
"Greece","22","42","137","239","315","395","667"
"Australia","48","100","290","406","479","551","657"
"Lebanon","21","40","132","230","335","425","638"
"Austria","18","36","179","271","392","464","635"
"Switzerland","15","31","125","207","297","366","596"
"Bulgaria","15","31","131","242","349","417","583"
"Sweden","22","46","156","237","317","406","583"
"Belarus","28","58","222","380","446","473","560"
"Finland","9","20","100","182","284","351","472"
"Slovakia","11","22","89","162","269","327","454"
"Uruguay","11","25","101","141","191","268","413"
"Ireland","11","23","93","152","203","259","366"
"Croatia","9","18","106","172","234","282","364"
"Oman","17","32","107","170","223","281","363"
"New Zealand","10","23","82","130","163","204","338"
"Norway","9","19","74","131","179","242","328"
"Denmark","9","18","58","102","171","211","311"
"Hong Kong","16","29","87","141","185","222","303"
"Singapore","21","34","76","87","118","181","276"
"Lithuania","7","13","60","83","108","129","201"
"Kuwait","10","19","46","68","103","139","199"
"Qatar","9","16","39","66","95","127","193"
"Slovenia","3","6","36","57","79","98","145"
"Latvia","4","8","34","58","76","93","136"
"Estonia","2","4","25","40","52","73","111"
"Macao","0","0","0","1","3","1","4"
