"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","6,652","14,430","75,803","120,815","157,852","205,932","289,738"
"Brazil","4,922","9,622","40,750","55,389","62,381","72,014","93,419"
"Indonesia","1,856","4,032","14,012","19,710","28,533","38,992","61,950"
"Mexico","2,132","3,964","11,627","19,729","25,364","31,103","48,826"
"Russian Federation","1,594","2,762","9,585","13,998","16,943","19,061","29,585"
"United States","2,079","3,794","14,244","19,602","23,081","24,910","27,904"
"Philippines","902","1,661","4,931","8,626","11,843","14,643","23,217"
"Pakistan","636","1,203","5,374","8,658","11,541","16,249","22,839"
"Thailand","738","1,532","6,916","10,139","12,500","14,735","18,939"
"Vietnam","902","1,868","5,156","7,333","9,220","10,892","16,832"
"Egypt","691","1,286","3,966","6,482","8,289","10,903","15,754"
"Turkey","790","1,613","4,439","6,341","7,776","9,202","13,194"
"Colombia","717","1,371","4,561","7,313","9,321","9,867","12,297"
"Argentina","523","1,068","4,513","7,170","8,867","10,113","11,184"
"Germany","587","1,168","3,310","5,428","7,481","9,023","10,614"
"Korea, Republic Of","444","953","2,306","4,698","6,344","7,521","10,284"
"France","525","1,203","4,133","6,052","6,882","7,925","8,464"
"Malaysia","301","555","1,929","3,288","4,271","5,259","7,869"
"Japan","279","530","1,821","2,910","4,219","5,475","7,732"
"United Kingdom (UK)","364","725","2,665","4,023","4,644","5,505","7,569"
"Peru","471","927","2,868","4,400","5,139","5,550","6,478"
"Spain","341","671","2,199","3,820","4,684","5,313","6,116"
"Saudi Arabia","354","682","1,963","2,864","3,783","4,490","6,008"
"Algeria","246","487","1,730","2,573","3,325","4,597","5,856"
"Italy","323","683","2,427","3,738","4,313","4,856","5,636"
"Chile","325","646","2,351","3,447","4,375","4,861","5,614"
"Ecuador","316","570","1,758","2,688","3,299","4,215","5,377"
"Ukraine","308","574","1,848","2,683","3,262","3,857","5,163"
"Poland","241","489","1,499","2,320","3,070","4,026","4,648"
"South Africa","185","330","1,310","2,426","2,902","3,205","4,195"
"Taiwan","89","184","668","988","1,387","1,916","3,471"
"Kazakhstan","225","433","1,255","1,760","2,163","2,481","3,344"
"Nigeria","146","266","760","1,146","1,554","1,867","3,113"
"Canada","142","278","982","1,553","2,117","2,350","2,822"
"Australia","100","201","977","1,432","1,901","2,072","2,588"
"Venezuela","155","276","701","1,246","1,617","1,940","2,581"
"Netherlands","100","177","776","1,053","1,368","1,729","2,220"
"Romania","132","242","630","1,003","1,301","1,648","2,171"
"Tunisia","62","118","469","697","902","1,057","1,386"
"United Arab Emirates","107","185","435","567","729","936","1,342"
"Jordan","123","209","465","674","822","990","1,223"
"Belgium","64","132","496","667","813","978","1,198"
"Czech Republic","58","123","358","555","717","925","1,131"
"Portugal","73","142","461","648","765","859","1,049"
"Belarus","70","137","371","500","609","728","1,042"
"Hungary","55","111","295","459","632","761","1,001"
"Sweden","36","72","370","606","745","827","995"
"Israel","45","82","287","390","457","549","785"
"Greece","45","83","279","429","504","590","775"
"Lebanon","53","101","280","401","493","578","742"
"Hong Kong","29","61","224","333","414","502","702"
"Uruguay","38","76","330","449","530","574","692"
"Singapore","52","94","202","300","373","432","672"
"Austria","48","96","263","393","473","537","648"
"Bulgaria","35","64","162","239","303","384","549"
"Finland","20","46","268","385","470","502","538"
"Switzerland","33","66","199","288","339","413","537"
"Norway","16","35","180","314","407","436","485"
"Slovakia","27","50","151","243","306","369","452"
"Kuwait","27","48","134","199","271","314","445"
"New Zealand","23","45","142","246","301","337","441"
"Denmark","16","38","165","282","346","373","424"
"Oman","33","60","170","249","296","333","422"
"Ireland","25","47","166","230","290","325","410"
"Croatia","22","42","121","176","209","247","324"
"Qatar","18","35","97","135","173","203","285"
"Lithuania","16","31","83","115","135","160","228"
"Latvia","9","18","51","69","91","105","147"
"Slovenia","7","15","51","72","89","107","139"
"Estonia","5","10","31","41","51","58","91"
"Macao","0","1","2","3","4","4","7"
