"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","11,119","21,883","59,298","122,464","220,113","276,819","354,296"
"Brazil","3,463","11,997","62,085","75,667","86,720","98,692","141,388"
"Indonesia","1,889","5,109","21,419","28,944","36,050","40,489","76,396"
"United States","2,078","3,926","14,456","22,298","27,760","34,413","58,343"
"Mexico","972","2,443","13,389","22,137","25,226","33,286","39,020"
"Pakistan","329","861","7,490","11,230","14,553","23,677","27,443"
"Philippines","586","1,164","7,112","9,408","11,563","13,088","25,242"
"Colombia","161","515","5,937","10,090","12,843","14,026","19,669"
"Vietnam","558","1,059","8,517","11,068","13,957","16,436","18,444"
"Thailand","536","1,265","7,077","10,051","11,458","13,597","18,436"
"Turkey","375","1,162","9,318","11,965","13,079","15,325","18,034"
"Germany","344","791","3,980","7,328","10,910","13,935","16,430"
"Egypt","105","352","3,920","6,550","10,046","14,327","16,045"
"Korea, Republic Of","948","2,180","5,667","7,148","9,464","10,409","15,267"
"Argentina","175","527","3,873","7,104","8,743","11,737","13,760"
"Peru","143","203","3,381","4,747","6,718","8,339","12,663"
"Japan","215","527","1,999","3,375","4,737","7,816","11,724"
"Malaysia","127","325","2,246","3,495","5,820","7,478","11,591"
"Nigeria","928","1,694","3,916","4,771","7,926","9,148","11,470"
"United Kingdom (UK)","270","612","2,186","3,027","4,207","6,421","10,108"
"Saudi Arabia","79","211","1,878","3,096","5,981","6,729","8,958"
"Spain","205","582","2,710","4,795","5,941","7,641","8,655"
"Italy","223","560","2,473","5,338","7,102","8,196","8,407"
"Chile","54","243","2,236","3,640","4,674","6,554","7,858"
"South Africa","99","288","1,584","3,183","3,613","3,880","7,498"
"France","214","592","2,577","4,049","6,690","6,836","7,051"
"Ukraine","146","377","2,449","3,225","5,044","5,612","6,276"
"Ecuador","34","110","1,360","2,149","3,462","4,697","5,988"
"Algeria","29","88","648","1,197","1,838","3,187","5,075"
"Australia","74","202","890","1,376","2,292","2,493","5,012"
"Kazakhstan","79","231","1,770","2,428","3,572","3,907","4,888"
"Poland","90","207","1,786","2,567","3,415","3,967","4,496"
"Canada","115","271","1,023","1,724","1,939","2,540","4,031"
"Netherlands","75","219","563","1,192","1,778","2,215","3,189"
"Romania","43","135","1,108","1,786","2,182","2,740","3,169"
"United Arab Emirates","82","182","1,096","1,259","1,390","1,718","3,063"
"Taiwan","108","200","968","1,451","2,009","2,271","2,894"
"Venezuela","46","130","1,175","1,364","1,505","2,067","2,795"
"Portugal","34","95","602","933","1,066","1,125","1,655"
"Jordan","13","39","389","635","672","1,011","1,441"
"Czech Republic","18","66","499","1,003","1,099","1,179","1,385"
"Belgium","28","67","517","767","1,049","1,273","1,352"
"Singapore","43","93","551","667","807","962","1,264"
"Israel","17","51","596","737","879","1,122","1,248"
"Belarus","16","52","379","716","925","977","1,177"
"Austria","19","54","331","623","840","914","1,087"
"Hungary","14","46","373","678","887","1,037","1,080"
"Lebanon","7","20","146","290","418","440","1,010"
"Greece","14","37","435","727","778","841","976"
"Tunisia","7","23","159","407","571","661","855"
"Sweden","22","63","237","638","724","813","836"
"Switzerland","22","58","357","525","711","775","790"
"Finland","9","26","262","517","652","704","759"
"Hong Kong","23","62","403","566","643","655","701"
"Ireland","7","23","232","467","582","629","698"
"Bulgaria","7","28","299","401","548","604","678"
"Uruguay","4","20","307","514","620","645","645"
"Oman","6","19","111","205","244","422","555"
"Croatia","6","20","277","388","440","463","527"
"Kuwait","10","26","198","194","231","243","484"
"Slovakia","8","34","242","298","344","383","477"
"New Zealand","7","22","131","236","315","356","473"
"Denmark","9","24","122","222","282","333","463"
"Norway","11","28","147","254","324","414","459"
"Qatar","8","25","131","173","209","289","354"
"Lithuania","4","14","99","123","159","184","196"
"Slovenia","4","12","83","130","138","144","161"
"Latvia","3","12","76","100","112","117","146"
"Estonia","2","5","31","54","57","76","107"
"Macao","0","0","0","1","4","3","3"
