"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","115","345","7,038","20,493","79,848","112,373","153,053"
"Brazil","119","322","4,821","14,381","33,411","39,792","79,162"
"United States","259","986","14,121","20,077","29,143","39,154","49,794"
"Indonesia","15","43","632","1,650","4,292","12,645","46,754"
"Mexico","31","94","2,143","9,327","19,627","25,895","33,627"
"Turkey","23","61","666","3,151","6,759","8,873","20,726"
"Russian Federation","120","360","7,675","12,027","14,891","17,968","19,967"
"Philippines","10","24","273","7,124","10,562","13,871","18,001"
"Thailand","9","31","406","1,769","8,102","11,312","16,340"
"Vietnam","11","26","325","780","3,937","6,377","16,099"
"Pakistan","10","24","253","859","3,409","6,890","15,862"
"Colombia","12","37","753","3,602","5,927","10,157","14,498"
"Korea, Republic Of","35","140","3,102","5,468","7,599","9,202","12,028"
"Argentina","12","33","640","3,851","6,680","8,003","10,937"
"Egypt","20","49","513","2,056","5,677","7,636","10,773"
"Malaysia","8","24","374","2,597","4,758","7,596","9,654"
"United Kingdom (UK)","47","145","2,640","4,687","6,438","7,667","9,541"
"Germany","53","134","1,497","3,963","5,662","7,188","9,469"
"France","44","129","1,942","4,359","6,336","6,986","8,005"
"Saudi Arabia","11","35","972","2,641","3,496","4,443","6,591"
"Peru","5","16","274","1,350","3,078","4,163","6,484"
"Chile","6","19","697","2,387","3,453","4,673","6,124"
"Italy","30","80","977","2,494","3,594","4,492","5,702"
"South Africa","11","42","708","3,129","4,136","4,955","5,673"
"Spain","23","64","1,312","2,647","4,141","4,795","5,558"
"Japan","55","203","1,633","2,656","3,498","4,358","5,274"
"Poland","7","21","382","1,633","2,564","3,130","4,420"
"Australia","13","44","615","1,702","2,425","2,880","3,715"
"Ecuador","2","8","139","955","1,465","1,725","3,615"
"Canada","17","59","978","2,089","2,580","2,755","3,604"
"Algeria","11","25","213","430","859","1,504","3,284"
"Taiwan","5","25","411","948","1,578","2,571","3,211"
"Romania","3","7","112","1,044","1,529","2,274","3,051"
"Kazakhstan","5","12","155","214","593","1,132","2,718"
"United Arab Emirates","4","16","431","831","1,339","1,919","2,166"
"Jordan","2","6","57","139","485","776","2,141"
"Venezuela","1","3","12","24","59","1,387","1,978"
"Ukraine","9","23","245","403","647","1,211","1,952"
"Netherlands","8","21","293","738","1,104","1,299","1,726"
"Tunisia","2","5","35","69","333","890","1,655"
"Nigeria","3","8","56","115","253","479","1,637"
"Portugal","5","15","176","780","1,151","1,327","1,499"
"Belgium","4","14","213","549","859","1,064","1,281"
"Greece","1","4","78","444","828","1,126","1,254"
"Hungary","1","2","23","574","754","971","1,171"
"Israel","3","8","106","459","767","950","1,170"
"Austria","3","10","83","367","672","846","1,158"
"Belarus","2","3","21","284","590","781","1,055"
"Czech Republic","1","3","48","389","656","773","1,008"
"Singapore","4","15","122","244","548","710","940"
"Sweden","4","14","222","407","607","700","826"
"Hong Kong","4","13","181","364","515","621","808"
"New Zealand","1","6","65","310","537","677","807"
"Kuwait","0","1","237","468","565","635","749"
"Finland","1","4","47","338","446","578","668"
"Qatar","0","2","33","359","555","600","634"
"Switzerland","3","9","103","275","413","489","609"
"Ireland","2","8","112","266","402","448","541"
"Norway","2","5","60","180","287","354","482"
"Lebanon","1","3","31","50","71","194","421"
"Bulgaria","0","2","2","7","108","250","394"
"Denmark","2","6","86","159","225","301","393"
"Oman","0","0","10","16","155","289","308"
"Slovakia","2","0","27","115","307","302","306"
"Uruguay","0","0","165","55","145","182","219"
"Croatia","1","0","3","15","154","282","162"
"Lithuania","0","0","5","20","101","142","101"
"Latvia","0","0","5","3","34","66","18"
"Slovenia","0","0","5","2","64","82","15"
"Estonia","0","0","1","1","24","43","10"
"Macao","0","0","0","1","0","0","1"
