"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","36,738","52,001","117,949","141,780","158,469","161,364","139,300"
"Brazil","18,143","25,368","46,998","57,447","64,755","79,113","84,295"
"Indonesia","11,925","16,583","29,810","37,170","38,657","41,454","42,718"
"Mexico","9,853","13,040","23,080","27,735","29,946","33,103","37,959"
"Russian Federation","9,777","13,273","23,773","30,558","36,543","38,446","36,287"
"United States","8,282","10,532","18,561","22,643","26,786","29,338","33,094"
"Vietnam","6,213","8,711","15,464","20,486","22,716","24,154","25,367"
"Turkey","6,655","8,675","14,106","17,337","19,252","21,702","23,874"
"Philippines","5,628","7,464","12,705","15,059","17,620","19,700","23,757"
"Colombia","3,570","4,880","8,885","10,961","12,486","13,200","16,003"
"Argentina","3,388","4,635","8,823","11,043","12,786","14,248","15,981"
"Thailand","3,767","5,069","9,563","12,090","13,599","14,201","15,606"
"Egypt","4,851","6,624","11,005","14,552","15,669","16,942","14,886"
"Pakistan","3,996","5,365","11,085","13,451","16,268","16,541","14,412"
"Peru","2,449","3,477","6,368","8,143","9,172","10,052","12,349"
"Ukraine","2,309","3,147","5,472","7,097","8,174","8,989","10,098"
"Germany","2,141","2,746","4,971","6,801","7,825","8,659","9,978"
"France","2,230","2,958","5,324","7,006","8,405","9,252","9,339"
"Italy","1,876","2,459","4,707","6,190","7,241","8,069","9,144"
"Chile","2,039","2,705","4,693","5,834","6,545","7,611","8,880"
"Kazakhstan","2,005","2,688","4,848","6,045","6,847","7,725","8,660"
"Algeria","2,080","2,818","4,984","6,192","7,581","7,977","8,253"
"Saudi Arabia","1,909","2,517","4,521","5,611","6,354","7,015","8,032"
"Ecuador","1,496","2,102","4,187","5,166","5,776","6,134","7,722"
"Korea, Republic Of","1,532","2,022","3,814","5,464","6,062","6,990","7,640"
"Spain","1,709","2,220","4,141","5,443","6,293","6,702","7,569"
"Malaysia","1,912","2,526","4,164","5,209","5,935","6,785","7,360"
"United Kingdom (UK)","1,532","2,014","3,701","4,670","5,489","5,833","6,518"
"Poland","1,619","2,076","3,485","4,442","5,133","5,744","6,220"
"Romania","1,058","1,377","2,479","3,204","3,700","4,097","4,799"
"South Africa","986","1,336","2,239","2,920","3,135","3,562","4,154"
"Japan","984","1,294","2,334","3,185","3,611","4,105","4,072"
"Venezuela","787","1,084","2,110","2,806","3,082","3,355","3,720"
"Taiwan","580","787","1,537","2,012","2,508","2,978","3,242"
"Jordan","862","1,184","2,055","2,461","2,844","3,176","3,180"
"Canada","759","943","1,735","2,276","2,643","2,882","3,134"
"Belarus","569","773","1,349","1,720","1,972","2,358","2,742"
"Israel","531","695","1,328","1,691","1,953","2,089","2,455"
"Australia","509","700","1,240","1,547","1,795","1,979","2,297"
"Netherlands","463","600","1,098","1,369","1,677","1,802","2,150"
"Greece","458","597","1,058","1,375","1,606","1,813","2,106"
"Hungary","428","556","1,013","1,331","1,509","1,695","2,029"
"Portugal","452","598","1,100","1,493","1,752","1,984","2,014"
"Tunisia","511","705","1,382","1,790","1,924","2,107","1,979"
"Czech Republic","398","511","956","1,227","1,507","1,596","1,962"
"Nigeria","453","686","1,531","1,614","1,804","2,004","1,887"
"Lebanon","392","540","956","1,306","1,449","1,567","1,797"
"Belgium","400","506","936","1,160","1,371","1,532","1,713"
"Bulgaria","300","403","721","904","1,129","1,310","1,494"
"United Arab Emirates","343","458","843","1,036","1,124","1,173","1,409"
"Uruguay","225","295","596","784","924","1,064","1,244"
"Austria","204","262","483","623","760","897","1,101"
"Slovakia","199","260","476","634","762","816","1,012"
"Sweden","210","271","513","658","757","870","1,011"
"Croatia","170","222","417","542","661","760","962"
"Oman","246","327","563","721","786","862","946"
"Hong Kong","147","198","373","488","567","671","810"
"Lithuania","150","196","359","487","590","662","773"
"Finland","118","162","337","435","526","610","768"
"Switzerland","140","178","332","439","535","556","692"
"Singapore","150","204","390","460","529","614","678"
"New Zealand","142","195","372","480","581","631","674"
"Kuwait","127","168","307","391","482","563","631"
"Ireland","123","166","325","403","485","563","612"
"Norway","92","124","244","320","387","440","524"
"Denmark","97","126","248","301","382","430","520"
"Latvia","79","106","197","275","322","388","453"
"Slovenia","70","94","169","229","280","318","375"
"Qatar","85","111","219","268","308","330","366"
"Estonia","44","58","107","143","169","196","224"
"Macao","4","6","13","18","26","32","40"
