"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","7,329","15,135","48,766","79,163","96,742","112,081","177,983"
"Brazil","5,598","10,032","26,088","35,435","43,406","55,598","77,802"
"Indonesia","2,987","5,366","17,035","24,388","29,929","33,929","44,967"
"Russian Federation","3,438","5,849","15,964","19,500","21,952","28,962","33,233"
"Mexico","3,167","5,574","13,718","17,758","22,646","26,131","32,100"
"Vietnam","1,820","3,192","9,025","12,979","17,797","20,114","23,076"
"United States","2,635","4,716","9,042","11,711","14,315","16,445","22,974"
"Philippines","1,720","3,077","7,536","9,868","12,219","13,901","22,525"
"Turkey","1,970","3,686","8,691","10,964","12,697","14,353","18,127"
"Argentina","1,077","1,855","4,943","6,649","8,786","10,581","15,500"
"Colombia","1,077","1,964","4,705","6,438","8,290","10,967","14,461"
"Thailand","1,143","1,921","5,379","8,306","10,291","11,689","14,206"
"Egypt","1,201","2,368","6,162","8,089","9,880","11,181","13,920"
"Peru","676","1,285","3,708","5,111","7,038","8,841","12,253"
"Pakistan","922","1,715","5,034","7,047","8,607","9,986","12,174"
"Ukraine","873","1,483","3,610","4,437","5,354","6,824","9,141"
"Germany","619","1,205","2,522","3,230","3,975","5,393","8,947"
"Italy","556","1,030","2,358","3,182","4,156","5,420","8,796"
"France","596","1,233","2,670","3,460","4,309","5,240","8,278"
"Chile","604","1,070","2,917","3,855","4,652","5,706","8,131"
"Spain","473","893","2,201","2,927","3,538","4,598","7,723"
"Kazakhstan","600","1,128","2,992","3,966","4,719","5,779","7,299"
"Algeria","547","1,035","2,624","3,278","4,135","5,206","7,020"
"Malaysia","601","1,091","2,639","3,457","4,291","4,966","6,904"
"Saudi Arabia","528","1,130","2,627","3,567","4,488","5,298","6,786"
"Ecuador","411","763","2,209","2,978","4,272","5,151","6,761"
"United Kingdom (UK)","402","766","1,687","2,138","2,686","3,256","5,186"
"Korea, Republic Of","366","699","1,943","2,347","2,757","3,207","5,131"
"Poland","474","822","2,090","2,663","2,974","3,599","5,105"
"Romania","283","563","1,369","1,752","2,037","2,534","3,958"
"Japan","237","441","1,071","1,410","1,893","2,415","3,465"
"Venezuela","242","427","1,048","1,389","1,823","2,298","3,281"
"Jordan","218","435","1,238","1,787","2,199","2,419","2,803"
"Belarus","211","355","894","1,177","1,472","1,800","2,439"
"Canada","204","375","778","1,057","1,265","1,514","2,337"
"Taiwan","150","278","726","997","1,217","1,585","2,133"
"Israel","136","281","719","929","1,201","1,532","2,057"
"South Africa","263","466","1,000","1,257","1,401","1,531","2,052"
"Tunisia","144","278","664","897","1,261","1,600","2,034"
"Portugal","127","246","574","733","922","1,156","1,877"
"Greece","141","241","602","716","821","1,153","1,846"
"Australia","141","246","547","707","856","1,043","1,686"
"Nigeria","100","205","532","765","1,024","1,210","1,636"
"Netherlands","123","232","547","741","904","1,078","1,612"
"Hungary","129","226","515","641","833","1,019","1,503"
"Lebanon","119","227","564","778","988","1,172","1,496"
"Czech Republic","126","227","509","671","800","976","1,456"
"Belgium","108","210","478","620","740","888","1,370"
"Bulgaria","96","166","397","519","616","770","1,179"
"Uruguay","70","116","311","444","580","697","1,050"
"United Arab Emirates","97","192","437","578","691","802","1,013"
"Austria","55","104","250","330","409","556","881"
"Oman","63","131","345","455","567","658","836"
"Croatia","51","89","234","286","365","454","782"
"Sweden","58","108","272","358","424","506","714"
"Slovakia","62","108","254","324","402","488","662"
"Finland","31","56","145","211","272","325","622"
"Lithuania","47","82","210","266","332","395","603"
"Switzerland","40","75","176","224","282","365","566"
"New Zealand","42","74","173","219","261","308","503"
"Singapore","47","86","200","295","356","407","497"
"Ireland","34","64","159","209","257","301","446"
"Hong Kong","43","75","182","230","288","340","440"
"Kuwait","36","71","176","226","252","303","431"
"Latvia","28","44","117","148","180","228","350"
"Denmark","25","46","114","147","189","217","332"
"Norway","25","43","113","155","191","222","314"
"Slovenia","19","35","90","117","143","180","292"
"Qatar","24","45","110","143","173","199","267"
"Estonia","14","23","64","82","99","116","174"
"Macao","1","2","5","4","5","5","7"
