"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"Brazil","1,976","3,642","14,095","22,163","37,290","48,143","66,235"
"India","3,330","6,837","28,361","37,954","45,511","49,721","64,551"
"Indonesia","1,129","2,136","7,684","12,038","17,461","23,032","32,420"
"Mexico","811","1,560","6,684","11,379","15,159","20,328","29,918"
"United States","756","1,453","5,248","7,605","11,112","17,660","27,251"
"Russian Federation","1,009","1,923","6,878","8,616","10,888","15,265","24,763"
"Vietnam","510","933","3,981","6,524","11,115","14,331","20,138"
"Philippines","526","986","3,590","5,105","7,843","11,689","18,703"
"Turkey","730","1,340","4,704","6,283","8,751","12,921","16,958"
"Thailand","357","646","2,364","3,572","4,985","7,004","12,236"
"Colombia","297","591","2,375","4,127","5,649","7,099","10,177"
"Argentina","317","608","2,591","3,990","5,578","6,915","10,148"
"Peru","186","379","1,741","2,688","4,032","5,372","7,865"
"Egypt","424","894","3,220","4,529","5,374","5,795","7,725"
"Pakistan","458","931","3,122","4,352","5,071","5,609","7,439"
"France","194","375","1,677","2,319","2,900","3,831","6,243"
"Ukraine","268","486","1,772","2,290","3,124","4,259","5,993"
"Chile","179","343","1,456","2,135","3,004","4,258","5,985"
"Kazakhstan","178","362","1,288","1,921","2,707","3,926","5,874"
"Italy","187","359","1,350","1,904","2,649","3,958","5,866"
"Malaysia","188","354","1,462","2,008","2,771","3,714","5,638"
"Germany","202","385","1,581","2,179","2,715","3,650","5,490"
"Korea, Republic Of","109","219","805","1,547","2,304","3,022","5,277"
"Algeria","220","439","1,705","2,408","3,089","3,979","4,918"
"Spain","156","301","1,169","1,766","2,406","3,251","4,843"
"Saudi Arabia","161","323","1,303","1,910","2,515","3,519","4,676"
"Ecuador","121","245","1,014","1,667","2,554","3,594","4,567"
"United Kingdom (UK)","139","273","933","1,404","1,875","2,608","4,372"
"Poland","170","324","1,149","1,788","2,417","3,018","4,308"
"Venezuela","91","169","653","1,148","1,696","2,138","3,184"
"Romania","107","202","682","989","1,384","1,929","2,830"
"South Africa","105","211","647","908","1,306","1,744","2,740"
"Japan","94","172","679","1,111","1,451","1,673","2,568"
"Canada","66","128","476","778","1,022","1,521","2,131"
"Jordan","77","158","605","938","1,252","1,542","1,928"
"Taiwan","43","82","372","700","907","1,180","1,790"
"Belarus","63","114","438","600","849","1,099","1,485"
"Australia","44","86","305","485","697","1,047","1,466"
"Netherlands","43","85","343","479","665","951","1,408"
"Portugal","46","90","329","540","690","932","1,345"
"Israel","38","76","365","487","676","915","1,227"
"Czech Republic","50","91","321","466","616","814","1,216"
"Greece","48","94","336","486","696","887","1,202"
"Tunisia","48","99","401","589","818","888","1,166"
"Belgium","38","74","307","431","544","775","1,137"
"Nigeria","32","66","271","395","587","874","1,069"
"Hungary","50","97","313","455","595","728","1,040"
"Lebanon","40","84","291","398","510","658","957"
"Uruguay","24","45","181","271","362","521","871"
"United Arab Emirates","31","63","224","324","473","593","782"
"Bulgaria","33","67","214","282","382","565","754"
"Sweden","19","38","143","241","321","434","627"
"Austria","19","35","148","211","282","383","560"
"Slovakia","24","43","148","208","303","371","542"
"Oman","21","44","175","252","319","370","534"
"Hong Kong","11","22","93","182","253","327","494"
"New Zealand","13","25","89","143","209","291","461"
"Croatia","17","32","131","192","268","334","448"
"Singapore","13","25","97","148","205","286","433"
"Lithuania","16","30","108","158","239","277","393"
"Ireland","11","21","83","125","170","223","393"
"Finland","10","18","76","138","197","284","390"
"Switzerland","13","25","98","147","196","274","383"
"Kuwait","10","21","87","129","171","235","356"
"Norway","8","16","60","99","144","206","315"
"Denmark","8","16","62","98","144","197","284"
"Latvia","9","17","59","78","117","155","213"
"Qatar","6","15","55","81","118","149","197"
"Slovenia","6","12","47","68","93","114","160"
"Estonia","4","9","33","45","65","84","115"
"Macao","0","0","1","1","9","7","14"
