"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","5,099","11,350","37,024","73,759","127,657","143,236","171,432"
"Brazil","3,366","6,586","17,229","24,718","32,899","44,891","87,020"
"Indonesia","1,841","4,053","12,504","17,708","24,648","32,412","38,006"
"Russian Federation","2,106","4,429","11,449","16,623","20,490","28,098","35,239"
"Mexico","1,869","4,151","10,339","14,920","20,985","25,560","34,984"
"United States","1,828","3,438","8,155","12,289","16,924","20,473","30,438"
"Turkey","1,227","2,840","6,870","9,326","12,637","16,495","22,609"
"Pakistan","590","1,347","3,961","6,225","8,938","12,623","22,158"
"Vietnam","1,255","2,370","7,073","11,071","13,060","14,875","20,760"
"Egypt","918","2,081","5,646","8,006","11,008","14,773","20,356"
"Philippines","1,043","2,118","6,140","8,265","10,743","11,714","18,017"
"Colombia","577","1,331","3,482","5,668","8,841","10,784","15,906"
"Thailand","645","1,405","3,928","5,310","6,648","8,106","13,503"
"Argentina","667","1,424","3,367","5,367","7,247","9,223","12,683"
"Algeria","387","809","2,326","3,039","3,604","4,094","9,794"
"France","457","962","2,425","3,861","5,178","6,387","9,286"
"Germany","502","942","2,155","3,386","4,648","5,701","8,408"
"Peru","387","928","2,537","3,581","4,741","5,935","8,370"
"Italy","432","814","2,060","3,166","4,155","5,196","7,234"
"Saudi Arabia","405","845","2,068","2,785","3,574","4,599","7,003"
"Ukraine","548","1,038","2,574","3,560","4,343","5,661","6,856"
"Spain","383","729","1,973","3,085","4,079","5,010","6,503"
"Chile","407","889","2,235","3,235","4,295","4,812","6,344"
"Kazakhstan","411","835","2,121","3,076","4,049","4,748","6,213"
"United Kingdom (UK)","335","675","1,619","2,356","3,164","3,868","5,980"
"Ecuador","213","510","1,536","2,407","3,277","4,122","5,930"
"Poland","355","721","1,813","2,687","3,449","4,030","5,907"
"Malaysia","365","794","2,018","2,895","3,505","4,308","5,664"
"Korea, Republic Of","305","653","1,801","2,460","3,027","3,559","4,765"
"South Africa","173","309","997","1,431","1,918","2,340","4,300"
"Venezuela","118","259","742","1,154","1,551","2,038","3,639"
"Romania","208","444","1,035","1,643","2,290","2,691","3,512"
"Jordan","156","351","934","1,211","1,440","1,997","3,296"
"Canada","163","298","767","1,204","1,551","2,045","2,849"
"Tunisia","89","194","531","806","1,012","1,215","2,551"
"Japan","141","304","809","1,110","1,409","1,647","2,294"
"Nigeria","47","92","405","695","1,131","1,480","2,207"
"Israel","111","248","561","922","1,314","1,612","2,073"
"Portugal","96","190","500","815","1,134","1,410","2,006"
"Australia","115","220","533","845","1,146","1,358","1,959"
"Netherlands","98","192","478","725","1,010","1,294","1,875"
"Greece","97","202","496","779","1,057","1,289","1,792"
"Belarus","118","279","649","914","1,134","1,420","1,718"
"Hungary","87","178","427","636","885","1,074","1,681"
"Lebanon","80","171","418","560","714","907","1,594"
"Czech Republic","86","180","412","623","870","1,083","1,587"
"Taiwan","90","178","498","728","980","1,218","1,562"
"Belgium","81","178","470","739","985","1,130","1,539"
"United Arab Emirates","69","144","340","528","750","1,052","1,288"
"Bulgaria","67","137","309","524","768","860","1,170"
"Uruguay","41","85","224","336","463","644","885"
"Austria","41","88","232","376","491","594","838"
"Slovakia","42","86","212","321","466","570","832"
"Sweden","47","90","244","388","515","599","829"
"Oman","44","93","253","380","475","622","809"
"Croatia","35","71","191","296","416","516","714"
"Lithuania","34","68","164","239","329","409","648"
"Singapore","29","57","162","238","350","451","603"
"Kuwait","25","54","137","205","295","449","584"
"Switzerland","30","61","161","238","328","394","583"
"New Zealand","29","66","166","246","358","436","581"
"Finland","23","48","145","248","342","395","541"
"Ireland","23","54","147","223","308","371","513"
"Hong Kong","26","51","147","217","299","367","455"
"Norway","18","38","107","180","232","300","443"
"Denmark","20","41","117","177","245","304","435"
"Latvia","18","37","86","130","180","227","347"
"Qatar","17","36","89","131","188","267","329"
"Slovenia","14","30","84","124","171","207","321"
"Estonia","9","21","56","83","115","132","194"
"Macao","0","1","2","3","3","3","4"
