"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","1,109","3,093","22,545","31,718","50,204","68,272","96,722"
"Indonesia","160","506","4,032","7,165","16,650","24,354","34,986"
"Brazil","264","839","7,075","11,135","15,478","18,244","23,789"
"Mexico","114","388","3,110","4,788","7,419","8,388","11,928"
"Vietnam","101","316","2,173","3,290","4,483","7,740","11,824"
"Pakistan","98","276","2,485","4,470","9,576","10,947","11,295"
"United States","351","965","4,963","6,841","8,254","9,394","10,570"
"Turkey","128","427","3,092","5,214","6,398","7,657","10,151"
"Egypt","81","259","2,206","4,473","6,956","8,527","9,598"
"Russian Federation","182","539","3,412","4,761","6,169","6,998","8,949"
"Colombia","47","165","1,466","2,774","3,774","4,871","6,350"
"Peru","26","84","770","1,360","1,846","3,449","5,860"
"Thailand","32","98","623","1,541","2,744","4,222","5,395"
"Philippines","61","186","1,645","2,609","3,244","3,748","5,117"
"Algeria","40","134","994","1,665","3,027","4,239","4,731"
"Argentina","47","164","1,138","1,871","2,321","2,765","4,589"
"Saudi Arabia","24","82","760","1,190","2,442","3,235","3,750"
"Chile","25","85","719","1,085","1,620","2,036","3,053"
"Ecuador","16","56","465","978","1,481","1,867","2,910"
"France","63","201","1,052","1,421","1,828","2,071","2,620"
"Germany","72","212","975","1,375","1,713","2,024","2,496"
"Spain","48","151","787","1,190","1,551","1,899","2,431"
"Venezuela","17","53","464","927","1,442","1,872","2,269"
"South Africa","23","70","504","776","1,036","1,717","2,230"
"Ukraine","44","123","785","1,202","1,476","1,642","2,096"
"Kazakhstan","22","65","499","917","1,260","1,638","2,073"
"United Kingdom (UK)","57","146","742","1,002","1,286","1,568","2,063"
"Italy","40","121","782","1,114","1,365","1,687","2,033"
"Korea, Republic Of","27","80","617","894","1,215","1,537","1,942"
"Malaysia","21","63","468","848","1,044","1,210","1,762"
"Poland","23","73","528","797","1,075","1,255","1,530"
"Nigeria","8","26","225","388","665","943","1,454"
"Tunisia","9","31","250","440","1,087","1,423","1,445"
"Jordan","7","26","226","458","603","661","1,205"
"United Arab Emirates","9","30","238","468","644","907","1,179"
"Japan","26","74","562","763","865","956","1,152"
"Romania","15","45","388","646","788","836","1,126"
"Canada","30","83","413","567","685","762","900"
"Australia","15","42","227","348","448","544","676"
"Portugal","9","32","214","295","375","436","639"
"Taiwan","9","29","167","262","322","386","618"
"Netherlands","17","49","231","347","419","470","608"
"Greece","11","37","214","283","339","377","552"
"Hungary","8","24","175","257","351","400","526"
"Belarus","9","27","179","291","350","422","524"
"Belgium","11","34","183","238","316","374","473"
"Oman","2","12","94","158","251","317","471"
"Lebanon","4","16","128","227","270","319","462"
"Israel","8","27","179","271","342","382","455"
"Czech Republic","6","20","139","217","277","333","452"
"Singapore","4","14","74","115","138","168","438"
"Bulgaria","4","13","103","176","233","313","428"
"Kuwait","2","9","68","109","159","205","354"
"Qatar","2","8","63","104","167","210","262"
"Austria","4","16","85","126","159","189","258"
"Slovakia","2","10","71","122","148","168","244"
"Sweden","4","13","77","119","151","171","238"
"Uruguay","2","9","80","124","161","188","237"
"Croatia","2","8","59","95","119","150","216"
"New Zealand","3","12","61","86","114","136","187"
"Lithuania","1","6","46","79","100","120","186"
"Ireland","2","7","45","69","98","114","170"
"Hong Kong","3","12","65","90","116","135","160"
"Switzerland","4","14","64","93","111","121","159"
"Finland","1","5","35","61","87","103","152"
"Norway","1","6","37","56","68","83","120"
"Denmark","2","7","43","63","77","88","116"
"Latvia","1","3","29","48","58","68","106"
"Slovenia","0","3","25","37","47","58","89"
"Estonia","0","2","14","19","21","23","25"
"Macao","0","0","0","0","0","0","0"
