"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","1,744","4,314","20,890","30,454","42,975","55,705","60,073"
"Brazil","248","686","4,506","8,603","12,535","18,065","22,148"
"Russian Federation","136","404","1,945","3,036","5,788","6,399","12,664"
"United States","487","1,184","6,244","7,915","9,242","10,206","10,971"
"Indonesia","80","203","1,330","3,705","5,793","6,689","8,985"
"Philippines","42","126","1,817","3,531","4,708","5,618","8,906"
"Mexico","60","172","1,063","1,895","3,123","4,333","6,918"
"Vietnam","71","204","1,417","3,248","4,556","5,343","6,571"
"Thailand","29","76","511","1,650","2,470","3,347","5,701"
"Turkey","44","121","851","1,559","2,629","3,391","4,617"
"Germany","85","226","1,102","1,869","2,339","2,690","3,227"
"Egypt","16","49","381","708","1,153","1,703","3,177"
"Argentina","35","108","630","1,214","1,980","2,564","3,146"
"Italy","77","214","1,062","1,498","1,944","2,216","2,813"
"France","78","220","1,079","1,661","2,194","2,358","2,792"
"Pakistan","23","60","564","1,284","1,973","2,502","2,690"
"Kazakhstan","14","43","272","714","1,148","1,475","2,453"
"Ukraine","28","80","416","874","1,514","1,834","2,289"
"Colombia","18","53","421","707","1,158","1,561","2,094"
"United Kingdom (UK)","52","140","775","1,142","1,359","1,535","1,842"
"Korea, Republic Of","17","63","510","877","1,082","1,191","1,745"
"Spain","29","83","513","805","1,156","1,322","1,726"
"Jordan","4","13","88","197","340","515","1,598"
"Japan","30","80","555","862","992","1,128","1,593"
"Malaysia","20","50","287","637","1,028","1,190","1,509"
"Saudi Arabia","10","29","219","600","962","1,212","1,496"
"Poland","19","57","322","562","876","1,115","1,478"
"Chile","13","41","276","569","884","1,142","1,386"
"Peru","9","29","227","615","947","1,100","1,182"
"Taiwan","9","26","187","369","559","763","1,085"
"Canada","38","102","496","698","823","895","990"
"South Africa","13","35","221","440","604","747","971"
"Ecuador","7","23","165","410","628","768","956"
"Algeria","7","25","175","334","560","724","918"
"Romania","12","36","191","404","587","688","800"
"Australia","17","44","305","452","581","635","740"
"Lebanon","4","11","67","142","217","284","727"
"Netherlands","17","46","225","388","473","540","710"
"Portugal","11","29","192","326","424","509","700"
"Hungary","7","22","118","304","426","540","699"
"Belarus","6","19","102","205","355","453","643"
"Greece","7","19","109","294","360","436","547"
"Nigeria","2","7","56","154","344","443","515"
"Belgium","10","27","158","256","360","404","497"
"Venezuela","6","18","123","232","305","363","480"
"Czech Republic","7","20","111","259","336","382","478"
"Israel","5","14","82","219","325","377","438"
"United Arab Emirates","4","12","73","157","209","271","431"
"Tunisia","2","9","67","200","281","310","380"
"Bulgaria","4","12","68","159","219","253","326"
"Hong Kong","4","10","66","115","167","217","281"
"Austria","6","16","101","178","220","245","275"
"Sweden","4","12","76","141","181","206","238"
"Slovakia","3","8","51","115","158","178","224"
"Croatia","2","6","38","74","118","154","210"
"Uruguay","2","8","52","109","142","165","206"
"Switzerland","5","15","68","119","145","164","187"
"Oman","1","4","29","53","74","106","185"
"Finland","2","6","38","82","125","147","180"
"New Zealand","4","12","76","115","135","148","177"
"Singapore","5","12","55","83","107","124","172"
"Lithuania","1","4","29","66","97","120","164"
"Denmark","3","8","51","84","103","117","149"
"Norway","2","6","39","68","87","108","139"
"Ireland","2","6","44","67","94","107","128"
"Qatar","1","3","26","50","69","90","117"
"Kuwait","1","4","26","42","65","79","100"
"Latvia","1","4","21","43","57","70","84"
"Slovenia","1","4","17","33","48","60","81"
"Estonia","1","4","16","18","16","16","45"
"Macao","0","0","0","0","0","1","7"
