"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","131","495","6,321","14,544","20,197","24,295","32,315"
"Indonesia","90","239","1,211","2,545","4,985","10,362","16,991"
"Brazil","62","190","1,626","4,424","7,248","10,598","15,058"
"Philippines","54","196","2,386","4,123","5,487","6,155","10,519"
"Vietnam","160","389","2,423","3,464","5,030","7,417","9,626"
"United States","438","1,230","4,077","5,328","6,304","6,968","7,898"
"Thailand","92","239","1,564","2,368","3,162","3,780","4,753"
"Colombia","14","44","198","349","525","826","3,459"
"Russian Federation","54","165","873","1,342","1,611","2,275","3,115"
"Mexico","42","112","457","708","1,043","1,625","2,800"
"Pakistan","4","19","188","431","1,034","1,471","2,595"
"Turkey","13","35","201","387","690","1,117","1,878"
"Romania","15","42","237","767","1,275","1,467","1,682"
"Australia","20","66","347","581","786","938","1,560"
"Ukraine","18","49","282","664","929","1,129","1,382"
"Malaysia","23","64","277","427","714","907","1,378"
"South Africa","19","54","349","653","886","1,084","1,356"
"Argentina","30","94","376","515","684","933","1,306"
"Kazakhstan","6","23","157","427","775","1,026","1,267"
"Taiwan","10","27","446","728","914","1,041","1,145"
"Japan","34","73","300","511","741","894","1,082"
"France","21","62","271","446","600","812","1,078"
"Germany","29","73","346","514","709","865","921"
"Korea, Republic Of","4","12","82","158","604","748","834"
"United Kingdom (UK)","45","104","307","416","540","632","824"
"Italy","23","60","280","416","564","724","804"
"Spain","15","43","205","321","488","594","779"
"Peru","12","39","186","287","395","510","737"
"Nigeria","0","3","28","108","209","441","671"
"Chile","10","34","149","221","291","383","616"
"Poland","11","34","162","260","373","475","581"
"Ecuador","2","10","55","95","134","205","567"
"Canada","27","77","250","311","383","444","488"
"Egypt","2","8","69","135","209","291","480"
"Venezuela","3","9","51","86","183","281","427"
"Hungary","5","16","67","100","152","232","397"
"Portugal","3","9","40","71","107","168","351"
"Greece","5","14","55","78","114","148","281"
"Hong Kong","3","9","47","136","211","265","276"
"Czech Republic","5","14","62","91","138","176","245"
"New Zealand","6","18","104","156","183","206","240"
"Netherlands","6","17","69","102","133","169","213"
"Belarus","1","5","31","57","97","137","207"
"Algeria","1","5","44","82","121","154","204"
"Singapore","6","16","60","95","125","149","186"
"Bulgaria","3","9","47","74","100","122","174"
"Saudi Arabia","1","5","44","81","122","152","171"
"Belgium","2","8","39","59","75","103","170"
"Sweden","0","3","20","34","70","111","152"
"Slovakia","2","9","40","55","75","98","128"
"Uruguay","2","10","39","54","73","97","128"
"Israel","1","3","21","34","46","55","104"
"Austria","1","5","26","38","56","72","85"
"Jordan","0","1","13","26","41","54","78"
"Latvia","0","3","15","19","25","36","61"
"Croatia","1","3","16","23","28","38","54"
"United Arab Emirates","0","1","16","26","35","42","49"
"Lebanon","0","1","11","26","30","44","46"
"Lithuania","0","2","14","22","27","30","44"
"Tunisia","0","0","10","18","25","31","40"
"Kuwait","0","1","6","18","27","38","40"
"Switzerland","1","4","18","25","27","31","38"
"Ireland","1","3","13","20","26","32","35"
"Oman","0","0","4","9","14","17","22"
"Finland","0","1","10","16","20","22","20"
"Norway","0","1","9","17","18","18","18"
"Denmark","0","2","11","14","16","17","16"
"Qatar","0","0","3","6","8","9","10"
"Slovenia","0","2","9","11","11","11","8"
"Estonia","0","0","3","5","6","7","5"
"Macao","0","0","0","1","3","3","3"
