"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","7,797","15,615","44,315","61,512","81,404","99,453","126,255"
"Brazil","5,616","9,281","22,296","29,278","33,964","37,486","45,787"
"Russian Federation","2,406","4,921","12,292","15,211","18,127","22,195","33,943"
"Indonesia","3,462","6,073","14,532","17,954","19,325","21,992","29,896"
"United States","3,209","5,150","9,844","11,507","13,908","17,556","22,509"
"Mexico","2,753","5,016","12,354","14,334","16,542","18,621","22,475"
"Vietnam","1,902","3,345","8,206","10,172","11,894","14,309","20,837"
"Turkey","1,943","3,578","8,365","10,122","11,707","13,405","17,735"
"Egypt","1,373","2,562","6,192","7,828","9,534","10,601","14,133"
"Philippines","1,801","3,181","7,378","8,501","9,265","10,114","13,184"
"Pakistan","837","1,736","4,841","5,995","6,917","7,898","12,094"
"Thailand","1,245","2,167","4,753","6,174","7,480","8,337","11,937"
"Argentina","1,027","1,817","4,166","5,209","6,683","7,925","9,956"
"Colombia","961","1,789","4,375","5,295","5,822","6,669","9,703"
"Ukraine","714","1,295","2,745","3,540","4,298","5,209","7,413"
"Peru","647","1,228","3,343","4,126","4,831","5,577","7,391"
"Germany","766","1,295","2,584","3,154","3,880","4,786","6,924"
"Kazakhstan","608","1,137","2,573","3,120","3,800","4,451","6,156"
"France","751","1,266","2,510","3,008","3,616","4,325","6,022"
"Saudi Arabia","634","1,167","2,396","3,101","3,757","4,342","5,547"
"Italy","629","1,048","2,145","2,661","3,308","4,336","5,480"
"Chile","641","1,171","2,533","3,202","3,830","4,101","5,393"
"Malaysia","674","1,195","2,416","2,840","3,313","3,982","5,108"
"Algeria","594","1,020","2,491","2,998","3,265","3,651","4,927"
"Ecuador","385","748","1,879","2,311","2,860","3,366","4,903"
"United Kingdom (UK)","564","944","1,814","2,186","2,617","3,238","4,807"
"Spain","546","969","1,898","2,396","2,866","3,459","4,596"
"Poland","585","998","2,013","2,363","2,959","3,576","4,570"
"Korea, Republic Of","496","876","1,716","2,013","2,559","2,916","3,948"
"Romania","382","652","1,344","1,619","2,018","2,528","3,339"
"South Africa","285","478","1,170","1,408","1,737","2,095","2,902"
"Venezuela","197","344","909","1,165","1,342","1,661","2,559"
"Japan","312","499","1,088","1,361","1,577","1,756","2,530"
"Jordan","269","493","1,098","1,340","1,549","1,763","2,375"
"Canada","274","435","877","1,080","1,198","1,543","2,239"
"Nigeria","77","164","482","687","1,061","1,518","2,081"
"Belarus","169","314","656","881","1,102","1,366","1,929"
"Taiwan","187","345","729","964","1,181","1,436","1,786"
"Israel","187","337","638","803","1,019","1,245","1,625"
"Netherlands","157","266","542","668","836","1,074","1,515"
"Australia","178","293","575","708","819","980","1,373"
"Tunisia","141","246","571","705","802","884","1,331"
"Hungary","143","239","459","563","699","897","1,274"
"Portugal","155","274","509","627","759","910","1,256"
"Czech Republic","144","239","448","542","699","899","1,239"
"Greece","148","261","508","603","709","839","1,221"
"Lebanon","126","239","483","581","686","830","1,132"
"Belgium","137","233","433","523","717","821","1,068"
"United Arab Emirates","108","197","396","478","621","779","1,065"
"Bulgaria","112","179","357","413","520","616","834"
"Sweden","76","132","248","318","404","507","733"
"Austria","70","118","230","308","405","478","695"
"Slovakia","70","118","222","268","324","401","664"
"Oman","70","133","281","339","396","471","658"
"Uruguay","69","119","260","317","370","445","582"
"Lithuania","57","94","184","249","319","383","555"
"Croatia","57","101","196","237","295","372","535"
"Finland","37","63","137","181","231","298","487"
"Singapore","46","83","166","211","274","327","441"
"New Zealand","50","84","158","184","215","281","439"
"Switzerland","46","81","154","191","236","305","439"
"Hong Kong","48","80","168","216","257","323","437"
"Ireland","43","76","141","176","211","260","413"
"Kuwait","42","75","156","190","253","301","411"
"Norway","32","54","108","134","169","209","349"
"Denmark","32","55","107","133","171","202","303"
"Latvia","29","48","91","125","155","189","293"
"Qatar","26","49","96","117","146","181","277"
"Slovenia","24","41","77","98","125","154","224"
"Estonia","15","27","51","67","83","100","158"
"Macao","1","2","5","6","7","9","10"
