"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","2,756","5,380","15,674","22,158","26,180","28,569","30,140"
"Brazil","2,432","3,998","10,614","13,469","16,174","19,844","24,515"
"Russian Federation","1,239","2,172","5,471","7,654","9,371","12,717","16,893"
"Indonesia","1,937","3,632","8,984","11,261","12,552","13,715","14,569"
"Mexico","1,129","1,877","4,427","5,947","6,946","8,222","10,703"
"United States","873","1,456","3,543","4,543","5,591","6,390","8,381"
"Vietnam","916","1,562","3,998","4,865","5,497","6,231","8,271"
"Turkey","1,052","1,813","4,157","5,350","6,215","6,902","7,459"
"Philippines","721","1,175","2,900","3,918","4,685","5,179","6,830"
"Egypt","692","1,207","2,782","3,468","3,868","4,223","4,555"
"Thailand","536","916","2,417","2,961","3,377","3,687","4,097"
"Argentina","445","729","1,671","2,134","2,449","3,056","3,761"
"Ukraine","305","508","1,360","1,746","2,155","2,634","3,546"
"Colombia","384","650","1,534","2,099","2,466","2,754","3,248"
"Kazakhstan","324","580","1,359","1,627","2,040","2,403","3,106"
"Italy","235","390","902","1,213","1,549","1,712","2,994"
"Pakistan","293","565","1,471","2,038","2,340","2,457","2,694"
"Peru","315","541","1,238","1,647","1,881","2,068","2,429"
"Saudi Arabia","345","607","1,233","1,507","1,730","1,943","2,384"
"Chile","290","464","1,035","1,299","1,597","1,928","2,371"
"Malaysia","310","523","1,133","1,468","1,664","1,791","2,303"
"Germany","222","360","833","1,118","1,361","1,577","2,292"
"Algeria","268","486","1,226","1,509","1,685","1,839","2,196"
"Spain","192","315","741","958","1,173","1,448","2,003"
"Poland","205","326","773","1,089","1,322","1,548","1,906"
"France","218","350","845","1,070","1,264","1,479","1,819"
"Ecuador","187","337","766","1,071","1,242","1,309","1,566"
"United Kingdom (UK)","168","274","682","870","1,034","1,134","1,526"
"Korea, Republic Of","107","196","520","677","726","788","1,301"
"Romania","158","266","575","734","902","1,063","1,282"
"Jordan","154","289","619","731","840","915","1,040"
"Belarus","78","129","342","446","535","659","839"
"Canada","80","125","302","409","490","551","777"
"South Africa","104","182","378","490","568","638","739"
"Venezuela","93","161","436","525","601","641","678"
"Israel","75","123","275","349","405","469","584"
"Portugal","67","106","240","311","384","447","571"
"Japan","62","112","290","385","461","502","537"
"Netherlands","54","87","211","264","312","376","513"
"Australia","50","81","204","257","303","348","510"
"Hungary","56","90","194","244","329","385","477"
"Tunisia","73","130","293","353","394","423","476"
"Czech Republic","51","82","188","249","316","378","474"
"Greece","58","94","205","255","330","392","470"
"Lebanon","80","145","281","326","354","381","450"
"Belgium","49","78","173","226","286","337","436"
"Bulgaria","49","80","153","195","229","278","378"
"Nigeria","24","43","139","212","262","315","367"
"United Arab Emirates","56","93","181","222","250","279","317"
"Taiwan","53","90","216","253","265","289","312"
"Oman","43","81","175","215","246","262","311"
"Uruguay","34","54","121","157","203","249","307"
"Sweden","33","51","130","171","209","235","272"
"Slovakia","29","45","100","127","167","192","243"
"Austria","23","36","82","110","137","163","223"
"Lithuania","26","39","89","114","143","167","221"
"Croatia","24","37","83","103","127","144","192"
"Ireland","17","28","64","86","106","119","163"
"Finland","13","21","57","83","109","121","158"
"Kuwait","24","39","83","103","115","127","153"
"New Zealand","15","24","58","75","90","102","147"
"Switzerland","16","24","57","74","92","110","141"
"Latvia","12","20","45","58","74","89","117"
"Norway","12","19","44","56","68","80","117"
"Hong Kong","16","25","52","64","73","84","107"
"Denmark","11","18","44","62","72","79","103"
"Singapore","16","26","56","68","78","89","103"
"Qatar","14","24","46","57","63","69","77"
"Slovenia","9","14","31","40","50","57","74"
"Estonia","6","10","23","32","45","53","60"
"Macao","0","0","0","1","2","2","3"
