"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","5,588","14,368","39,774","54,064","69,359","90,788","115,968"
"Brazil","3,092","6,613","15,499","21,216","26,109","31,466","47,477"
"Indonesia","1,610","3,659","11,223","16,931","20,276","23,412","34,564"
"Russian Federation","1,912","3,801","10,711","15,184","20,071","24,745","32,342"
"Mexico","1,682","3,978","9,473","12,398","15,117","18,118","28,031"
"United States","2,841","5,396","10,700","14,147","17,275","19,525","23,855"
"Vietnam","954","2,120","6,064","8,930","10,944","13,355","20,759"
"Turkey","1,097","2,441","6,088","8,496","10,636","12,994","16,499"
"Philippines","878","1,741","5,439","7,363","8,534","9,888","15,890"
"Egypt","769","1,757","4,893","6,614","7,673","8,892","12,747"
"Thailand","475","1,174","3,483","5,479","7,726","9,239","12,116"
"Argentina","643","1,343","3,253","4,352","5,415","6,401","10,106"
"Pakistan","566","1,327","3,676","4,874","5,679","6,922","10,062"
"Colombia","590","1,343","3,218","4,352","5,159","6,265","8,839"
"France","613","1,183","2,726","3,664","4,738","5,629","7,710"
"Ukraine","486","996","2,374","3,191","3,979","5,177","7,200"
"Germany","637","1,200","2,645","3,779","4,921","5,630","7,158"
"Peru","363","800","2,149","2,909","3,672","4,538","6,716"
"Kazakhstan","351","797","2,209","3,177","3,895","4,727","6,593"
"Italy","443","953","2,223","3,007","3,815","4,679","6,340"
"Chile","388","831","2,027","2,832","3,389","4,262","6,232"
"Malaysia","309","681","1,835","2,526","3,065","3,679","5,298"
"United Kingdom (UK)","514","905","1,961","2,670","3,593","4,070","5,182"
"Poland","335","701","1,733","2,341","3,065","3,867","5,110"
"Saudi Arabia","307","743","1,783","2,503","3,206","3,860","5,046"
"Spain","384","797","1,939","2,580","3,278","3,892","5,036"
"Algeria","347","728","1,919","2,509","3,001","3,429","4,695"
"Ecuador","202","510","1,337","1,996","2,572","3,186","4,271"
"Japan","379","649","1,546","2,109","2,671","3,213","4,268"
"Korea, Republic Of","366","748","1,816","2,419","2,891","3,454","4,153"
"Romania","206","461","1,049","1,476","1,911","2,386","3,392"
"South Africa","217","464","1,090","1,359","1,653","1,871","2,767"
"Canada","241","434","902","1,289","1,710","1,971","2,178"
"Jordan","128","302","855","1,178","1,468","1,716","2,122"
"Taiwan","127","259","677","911","1,109","1,384","1,873"
"Israel","105","246","596","836","1,027","1,312","1,632"
"Netherlands","122","234","557","808","1,049","1,301","1,583"
"Australia","151","282","639","878","1,140","1,347","1,578"
"Belarus","111","228","554","758","944","1,151","1,510"
"Greece","99","209","490","691","911","1,101","1,498"
"Venezuela","119","233","541","788","936","1,085","1,485"
"Hungary","94","196","493","700","859","1,041","1,402"
"Portugal","103","216","527","739","889","1,095","1,369"
"Belgium","100","201","478","660","833","997","1,296"
"Czech Republic","90","195","443","642","752","913","1,291"
"Nigeria","62","140","404","568","689","777","1,266"
"Tunisia","83","188","488","658","784","913","1,144"
"Lebanon","72","157","387","530","660","781","1,130"
"Bulgaria","59","130","316","459","576","747","1,040"
"United Arab Emirates","62","141","355","489","576","699","940"
"Sweden","48","97","245","345","435","516","720"
"Uruguay","41","91","216","315","405","508","682"
"Austria","51","100","233","320","409","535","666"
"Oman","34","76","229","311","388","472","592"
"New Zealand","35","69","159","241","325","410","540"
"Slovakia","42","92","221","306","370","420","539"
"Croatia","34","74","175","245","331","405","535"
"Switzerland","38","73","182","258","334","373","470"
"Hong Kong","39","72","184","251","299","351","462"
"Finland","24","50","137","190","263","323","451"
"Singapore","39","72","173","237","287","337","445"
"Ireland","25","54","141","200","258","306","404"
"Lithuania","30","68","161","201","257","308","398"
"Norway","20","42","109","169","229","282","384"
"Denmark","24","49","129","182","224","283","382"
"Kuwait","21","50","135","183","233","267","346"
"Latvia","16","35","88","120","154","194","261"
"Slovenia","14","33","78","121","147","175","221"
"Qatar","14","35","90","120","149","169","210"
"Estonia","9","20","47","67","83","100","130"
"Macao","0","1","3","4","5","6","6"
