"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","2,951","5,860","23,836","32,096","38,270","43,096","53,808"
"Brazil","1,363","2,737","10,281","15,260","18,958","21,854","28,053"
"Indonesia","791","1,573","5,646","8,267","10,783","12,069","16,883"
"Russian Federation","858","1,583","5,365","7,080","9,396","11,650","16,406"
"Vietnam","499","964","3,739","5,952","7,796","9,147","12,589"
"Mexico","547","1,156","4,923","6,842","8,228","9,269","11,657"
"United States","775","1,620","5,117","6,720","7,874","8,813","11,216"
"Thailand","299","585","2,456","3,769","5,484","7,137","10,483"
"Philippines","460","885","3,016","4,623","5,682","7,075","10,155"
"Turkey","494","1,047","3,672","4,957","5,846","6,750","8,985"
"Korea, Republic Of","214","526","1,754","3,263","4,911","5,905","7,169"
"Egypt","370","813","2,701","3,670","4,268","4,953","6,083"
"Pakistan","377","756","2,580","3,479","3,983","4,330","4,990"
"Argentina","202","408","1,782","2,529","2,956","3,369","4,224"
"Colombia","205","427","1,879","2,565","3,040","3,391","4,163"
"Ukraine","194","369","1,255","1,668","2,281","2,712","4,062"
"Peru","116","267","1,106","1,609","2,075","2,431","3,585"
"France","207","415","1,277","1,751","2,075","2,503","3,541"
"Germany","202","396","1,268","1,610","1,874","2,250","3,511"
"Malaysia","143","284","1,071","1,460","1,767","2,111","3,466"
"Japan","159","319","939","1,431","1,958","2,676","3,433"
"Kazakhstan","133","277","1,015","1,363","1,702","2,281","3,399"
"Taiwan","91","219","728","1,221","1,807","2,315","3,224"
"Chile","111","245","988","1,375","1,707","2,122","3,165"
"Italy","141","280","1,021","1,348","1,577","1,868","3,051"
"Algeria","190","383","1,246","1,710","2,022","2,239","2,792"
"Poland","128","255","814","1,050","1,319","1,652","2,477"
"Spain","118","250","898","1,212","1,451","1,678","2,447"
"Saudi Arabia","113","242","1,039","1,356","1,706","1,897","2,406"
"United Kingdom (UK)","128","262","852","1,132","1,332","1,434","2,078"
"Ecuador","84","184","787","1,113","1,256","1,430","1,888"
"Romania","83","167","575","753","910","1,089","1,676"
"Canada","72","145","447","582","693","867","1,428"
"South Africa","100","197","618","782","939","1,054","1,315"
"Venezuela","60","118","450","625","753","858","1,284"
"Jordan","60","127","488","708","802","875","1,160"
"Belarus","49","95","310","426","541","654","1,011"
"Australia","44","85","301","394","461","546","932"
"Nigeria","34","70","276","384","477","604","826"
"Tunisia","43","90","331","457","518","596","783"
"Hungary","39","77","244","324","389","486","772"
"Hong Kong","22","50","166","272","378","458","702"
"Greece","38","76","239","326","388","484","701"
"Israel","35","72","272","389","515","575","696"
"Portugal","37","76","258","340","419","495","675"
"Czech Republic","37","71","218","273","342","407","664"
"Netherlands","36","73","232","304","371","416","632"
"Belgium","32","64","218","306","367","423","588"
"Lebanon","30","66","231","309","352","392","511"
"United Arab Emirates","26","51","184","254","300","343","444"
"Bulgaria","26","50","175","223","258","304","431"
"Singapore","20","37","102","148","211","286","412"
"Oman","16","35","133","197","235","264","331"
"Austria","18","34","106","142","172","210","330"
"Uruguay","16","33","136","181","215","248","326"
"Sweden","18","34","110","145","183","216","303"
"Slovakia","18","33","107","141","177","219","295"
"Croatia","13","26","85","122","160","183","264"
"Lithuania","13","25","76","97","130","160","257"
"New Zealand","12","24","83","111","137","157","222"
"Switzerland","12","23","74","100","128","143","202"
"Ireland","9","18","65","86","109","130","187"
"Finland","8","17","55","74","90","101","173"
"Kuwait","8","18","67","94","113","133","170"
"Norway","7","14","47","66","83","99","158"
"Denmark","9","16","54","71","84","102","158"
"Latvia","7","14","41","51","65","84","142"
"Qatar","6","12","47","63","75","83","111"
"Slovenia","5","10","33","45","57","67","92"
"Estonia","4","7","22","29","37","49","76"
"Macao","0","1","1","1","1","3","3"
