"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","5,994","12,185","33,232","45,642","56,004","69,049","95,675"
"Brazil","4,525","9,152","22,049","29,107","35,416","40,228","51,599"
"Indonesia","2,488","4,978","13,085","17,595","22,041","25,592","31,745"
"Russian Federation","2,188","4,734","10,997","15,460","19,452","23,583","30,928"
"Mexico","1,845","4,595","11,719","15,385","18,276","21,161","28,384"
"United States","2,394","4,914","8,791","10,874","12,702","15,270","22,030"
"Turkey","1,689","3,480","8,169","9,941","11,686","13,610","19,849"
"Vietnam","989","2,417","6,262","8,263","9,864","11,482","16,988"
"Philippines","1,049","2,466","6,278","8,190","9,880","11,273","15,471"
"Argentina","698","1,620","4,105","5,215","7,054","8,612","11,517"
"Egypt","780","1,671","4,552","6,318","7,777","8,852","11,035"
"Colombia","651","1,574","3,956","5,370","6,551","7,978","10,345"
"Thailand","845","1,775","4,361","5,720","6,841","7,701","9,772"
"Ukraine","735","1,338","2,905","3,832","4,851","5,988","8,081"
"Peru","338","886","2,789","3,557","4,541","5,449","7,795"
"Germany","701","1,216","2,268","2,800","3,747","4,369","6,999"
"Pakistan","653","1,237","3,313","4,591","5,213","5,663","6,971"
"Kazakhstan","483","949","2,473","3,151","3,736","4,654","6,284"
"Chile","450","1,089","2,536","3,256","3,856","4,669","6,087"
"France","652","1,202","2,244","2,790","3,343","3,966","5,875"
"Saudi Arabia","383","895","2,051","2,768","3,435","4,222","5,818"
"Italy","522","994","2,017","2,522","3,140","3,830","5,722"
"Algeria","373","755","1,759","2,448","3,169","3,640","5,425"
"Korea, Republic Of","400","765","1,599","2,032","2,624","3,509","5,220"
"Malaysia","438","987","2,224","2,818","3,250","3,739","5,159"
"Ecuador","257","580","1,692","2,404","2,790","3,322","4,907"
"United Kingdom (UK)","473","919","1,620","2,045","2,391","3,085","4,581"
"Spain","480","904","1,815","2,226","2,778","3,309","4,496"
"Poland","533","964","1,915","2,257","2,662","3,074","4,385"
"Romania","308","585","1,178","1,483","1,863","2,232","3,099"
"South Africa","243","446","946","1,162","1,395","1,683","2,481"
"Japan","242","475","877","1,111","1,368","1,752","2,462"
"Jordan","161","367","965","1,220","1,389","1,631","2,270"
"Canada","214","416","768","942","1,136","1,324","2,063"
"Venezuela","131","280","730","998","1,253","1,404","2,020"
"Belarus","171","328","721","932","1,146","1,452","1,885"
"Nigeria","41","80","268","373","422","540","1,880"
"Israel","123","263","593","761","935","1,099","1,646"
"Taiwan","131","253","557","766","1,016","1,248","1,628"
"Australia","147","293","530","656","763","920","1,400"
"Hungary","128","232","433","520","656","827","1,348"
"Czech Republic","131","232","438","541","695","840","1,313"
"Portugal","131","255","505","624","752","912","1,273"
"Lebanon","83","173","439","557","676","804","1,268"
"Tunisia","92","189","431","598","747","897","1,262"
"Netherlands","136","248","463","592","722","891","1,215"
"Greece","113","226","492","602","752","850","1,215"
"Bulgaria","89","159","345","443","542","696","1,026"
"Belgium","113","212","427","519","617","742","956"
"United Arab Emirates","71","160","355","425","509","631","861"
"Uruguay","51","110","259","349","435","553","753"
"Oman","40","104","265","342","427","496","702"
"Slovakia","62","109","224","266","352","440","666"
"Lithuania","49","90","185","241","303","364","559"
"Austria","60","106","201","260","309","362","515"
"Croatia","47","92","191","239","296","378","511"
"Sweden","58","108","222","271","311","387","500"
"Hong Kong","36","68","152","199","240","295","421"
"Kuwait","24","54","137","182","220","262","418"
"New Zealand","37","76","145","182","225","259","395"
"Finland","32","56","120","160","200","237","359"
"Switzerland","40","72","140","178","218","261","352"
"Ireland","32","65","137","171","207","237","351"
"Latvia","26","46","98","137","173","215","324"
"Singapore","36","69","132","166","202","226","301"
"Denmark","26","50","100","125","154","187","261"
"Slovenia","19","37","76","103","130","173","247"
"Norway","25","49","92","122","147","174","241"
"Qatar","17","38","86","105","128","153","236"
"Estonia","14","27","53","72","88","109","162"
"Macao","0","1","2","3","4","5","6"
