"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","124","441","4,258","8,625","14,075","20,519","25,485"
"Brazil","65","243","3,520","10,117","13,583","16,404","19,280"
"United States","250","778","7,028","9,303","12,021","13,875","17,824"
"Indonesia","43","145","1,281","5,353","9,790","11,919","17,027"
"Russian Federation","103","359","2,254","4,672","8,245","11,059","16,403"
"Mexico","36","140","1,967","5,214","7,162","8,701","10,417"
"Turkey","39","153","1,537","3,689","4,919","5,998","9,872"
"Philippines","49","162","2,913","4,206","4,910","5,786","8,154"
"Egypt","17","62","577","1,868","3,469","4,494","5,136"
"Colombia","15","63","1,108","2,179","3,005","3,553","4,797"
"Argentina","17","71","1,401","2,132","2,895","3,353","4,513"
"Algeria","18","57","398","774","1,318","1,915","4,313"
"United Kingdom (UK)","38","133","1,175","1,869","2,649","3,189","4,176"
"Ukraine","29","66","622","1,173","1,676","2,024","3,898"
"France","31","113","1,515","2,452","2,730","3,040","3,589"
"Italy","19","72","851","1,210","1,712","2,079","3,152"
"Thailand","4","18","189","351","1,291","1,752","3,094"
"Vietnam","4","13","128","254","325","529","3,046"
"Pakistan","14","42","468","867","1,345","1,725","3,032"
"Peru","7","29","633","1,304","1,822","2,077","2,900"
"Spain","16","60","818","1,281","1,721","1,912","2,844"
"Germany","23","78","833","1,367","1,919","2,179","2,797"
"Poland","8","31","330","735","1,154","1,485","2,786"
"Chile","8","31","781","1,199","1,670","2,026","2,410"
"Malaysia","12","38","316","936","1,350","1,770","2,144"
"Romania","4","16","138","672","1,012","1,212","2,048"
"South Africa","20","73","573","872","1,208","1,514","2,011"
"Ecuador","5","19","285","791","1,103","1,411","1,917"
"Kazakhstan","13","44","344","743","1,334","1,593","1,890"
"Canada","20","68","547","822","1,155","1,472","1,846"
"Australia","10","38","375","610","839","1,174","1,673"
"Nigeria","10","31","317","665","962","1,230","1,616"
"Venezuela","7","25","445","648","872","1,018","1,313"
"Japan","4","14","148","460","662","824","1,289"
"Saudi Arabia","5","21","202","450","816","963","1,191"
"Hungary","2","10","125","347","554","736","1,054"
"Tunisia","3","11","97","180","265","351","1,052"
"Greece","3","13","125","324","549","714","929"
"Netherlands","6","20","209","329","431","513","889"
"Czech Republic","2","9","87","209","354","575","863"
"Taiwan","1","4","42","207","439","577","846"
"Jordan","2","9","95","191","413","619","840"
"Belarus","4","17","126","302","440","566","830"
"Korea, Republic Of","2","6","70","196","602","694","734"
"Israel","3","9","101","256","403","533","665"
"Bulgaria","1","4","42","180","329","458","643"
"Portugal","3","13","224","373","460","507","634"
"Belgium","4","17","209","296","377","422","542"
"Slovakia","0","3","43","145","223","347","478"
"New Zealand","2","8","97","158","258","349","468"
"United Arab Emirates","2","9","68","166","228","317","420"
"Croatia","0","2","31","77","156","279","398"
"Sweden","1","5","58","138","177","226","393"
"Lebanon","2","8","59","131","215","285","382"
"Ireland","1","5","73","122","180","243","361"
"Singapore","2","9","89","147","186","236","356"
"Finland","0","2","27","67","91","149","345"
"Lithuania","0","2","21","62","125","186","331"
"Uruguay","1","5","98","165","217","245","315"
"Austria","1","6","79","132","179","224","295"
"Hong Kong","0","2","47","104","139","183","270"
"Oman","0","3","29","61","112","169","260"
"Denmark","0","3","40","76","98","122","247"
"Norway","0","1","25","58","69","95","189"
"Switzerland","1","5","68","103","130","152","188"
"Latvia","0","1","15","27","32","49","172"
"Slovenia","0","0","17","44","56","89","152"
"Kuwait","0","2","23","50","82","97","128"
"Qatar","0","1","18","41","56","69","104"
"Estonia","0","0","8","15","15","19","40"
"Macao","0","0","0","1","1","2","9"
