"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","878","2,011","10,321","17,067","23,012","30,817","46,957"
"Brazil","717","1,758","7,277","10,302","11,496","15,443","15,834"
"United States","753","1,542","4,980","6,768","8,077","9,617","13,022"
"Pakistan","76","165","1,058","2,273","6,138","9,284","12,307"
"Turkey","236","611","2,324","3,502","6,416","8,175","10,457"
"Korea, Republic Of","185","382","2,218","3,381","4,267","5,432","8,466"
"Indonesia","128","310","1,842","2,660","4,393","4,662","7,795"
"Germany","404","1,193","3,875","4,533","4,758","4,977","7,688"
"Mexico","237","746","3,105","4,952","5,958","5,939","6,572"
"Egypt","100","255","1,517","3,418","5,458","5,771","6,197"
"France","317","755","2,513","3,877","4,589","4,626","5,666"
"Vietnam","49","111","791","1,534","2,393","3,472","5,093"
"Italy","271","714","2,574","3,208","3,264","4,184","4,861"
"Spain","300","662","1,649","2,231","2,703","2,790","4,740"
"Colombia","133","380","1,757","2,330","2,580","3,181","4,287"
"Philippines","77","186","1,003","1,764","2,736","3,145","4,163"
"Nigeria","30","54","348","735","1,149","1,579","4,145"
"Thailand","45","131","634","2,073","2,455","2,536","3,820"
"Saudi Arabia","56","141","787","1,728","2,112","2,990","3,711"
"United Kingdom (UK)","231","573","1,619","2,116","2,662","2,915","3,646"
"Ukraine","130","298","976","1,370","2,341","2,610","3,121"
"Poland","154","453","1,498","1,838","2,473","2,451","2,835"
"Algeria","70","159","654","1,387","1,904","2,109","2,693"
"Argentina","160","415","1,817","2,376","2,340","2,386","2,614"
"Peru","66","226","877","1,234","1,879","2,145","2,431"
"Kazakhstan","50","118","541","933","1,162","1,703","2,224"
"Canada","90","192","751","1,268","1,373","2,301","2,159"
"Japan","103","230","1,189","1,373","1,403","1,723","1,927"
"Malaysia","51","162","563","795","1,050","1,114","1,827"
"Netherlands","77","160","391","604","700","789","1,823"
"South Africa","66","154","657","1,072","1,296","1,385","1,750"
"Chile","82","210","782","980","1,112","1,269","1,745"
"Taiwan","36","77","265","513","603","1,187","1,713"
"Romania","49","136","463","636","721","881","1,254"
"Ecuador","41","104","477","679","923","1,159","1,200"
"Australia","78","146","448","550","574","932","1,102"
"Belgium","59","135","421","535","604","770","949"
"Portugal","63","141","471","557","661","634","901"
"Czech Republic","47","117","478","618","717","823","893"
"Jordan","16","39","212","413","528","580","886"
"Venezuela","26","66","389","596","675","738","853"
"Tunisia","21","46","200","388","571","677","797"
"Austria","43","113","368","424","503","653","796"
"Hungary","47","113","367","501","567","647","781"
"Israel","31","68","259","402","579","569","731"
"Sweden","34","88","238","328","358","414","719"
"Belarus","32","70","264","432","574","614","707"
"Greece","41","102","345","495","554","588","662"
"Singapore","22","49","158","346","420","507","659"
"Switzerland","35","84","275","350","400","512","653"
"United Arab Emirates","31","60","228","465","555","608","629"
"Bulgaria","17","49","200","264","394","475","507"
"Slovakia","19","46","188","282","353","421","476"
"Lebanon","11","25","133","248","317","367","458"
"Finland","19","51","222","265","365","386","419"
"Hong Kong","13","30","196","284","298","366","409"
"Denmark","15","46","127","160","174","213","371"
"Uruguay","11","33","121","154","197","253","364"
"Ireland","20","40","135","181","201","282","364"
"Croatia","16","41","136","229","284","313","334"
"Oman","5","11","58","207","267","285","331"
"Kuwait","3","10","53","196","232","286","311"
"Norway","14","40","118","170","247","264","300"
"New Zealand","14","34","126","171","177","219","296"
"Qatar","5","11","42","171","206","238","296"
"Lithuania","10","23","67","107","152","176","183"
"Slovenia","7","15","61","89","111","111","134"
"Latvia","6","13","38","64","90","93","98"
"Estonia","3","7","35","48","56","59","61"
"Macao","0","0","1","3","7","14","16"
