"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","1,356","2,829","15,653","35,315","56,376","68,011","100,530"
"Brazil","740","1,561","6,251","12,387","18,544","21,247","29,187"
"United States","978","2,127","6,165","9,843","11,245","14,551","27,227"
"Indonesia","347","776","3,533","9,510","11,433","17,992","19,151"
"Mexico","347","819","3,500","5,852","9,195","13,449","16,070"
"Thailand","224","454","3,070","6,089","9,060","9,934","15,816"
"Egypt","203","419","2,204","3,646","5,357","6,652","12,584"
"Philippines","188","421","2,444","4,220","6,485","10,547","12,034"
"Vietnam","161","347","2,204","5,298","6,229","7,416","9,104"
"Turkey","257","625","3,041","4,173","5,144","6,141","8,786"
"Pakistan","139","355","1,798","4,821","5,293","6,888","8,003"
"Korea, Republic Of","745","1,673","3,512","4,055","5,878","6,445","7,787"
"Germany","346","641","2,268","3,629","4,493","5,809","7,730"
"Colombia","137","385","1,492","2,389","2,789","4,233","6,026"
"France","314","554","1,764","2,346","3,482","5,196","6,014"
"South Africa","58","140","594","973","1,720","2,085","5,852"
"Italy","176","418","1,343","1,609","2,719","3,174","5,523"
"Malaysia","116","336","1,170","1,810","2,704","2,839","5,505"
"Saudi Arabia","119","258","1,228","1,979","2,832","3,193","5,478"
"United Kingdom (UK)","258","554","1,822","2,382","3,196","3,945","5,417"
"Spain","169","353","1,295","2,273","3,210","3,245","5,218"
"Argentina","128","295","1,173","2,350","3,796","4,520","4,692"
"Japan","460","934","1,768","2,603","3,229","3,659","4,129"
"Poland","84","190","1,322","1,933","2,628","2,958","3,865"
"Algeria","93","230","1,012","1,485","2,794","3,314","3,809"
"Ukraine","78","155","715","1,172","2,029","2,824","3,692"
"Peru","93","204","775","1,522","1,843","2,120","3,553"
"Taiwan","65","137","974","1,491","1,858","2,233","2,520"
"Chile","67","173","574","1,074","1,362","1,903","2,502"
"Ecuador","50","112","511","889","1,132","1,569","2,469"
"Kazakhstan","49","110","543","1,193","1,536","1,761","2,372"
"Nigeria","51","148","730","1,082","1,301","1,578","2,147"
"Romania","39","84","417","839","1,251","1,655","2,144"
"Australia","67","133","409","562","823","987","2,123"
"Canada","81","175","518","778","1,316","1,887","1,875"
"Venezuela","31","68","391","530","656","756","1,669"
"Netherlands","59","121","449","857","1,158","1,334","1,607"
"Tunisia","25","65","288","470","860","999","1,514"
"Jordan","32","71","300","521","677","891","1,375"
"Singapore","35","80","260","328","456","586","1,136"
"United Arab Emirates","59","112","407","738","881","942","1,096"
"Belgium","39","75","283","405","639","822","981"
"Sweden","24","49","225","407","570","808","966"
"Hong Kong","39","87","335","439","523","644","875"
"Belarus","19","40","172","279","455","619","869"
"Portugal","31","72","289","441","585","754","821"
"Hungary","24","48","299","364","479","607","814"
"Czech Republic","27","51","265","354","432","557","777"
"Austria","24","50","195","318","402","560","704"
"Israel","27","50","177","402","528","562","679"
"Greece","21","43","220","347","409","544","642"
"Lebanon","18","41","134","242","309","463","630"
"Bulgaria","12","29","135","235","274","369","463"
"Ireland","16","38","113","201","245","349","462"
"Norway","14","31","118","177","213","244","425"
"New Zealand","11","26","98","130","211","341","420"
"Finland","14","28","175","250","320","324","399"
"Slovakia","8","23","120","184","245","304","394"
"Uruguay","9","24","86","148","250","305","384"
"Switzerland","23","41","127","151","245","337","383"
"Denmark","13","29","112","174","247","279","374"
"Kuwait","10","27","118","157","211","238","369"
"Oman","12","28","85","178","201","225","336"
"Croatia","8","21","95","159","198","221","245"
"Qatar","11","24","81","119","154","178","244"
"Lithuania","5","13","61","90","122","145","200"
"Latvia","4","8","35","65","78","81","120"
"Slovenia","4","9","45","68","82","90","110"
"Estonia","2","5","18","38","49","55","67"
"Macao","0","0","2","2","4","3","5"
