"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","329","1,020","8,321","27,686","67,603","84,216","124,012"
"Brazil","167","473","3,028","16,736","31,131","45,776","53,040"
"United States","248","591","2,459","5,552","16,765","20,696","30,633"
"Mexico","66","223","1,288","3,875","15,257","21,418","28,134"
"Russian Federation","147","450","2,871","7,729","12,584","17,278","20,477"
"Pakistan","27","80","639","1,429","3,516","7,110","16,681"
"Indonesia","57","187","1,528","2,970","5,106","9,077","15,561"
"Colombia","27","104","1,045","3,657","7,517","9,799","13,738"
"Egypt","21","65","544","1,829","7,783","10,388","12,686"
"Korea, Republic Of","118","383","1,965","3,283","5,795","7,437","9,603"
"France","103","305","1,754","2,906","4,167","4,776","8,886"
"Philippines","23","74","588","3,215","5,505","6,490","8,844"
"United Kingdom (UK)","91","255","1,750","3,566","5,366","6,774","8,804"
"Malaysia","14","48","373","1,396","3,472","4,442","8,686"
"Peru","9","33","331","1,807","2,805","3,771","7,444"
"Argentina","34","112","870","2,685","5,089","5,942","7,246"
"Turkey","46","163","1,142","1,877","2,577","3,380","6,415"
"Vietnam","34","112","875","1,809","3,050","4,171","5,903"
"South Africa","9","39","376","1,079","2,101","2,532","5,764"
"Germany","121","299","1,454","2,393","3,247","3,862","5,223"
"Chile","13","48","501","2,284","3,801","4,183","4,834"
"Thailand","24","98","729","1,800","3,016","3,773","4,823"
"Poland","26","102","973","1,915","3,030","3,521","4,721"
"Ukraine","30","87","1,015","1,727","2,379","3,254","4,673"
"Nigeria","4","13","130","1,224","1,957","2,536","4,426"
"Japan","45","160","830","1,423","2,035","2,677","4,280"
"Italy","64","189","1,174","2,354","3,148","3,633","4,211"
"Spain","69","185","1,307","2,299","2,746","3,071","3,926"
"Kazakhstan","13","42","613","1,376","2,957","3,457","3,921"
"Algeria","16","50","367","934","1,857","2,557","3,691"
"Ecuador","7","23","151","502","1,336","1,877","3,667"
"Saudi Arabia","17","62","473","1,350","2,036","2,534","3,558"
"Australia","20","80","451","1,108","1,725","2,152","3,122"
"Canada","32","88","369","771","1,119","1,563","3,017"
"Romania","11","35","362","1,016","1,333","1,914","2,638"
"United Arab Emirates","10","41","343","713","979","1,280","1,581"
"Taiwan","16","43","303","650","801","1,018","1,552"
"Belgium","11","37","322","492","682","991","1,408"
"Portugal","12","34","291","763","1,102","1,193","1,389"
"Jordan","2","11","105","476","855","1,127","1,354"
"Netherlands","24","59","406","671","798","955","1,345"
"Czech Republic","9","26","391","812","1,066","1,155","1,335"
"Israel","10","27","510","679","1,040","1,099","1,227"
"Sweden","13","31","195","392","607","815","1,167"
"Tunisia","4","14","101","297","560","739","1,088"
"Belarus","9","26","221","454","717","910","1,070"
"Singapore","9","26","242","407","478","590","939"
"Greece","8","22","160","351","613","717","914"
"Venezuela","2","7","63","136","192","432","894"
"Switzerland","10","28","163","295","392","503","854"
"Hungary","8","22","237","401","609","727","830"
"Uruguay","1","7","51","291","434","520","763"
"Finland","7","20","187","342","497","619","757"
"Austria","9","32","231","362","514","586","756"
"Kuwait","1","5","44","159","260","339","711"
"Qatar","1","6","54","264","455","521","707"
"Ireland","4","14","162","411","510","577","684"
"Bulgaria","4","12","113","232","425","490","655"
"Norway","7","20","137","232","417","543","652"
"New Zealand","3","11","52","116","230","439","615"
"Denmark","6","17","120","200","291","416","572"
"Lebanon","1","5","41","79","143","369","539"
"Croatia","3","9","82","203","345","399","457"
"Oman","1","6","53","95","173","265","374"
"Hong Kong","4","14","108","267","302","324","363"
"Lithuania","2","9","92","213","277","307","330"
"Latvia","1","4","33","88","147","160","176"
"Slovenia","1","5","46","71","101","133","154"
"Estonia","0","3","27","67","75","103","113"
"Macao","0","0","2","3","0","1","4"
