"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","2,803","6,630","28,593","103,111","155,886","175,325","206,265"
"Brazil","1,479","4,200","24,695","42,827","59,916","65,530","71,898"
"Indonesia","958","2,379","11,402","16,765","23,585","32,960","46,455"
"Mexico","951","2,443","10,560","16,630","23,455","31,784","37,826"
"United States","942","2,398","9,838","13,997","17,128","19,633","31,362"
"Egypt","907","2,160","8,606","13,352","17,506","23,711","28,635"
"Russian Federation","542","1,265","7,016","13,963","17,020","20,920","27,251"
"Pakistan","286","679","3,620","5,705","9,139","18,321","26,752"
"Turkey","341","1,044","5,170","9,195","13,062","16,659","21,261"
"Colombia","365","1,087","5,784","9,174","12,169","16,141","19,992"
"Vietnam","187","519","3,076","4,951","7,116","11,472","19,288"
"Philippines","446","1,117","5,347","7,926","10,071","13,231","15,794"
"Thailand","226","566","2,603","5,050","6,850","9,458","15,343"
"Argentina","286","778","3,987","6,161","8,311","9,864","11,980"
"Peru","269","704","2,860","4,432","5,617","8,478","10,907"
"France","224","556","2,801","5,090","6,716","7,384","9,404"
"Germany","304","775","3,171","3,856","5,060","5,617","8,933"
"South Africa","317","926","3,094","4,287","5,659","7,495","8,922"
"Algeria","341","779","2,297","3,253","4,176","4,992","7,608"
"Nigeria","177","380","1,615","2,770","4,801","5,865","7,256"
"Ukraine","159","406","2,247","2,814","3,838","4,813","6,563"
"Japan","129","359","1,202","1,820","3,173","4,246","6,235"
"United Kingdom (UK)","199","538","2,410","3,885","4,745","5,657","6,179"
"Italy","182","431","1,691","2,483","3,573","4,410","6,141"
"Spain","177","480","1,802","2,769","3,322","3,932","5,997"
"Korea, Republic Of","207","605","2,203","2,892","4,166","4,715","5,717"
"Ecuador","130","299","1,688","2,595","3,848","4,548","5,614"
"Saudi Arabia","208","462","1,811","2,399","3,084","3,562","5,284"
"Chile","129","351","2,041","2,731","3,258","4,323","5,251"
"Malaysia","165","411","1,771","2,363","3,045","3,599","5,074"
"Poland","119","277","1,358","1,681","2,034","2,475","4,347"
"Kazakhstan","81","223","1,073","1,828","2,869","3,475","4,115"
"Taiwan","37","124","1,472","2,372","2,750","2,940","3,915"
"Venezuela","97","233","955","1,472","1,882","2,233","3,892"
"Canada","75","200","1,082","1,543","1,719","2,045","2,771"
"Australia","51","143","761","1,155","1,333","1,460","2,444"
"Romania","75","192","965","1,227","1,407","1,565","2,183"
"Jordan","99","207","610","781","1,116","1,436","1,943"
"Tunisia","91","216","568","828","1,030","1,272","1,715"
"Netherlands","61","148","579","715","948","1,208","1,599"
"Belarus","30","76","360","631","830","1,027","1,388"
"United Arab Emirates","69","156","507","613","820","1,022","1,302"
"Czech Republic","36","88","434","547","654","831","1,116"
"Portugal","37","91","405","566","685","748","1,095"
"Lebanon","40","96","334","465","546","747","1,015"
"Hungary","39","99","443","528","666","872","1,007"
"Greece","34","85","346","460","558","640","986"
"Singapore","34","75","266","306","380","619","969"
"Israel","41","96","434","644","727","797","945"
"Uruguay","24","61","310","422","583","702","919"
"Belgium","42","107","435","524","663","802","892"
"Austria","25","70","312","366","451","508","737"
"Sweden","20","50","263","403","450","509","704"
"Oman","26","57","168","246","300","359","638"
"Bulgaria","22","60","278","346","425","490","608"
"Kuwait","17","36","139","224","296","358","536"
"New Zealand","13","38","197","269","331","373","532"
"Finland","10","28","203","291","357","415","530"
"Switzerland","20","53","236","273","326","429","524"
"Slovakia","16","41","196","258","322","382","490"
"Croatia","12","34","166","219","252","279","475"
"Hong Kong","22","57","245","316","356","383","438"
"Ireland","12","33","158","259","295","326","403"
"Norway","9","24","142","208","274","329","392"
"Qatar","15","35","132","173","243","291","364"
"Denmark","8","23","154","221","256","303","348"
"Lithuania","8","19","115","167","197","218","231"
"Slovenia","5","13","74","90","102","116","201"
"Latvia","5","11","58","91","117","129","149"
"Estonia","2","6","43","64","77","84","95"
"Macao","0","0","3","2","1","14","43"
