"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","403","938","7,041","15,057","30,095","45,589","94,243"
"United States","109","305","2,963","6,451","9,409","11,570","21,553"
"Brazil","56","162","1,302","2,353","3,589","5,649","15,674"
"Japan","19","70","704","1,652","3,619","7,415","11,827"
"Vietnam","17","44","410","849","2,110","4,633","8,140"
"Russian Federation","50","129","982","1,953","2,850","3,503","4,581"
"France","50","130","755","1,167","1,647","2,033","4,004"
"Germany","59","171","1,091","1,660","2,342","2,773","3,989"
"Pakistan","21","55","409","763","1,330","1,766","3,945"
"Thailand","8","25","201","482","769","1,532","3,821"
"Turkey","21","61","573","1,048","1,458","1,874","2,917"
"Ukraine","6","16","93","277","660","1,660","2,773"
"Mexico","14","40","302","626","952","1,403","2,596"
"Indonesia","18","48","344","670","1,127","1,408","2,512"
"Korea, Republic Of","16","40","263","566","1,060","1,485","2,467"
"Egypt","11","30","216","384","540","888","2,320"
"South Africa","6","18","86","298","943","1,133","2,052"
"United Kingdom (UK)","26","68","421","781","1,093","1,492","2,017"
"Italy","27","67","370","679","882","1,197","1,949"
"Colombia","6","21","147","252","355","569","1,787"
"Taiwan","5","17","121","218","382","645","1,611"
"Romania","1","5","35","57","93","585","1,475"
"Nigeria","15","31","118","277","763","966","1,319"
"Poland","6","15","147","303","515","983","1,296"
"Spain","22","51","277","464","622","792","1,248"
"Saudi Arabia","8","21","138","248","357","567","1,071"
"Canada","12","31","172","324","517","767","992"
"Algeria","10","25","184","319","429","633","965"
"Argentina","7","21","145","270","349","408","921"
"Netherlands","16","37","163","257","416","586","855"
"Philippines","5","17","121","259","327","469","799"
"Chile","2","10","84","118","160","412","778"
"Australia","6","20","116","195","302","490","736"
"Malaysia","6","14","86","183","270","392","673"
"Israel","3","8","41","142","234","350","504"
"Sweden","5","11","52","120","230","314","496"
"Belgium","6","16","101","202","313","374","494"
"Peru","3","10","60","88","125","223","476"
"Tunisia","3","7","46","72","117","176","451"
"Kazakhstan","1","6","32","59","72","93","416"
"Hong Kong","3","7","42","150","208","259","341"
"Switzerland","6","15","60","84","113","171","307"
"Finland","2","3","6","65","208","244","278"
"Lebanon","0","3","15","25","63","131","253"
"Jordan","0","3","24","41","55","78","241"
"United Arab Emirates","6","12","56","93","125","143","239"
"Norway","3","5","14","19","92","124","231"
"Austria","4","11","56","84","101","117","209"
"Portugal","4","10","40","57","62","74","190"
"Hungary","0","2","14","34","54","93","169"
"Venezuela","1","1","6","10","14","19","164"
"Czech Republic","1","3","13","27","33","51","140"
"Singapore","3","7","23","31","39","47","111"
"Denmark","2","5","18","25","51","71","108"
"New Zealand","1","2","7","12","18","21","82"
"Belarus","0","1","9","17","20","37","72"
"Ecuador","0","2","14","21","32","47","66"
"Ireland","1","3","11","17","22","28","65"
"Greece","2","4","17","26","31","39","64"
"Oman","0","1","9","15","23","28","39"
"Kuwait","0","1","9","13","18","21","36"
"Qatar","0","1","7","12","18","21","28"
"Lithuania","0","0","3","6","8","14","20"
"Slovakia","0","0","3","8","11","15","18"
"Bulgaria","0","0","5","8","9","14","17"
"Croatia","0","0","3","8","8","10","16"
"Uruguay","0","0","4","5","7","8","10"
"Latvia","0","0","2","3","4","6","7"
"Slovenia","0","0","2","3","3","4","5"
"Estonia","0","0","2","2","3","3","4"
"Macao","0","0","0","0","0","0","0"
