"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","2,797","5,634","16,152","25,438","33,361","38,954","49,296"
"Indonesia","686","1,511","5,291","8,136","9,522","11,303","18,019"
"Brazil","1,020","2,190","7,667","10,318","13,181","14,708","16,754"
"Russian Federation","471","901","3,082","4,569","6,362","9,712","14,365"
"United States","567","1,175","3,914","7,354","8,751","10,344","13,658"
"Philippines","358","753","2,910","3,985","5,257","7,368","10,686"
"Mexico","596","1,276","4,387","6,297","7,504","8,216","9,817"
"Vietnam","190","403","1,567","2,605","3,563","4,266","7,921"
"Pakistan","401","828","2,635","4,253","5,108","5,680","7,258"
"Colombia","266","573","1,681","2,407","2,913","3,301","5,052"
"Egypt","255","564","1,948","2,802","3,281","3,775","4,533"
"Thailand","178","355","1,095","1,684","2,336","2,873","3,915"
"Turkey","201","421","1,462","1,857","2,520","3,000","3,852"
"Kazakhstan","65","144","531","878","1,279","1,581","3,348"
"South Africa","97","199","735","1,082","1,358","1,892","3,245"
"Argentina","171","366","1,275","1,994","2,400","2,637","3,244"
"Nigeria","117","236","806","1,189","1,675","2,001","2,724"
"Peru","172","358","1,063","1,558","1,803","1,969","2,556"
"Malaysia","140","291","937","1,247","1,507","1,665","2,484"
"United Kingdom (UK)","90","176","538","768","1,132","1,568","2,421"
"France","125","248","716","973","1,450","1,657","2,352"
"Ukraine","107","229","723","973","1,304","1,664","2,262"
"Germany","125","238","682","841","1,125","1,453","2,080"
"Saudi Arabia","96","195","638","961","1,285","1,571","2,057"
"Italy","126","252","687","1,046","1,332","1,496","2,034"
"Spain","108","210","578","814","1,192","1,516","1,957"
"Chile","91","190","709","1,075","1,314","1,514","1,827"
"Algeria","117","242","813","1,077","1,240","1,342","1,751"
"Ecuador","115","232","673","988","1,187","1,287","1,546"
"Romania","41","78","265","360","506","718","1,361"
"Korea, Republic Of","76","176","628","747","867","1,020","1,188"
"Canada","48","91","281","511","646","790","1,149"
"Japan","45","98","345","456","524","633","1,145"
"Poland","76","148","469","612","751","832","1,128"
"Venezuela","58","128","426","579","643","700","861"
"Australia","29","55","181","303","448","566","834"
"Taiwan","20","43","132","208","327","429","783"
"Belarus","21","46","172","288","403","481","776"
"Tunisia","23","53","180","284","375","420","571"
"United Arab Emirates","42","83","193","326","405","470","568"
"Netherlands","30","57","153","218","284","341","544"
"Jordan","32","68","214","301","383","421","542"
"Israel","25","51","170","267","333","379","474"
"Bulgaria","10","20","76","131","187","268","405"
"Portugal","26","52","144","172","205","239","380"
"Hungary","20","41","128","169","222","285","370"
"Czech Republic","19","41","112","143","192","252","367"
"Greece","19","39","109","158","219","263","357"
"Belgium","22","39","114","171","232","265","357"
"Lebanon","18","37","128","178","229","270","354"
"Uruguay","13","27","76","150","187","213","260"
"Oman","13","26","68","102","138","165","234"
"Singapore","20","38","84","123","155","173","231"
"Slovakia","7","17","57","78","122","160","222"
"Austria","10","21","61","92","129","163","213"
"Hong Kong","6","12","38","63","89","121","189"
"Sweden","10","17","54","74","100","142","185"
"New Zealand","6","12","43","62","96","112","157"
"Kuwait","7","14","34","64","99","123","157"
"Croatia","6","13","45","78","105","124","155"
"Lithuania","4","9","33","52","77","105","153"
"Ireland","5","11","36","53","79","102","143"
"Qatar","7","13","35","66","92","108","143"
"Switzerland","8","15","43","56","82","104","141"
"Finland","5","10","30","42","69","87","112"
"Norway","3","6","21","28","40","55","81"
"Denmark","2","5","18","27","36","50","77"
"Latvia","2","4","19","32","41","51","71"
"Slovenia","2","4","17","28","38","45","65"
"Estonia","1","2","10","18","26","30","42"
"Macao","0","0","0","0","1","0","0"
