"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","3,943","8,846","44,585","76,037","95,180","105,229","135,896"
"Indonesia","705","1,710","7,563","10,029","14,567","20,383","28,060"
"Brazil","950","2,368","10,703","15,060","19,505","21,667","26,121"
"Russian Federation","387","842","3,512","7,126","8,855","9,876","16,168"
"Philippines","352","838","3,625","5,868","9,145","11,526","15,824"
"United States","417","985","4,170","6,440","8,122","9,652","14,443"
"Pakistan","609","1,304","4,736","6,416","9,022","10,448","12,897"
"Mexico","524","1,310","5,296","6,917","8,629","9,658","12,830"
"Vietnam","223","567","3,311","6,282","8,700","9,683","11,240"
"Thailand","188","482","2,842","3,918","4,972","5,928","9,999"
"Egypt","343","810","3,097","4,186","5,495","7,014","9,430"
"Turkey","239","564","2,270","3,806","4,621","5,223","6,527"
"Colombia","236","551","2,345","3,382","4,361","5,160","6,242"
"Argentina","190","429","1,919","3,054","3,570","4,035","4,959"
"Peru","167","420","1,457","2,297","2,959","3,423","4,265"
"South Africa","113","243","880","1,301","1,829","2,313","4,055"
"Germany","179","363","1,427","2,007","2,541","3,026","3,689"
"Algeria","125","257","974","1,461","1,925","2,461","3,611"
"Japan","111","349","1,287","1,539","1,826","2,387","3,600"
"Malaysia","121","288","1,075","1,572","2,044","2,498","3,347"
"France","124","243","1,096","1,608","2,024","2,367","3,241"
"Italy","129","262","1,123","1,656","1,962","2,278","3,068"
"Ecuador","94","219","896","1,601","1,972","2,212","2,901"
"Saudi Arabia","131","267","893","1,554","1,949","2,270","2,846"
"Spain","122","243","1,049","1,625","2,065","2,229","2,805"
"Ukraine","81","166","823","1,433","1,874","2,134","2,798"
"United Kingdom (UK)","117","240","1,198","1,828","2,053","2,353","2,743"
"Korea, Republic Of","101","255","1,154","1,563","1,855","2,314","2,715"
"Nigeria","108","235","759","1,075","1,371","1,623","2,682"
"Chile","84","201","861","1,235","1,538","1,767","2,338"
"Poland","54","113","522","904","1,163","1,411","2,119"
"Venezuela","72","151","632","845","1,091","1,375","1,922"
"Kazakhstan","49","105","485","823","1,135","1,367","1,834"
"Taiwan","30","89","417","549","623","743","1,206"
"Jordan","37","77","286","467","667","803","1,198"
"Canada","40","90","451","685","818","912","1,189"
"Romania","33","72","290","394","560","692","1,135"
"Tunisia","34","74","362","526","614","691","1,094"
"United Arab Emirates","64","133","421","512","619","691","966"
"Australia","32","73","340","468","567","671","882"
"Netherlands","42","78","330","451","569","630","848"
"Portugal","27","55","261","368","428","496","642"
"Singapore","25","56","220","325","405","479","582"
"Lebanon","26","54","202","295","374","436","576"
"Czech Republic","18","38","149","223","279","314","537"
"Hungary","17","36","157","255","311","373","511"
"Belarus","16","35","164","314","371","401","508"
"Israel","22","44","165","222","271","329","498"
"Greece","23","46","188","272","313","347","475"
"Belgium","20","41","184","238","281","316","445"
"Bulgaria","12","25","100","150","202","257","410"
"Uruguay","15","37","148","199","227","268","408"
"Austria","13","28","107","190","225","275","369"
"Oman","14","29","98","155","203","246","347"
"Sweden","10","22","113","155","186","227","343"
"Hong Kong","14","37","172","212","224","255","312"
"Switzerland","11","24","113","159","185","211","278"
"Slovakia","8","17","74","103","133","169","275"
"Kuwait","13","26","97","139","164","194","271"
"Lithuania","3","8","41","69","109","159","267"
"Finland","5","12","84","136","157","182","251"
"Qatar","13","27","91","114","146","175","217"
"Croatia","7","16","69","100","118","132","212"
"Ireland","6","15","100","129","148","162","203"
"Norway","3","8","51","75","99","117","195"
"New Zealand","5","14","80","102","126","145","194"
"Latvia","1","4","24","40","61","102","190"
"Denmark","3","7","49","64","77","102","144"
"Estonia","0","1","14","21","27","36","73"
"Slovenia","2","5","25","33","39","46","64"
"Macao","0","1","2","4","1","5","5"
