"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","4,286","10,086","48,028","86,729","137,412","183,999","268,576"
"Brazil","1,175","2,656","13,556","19,436","31,918","38,256","51,631"
"Mexico","610","1,391","7,186","9,433","10,899","14,972","23,825"
"Indonesia","792","1,960","9,403","13,209","15,761","18,025","23,626"
"Pakistan","478","1,386","6,852","9,743","12,487","15,490","16,581"
"Egypt","288","674","4,250","7,564","10,359","12,669","16,520"
"United States","1,102","2,374","7,936","10,888","12,225","13,197","14,883"
"Colombia","281","661","4,190","5,726","7,696","10,348","13,360"
"Russian Federation","487","1,069","6,735","9,675","10,456","11,238","12,133"
"Korea, Republic Of","255","602","2,338","3,172","3,956","5,903","11,534"
"Philippines","306","846","4,593","5,842","6,556","7,129","11,512"
"Argentina","230","535","2,914","3,728","5,077","6,828","11,426"
"Saudi Arabia","183","415","2,234","3,283","5,335","7,392","10,601"
"Vietnam","219","553","2,666","3,771","4,515","5,503","9,432"
"Germany","407","739","2,604","5,499","7,091","7,532","8,416"
"Spain","253","459","2,188","3,408","4,465","6,327","8,253"
"Italy","289","529","2,331","3,257","4,158","4,941","7,898"
"Peru","198","524","2,865","4,039","4,935","5,668","6,938"
"France","248","459","2,307","3,576","4,196","4,868","6,345"
"Turkey","319","704","2,549","3,509","4,122","4,885","5,820"
"South Africa","129","334","1,693","2,399","3,048","4,063","5,789"
"United Kingdom (UK)","227","446","1,866","2,805","3,472","4,272","5,748"
"Ecuador","97","241","1,565","2,214","3,040","3,981","5,675"
"Chile","114","279","1,172","1,646","1,895","2,299","5,474"
"Japan","157","385","1,592","2,485","3,320","3,810","5,362"
"Nigeria","154","372","1,331","1,983","2,659","3,216","5,016"
"Algeria","111","275","1,196","1,632","2,613","3,582","4,670"
"Thailand","203","545","2,053","3,015","3,409","3,646","4,617"
"Australia","75","168","715","1,172","1,469","2,176","4,465"
"Poland","124","249","998","1,460","1,729","2,151","4,327"
"Malaysia","201","463","1,714","2,163","2,495","2,831","3,682"
"Ukraine","139","286","1,205","1,760","2,198","2,676","3,548"
"United Arab Emirates","113","221","1,006","1,434","2,077","2,651","3,134"
"Taiwan","73","159","762","976","1,409","1,819","2,544"
"Netherlands","100","173","772","1,137","1,401","1,829","2,464"
"Canada","110","236","974","1,402","1,649","1,787","2,307"
"Venezuela","59","152","781","1,098","1,461","1,922","2,271"
"Kazakhstan","63","149","743","1,139","1,427","1,681","2,191"
"Romania","57","115","620","877","1,123","1,402","1,927"
"Jordan","37","87","464","754","1,044","1,288","1,680"
"Tunisia","29","78","382","618","883","1,096","1,635"
"Singapore","51","109","424","520","775","1,195","1,550"
"Portugal","45","96","572","767","837","955","1,382"
"Israel","47","109","620","700","753","904","1,352"
"Hungary","29","61","334","421","524","613","1,281"
"Czech Republic","41","82","414","636","777","903","1,221"
"Belgium","48","88","566","756","875","991","1,154"
"Greece","35","70","454","569","627","709","1,069"
"Sweden","33","65","296","436","491","624","964"
"Austria","38","64","350","561","692","822","954"
"Lebanon","24","54","269","410","544","644","924"
"Finland","16","35","241","415","485","563","856"
"Oman","22","49","266","365","461","576","844"
"Uruguay","15","37","218","305","418","567","746"
"Switzerland","33","61","271","440","521","617","744"
"Kuwait","22","44","245","322","403","555","741"
"Hong Kong","32","69","332","425","544","620","733"
"Qatar","22","43","207","264","327","407","642"
"Denmark","16","31","247","416","510","553","627"
"Belarus","28","67","242","392","445","480","622"
"Bulgaria","17","35","150","215","290","355","558"
"Norway","19","36","193","255","297","335","489"
"Slovakia","15","31","163","211","282","360","482"
"Croatia","12","26","146","202","264","305","470"
"Ireland","13","27","244","311","360","388","459"
"New Zealand","15","33","194","246","270","288","362"
"Lithuania","8","17","87","115","133","164","293"
"Latvia","5","11","64","89","114","159","215"
"Slovenia","5","13","78","96","103","114","192"
"Estonia","3","7","40","62","69","83","120"
"Macao","0","1","9","8","8","13","11"
