"aptk-country-icon__label","rt-td","rt-td 2","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7"
"India","2,334","6,698","68,022","157,283","240,633","289,845","354,338"
"Brazil","1,028","3,028","29,775","57,610","92,152","109,164","117,060"
"Indonesia","294","791","12,131","28,219","42,751","58,118","71,737"
"United States","1,597","3,448","16,583","24,055","33,824","37,566","55,590"
"Mexico","216","677","12,316","20,835","42,316","48,211","49,704"
"Russian Federation","531","1,966","14,432","28,465","36,940","42,021","46,879"
"Pakistan","57","148","2,149","6,279","15,543","20,386","32,952"
"Vietnam","101","313","3,521","6,679","10,930","23,518","30,329"
"Thailand","118","399","4,857","7,978","16,118","23,092","29,540"
"Turkey","268","815","12,111","17,889","21,285","23,929","27,675"
"Egypt","63","196","2,937","7,399","13,868","18,548","26,881"
"Philippines","43","131","1,653","5,778","14,396","16,741","21,990"
"Colombia","46","169","3,070","5,282","8,272","12,172","20,401"
"Germany","534","1,550","6,430","8,933","12,412","15,052","18,855"
"Argentina","44","166","1,885","3,417","4,720","12,348","17,960"
"France","375","1,252","4,472","8,175","10,973","13,462","17,774"
"Korea, Republic Of","696","2,565","4,734","7,316","9,541","11,502","15,601"
"Spain","236","663","4,035","6,753","8,941","11,350","15,093"
"Italy","238","749","4,439","7,449","10,023","11,691","14,395"
"United Kingdom (UK)","372","1,124","4,164","6,600","8,946","10,301","13,638"
"Saudi Arabia","112","311","2,978","4,726","6,427","9,485","12,825"
"Malaysia","58","182","1,837","3,882","6,561","7,987","12,194"
"Japan","187","457","3,067","5,233","7,216","8,879","11,604"
"Chile","20","88","2,549","4,889","7,041","8,198","9,167"
"Poland","148","687","3,809","5,293","6,511","7,357","9,162"
"South Africa","41","159","1,708","2,789","3,977","6,428","8,582"
"Ukraine","72","215","2,213","3,482","4,685","5,683","8,352"
"Peru","17","68","1,328","2,951","4,168","5,540","7,712"
"Algeria","20","61","717","1,600","2,374","5,076","7,578"
"Nigeria","18","49","312","1,080","2,361","3,258","6,851"
"Taiwan","116","330","1,472","2,384","3,205","4,215","5,657"
"Kazakhstan","22","71","1,002","2,289","2,954","3,954","5,295"
"Romania","26","112","1,536","2,359","2,989","3,546","4,931"
"Ecuador","8","28","244","1,123","1,521","2,751","4,190"
"Canada","74","242","1,565","2,299","3,116","3,607","4,173"
"Australia","50","168","1,512","2,111","2,933","3,433","4,164"
"Netherlands","77","241","1,589","2,006","2,439","2,678","3,354"
"United Arab Emirates","50","146","1,018","1,603","2,235","2,454","3,083"
"Jordan","7","25","282","783","1,557","1,879","2,395"
"Tunisia","5","23","219","637","955","1,738","2,377"
"Belgium","48","175","838","1,236","1,538","1,837","2,253"
"Portugal","28","95","733","1,355","1,723","1,949","2,217"
"Venezuela","3","10","83","557","1,045","1,421","2,139"
"Hungary","16","59","614","1,109","1,389","1,554","1,844"
"Belarus","12","43","488","855","1,245","1,417","1,816"
"Czech Republic","19","62","590","902","1,184","1,441","1,755"
"Israel","13","40","402","569","815","1,007","1,753"
"Greece","10","37","491","715","987","1,199","1,586"
"Austria","38","148","550","815","1,104","1,289","1,520"
"Sweden","22","65","414","701","988","1,237","1,489"
"Singapore","21","55","432","670","827","994","1,324"
"Lebanon","4","14","137","397","822","983","1,243"
"Bulgaria","4","19","420","576","779","945","1,206"
"Switzerland","27","90","504","704","852","984","1,133"
"Hong Kong","18","49","377","560","692","792","1,018"
"Uruguay","0","4","68","211","315","465","1,011"
"Ireland","12","40","232","432","534","647","871"
"Slovakia","6","22","360","475","563","656","861"
"Finland","7","25","349","570","691","744","860"
"Kuwait","10","30","313","422","499","571","787"
"New Zealand","6","27","262","371","464","571","725"
"Croatia","4","20","315","427","532","584","680"
"Oman","5","19","227","375","526","629","675"
"Norway","12","35","262","382","461","524","626"
"Denmark","14","42","278","404","475","546","625"
"Qatar","7","23","230","333","393","428","523"
"Lithuania","3","13","207","293","363","398","478"
"Slovenia","2","10","148","179","195","227","297"
"Latvia","1","5","106","138","158","184","263"
"Estonia","0","2","62","79","86","92","130"
"Macao","0","1","0","5","7","4","2"
